entity_name,entity_id,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Ponce, Cody",664074,R,91.3,94.3,50.7,99.7,,84,,,
"Young, Alex",622065,L,91.2,90.4,49.3,90,,23.5,,,
"Eflin, Zach",621107,R,91.2,88.5,,99,,68.2,45.8,,
"Lamet, Dinelson",659275,R,91.1,93.2,,,,,16.8,,
"Romano, Jordan",605447,R,91.1,,,,,,20.7,,
"Bielak, Brandon",656232,R,91,,32,91.1,,87.4,28.4,35.5,
"Gonzalez, Gio",461829,L,90.9,88.1,,97.7,,86.8,,,
"Montero, Rafael",606160,R,90.8,86,,88.1,,,32.7,,
"Castillo, Luis",622491,R,90.8,91.1,,90.4,,,13,,
"Alexander, Tyler",641302,L,90.7,95.2,43,92.2,,,28.9,,
"Hembree, Heath",592390,R,90.7,,,,,63.5,34.9,,
"Keller, Mitch",656605,R,90.6,,32.2,95.3,,84.1,,,
"Cessa, Luis",570666,R,90.6,88.9,,86.5,,,21.1,,
"Smeltzer, Devin",656970,L,90.6,,,88.5,,80.1,40.9,,
"Underwood Jr., Duane",621249,R,90.5,,,89.1,,69,,,
"Phelps, David",475479,R,90.5,90.5,55.9,,,60.7,,,
"Kinley, Tyler",641755,R,90.5,,,98.3,,,23,,
"Scherzer, Max",453286,R,90.5,,50.2,98.6,,70.5,23.1,,
"Almonte, Yency",622075,R,90.5,92.8,,98.7,,,37.7,,
"Barria, Jaime",642545,R,90.4,92.5,,94.5,,,29,,
"López, Yoan",661255,R,90.4,,,,,,44.5,,
"Dobnak, Randy",677976,R,90.3,86.6,,97.5,,,15.3,,
"Reyes, Alex",621052,R,90.3,88.9,,98.9,,96,33.5,,
"Pagán, Emilio",641941,R,90.1,,33.8,,,,,,
"Middleton, Keynan",641871,R,90,,,83,,,25,,
"Castellani, Ryan",624418,R,90,92,,98.6,,73,25.4,,
"Romero, JoJo",668941,L,90,89,,95.2,,,32.7,30.5,
"Porcello, Rick",519144,R,90,89,,97.1,,66.4,41,,
"Happ, J.A.",457918,L,90,79.7,,96.7,,,29.1,,
"Webb, Tyler",643778,L,90,88.7,,98.7,,63.1,,,
"Shoemaker, Matt",533167,R,89.9,88.3,,,78.3,63.5,22.6,,
"Herget, Jimmy",623474,R,89.8,84.3,,82.4,,,22.8,52.5,
"Chapman, Aroldis",547973,L,89.8,,,,,,39,,
"Hoyt, James",624586,R,89.8,92.8,,,,,11.4,,
"Márquez, Germán",608566,R,89.7,85.3,,95.8,,31.8,22.7,,
"Cueto, Johnny",456501,R,89.6,88.7,,76.3,,23.4,37.8,,
"Leibrandt, Brandon",605335,L,89.6,,,96.8,,69.8,48.2,,
"Alcantara, Sandy",645261,R,89.5,88.5,19.1,87.3,,,56.5,,
"Curtiss, John",595928,R,89.5,,,,,,33.3,,
"Clarke, Taylor",664199,R,89.5,,,93.6,,67.2,29.6,,
"Jeffress, Jeremy",502026,R,89.5,91,,,90,59.5,,,
"James, Josh",657624,R,89.4,,,96.9,,75,39.4,,
"Cisnero, José",542585,R,89.4,89.2,,92,,,25.9,,
"Marshall, Evan",605359,R,89.4,92,,95.7,,61.8,,,
"Velasquez, Vince",592826,R,89.3,85.1,,96.9,,67.7,33,,
"Kershaw, Clayton",477132,L,89.2,,,,,79.9,48.7,,
"Darvish, Yu",506433,R,89.2,89.3,63.3,,74.2,78.8,31.9,54.3,
"Pomeranz, Drew",519141,L,89.2,,,,,76.7,,,
"Fulmer, Michael",605242,R,89.1,91.7,41,93.5,,70.7,,,
"Montgomery, Jordan",656756,L,89.1,90.3,69.6,99.6,,40.4,,,
"deGrom, Jacob",594798,R,89,,,89.6,,55.8,37.8,,
"Rainey, Tanner",663432,R,89,,,,,,28.3,,
"Boxberger, Brad",502202,R,88.9,,,93,,,53.5,,
"Garrett, Braxton",666129,L,88.9,,,88.5,,72.3,,,
"Woodruff, Brandon",605540,R,88.9,89.2,,97.2,,59.5,23.4,,
"Bundy, Dylan",605164,R,88.8,89.1,,93.6,,76.5,25.9,,
"Familia, Jeurys",544727,R,88.8,88.4,,,91,,34,,
"Voth, Austin",608723,R,88.7,,45.4,,75.2,66.1,,,
"Hand, Brad",543272,L,88.7,89.6,,,,,,51.9,
"Maeda, Kenta",628317,R,88.7,81.5,39.1,,86.5,60,18.5,,
"Barnes, Jacob",606930,R,88.6,,46.3,,,,,,
"McGowin, Kyle",641851,R,88.6,85,,,,,40.1,,
"Díaz, Jairo",545064,R,88.5,85.9,,,,,28,,
"Dugger, Robert",667498,R,88.5,89.4,,,,65.7,33.3,,
"Thielbar, Caleb",573204,L,88.5,,,,,99.7,43.9,43.2,
"May, Trevor",543507,R,88.4,88.9,,96.7,,,38.5,,
"Knebel, Corey",608349,R,88.3,,,,,92.7,,,
"Reed, Cody",642003,L,88.3,90,,90.3,,,32.6,,
"Houser, Adrian",605288,R,88.3,84.5,,92.1,,95.4,33.9,,
"Martin, Brett",656685,L,88.2,86.6,,,,47.8,37.5,,
"Gibson, Kyle",502043,R,88.1,86.6,,86.4,,58,35.7,,
"Corbin, Patrick",571578,L,88.1,86,,97.3,,30,21.5,,
"Andriese, Matt",542882,R,88.1,85.1,19,30.3,,68.6,,,
"Pérez, Cionel",672335,L,87.9,,,,,,,,34.6
"Slegers, Aaron",642083,R,87.7,88.5,,80.6,,,24.6,,
"Biagini, Joe",607352,R,87.7,88,53.9,70.7,,75.8,,,
"Farrell, Luke",608652,R,87.7,,,,,61.9,16.1,,
"Altavilla, Dan",656186,R,87.7,,,,,,29.1,,
