entity_name,entity_id,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Yardley, Eric",642233,R,,99.1,,,,77.9,,,
"Arrieta, Jake",453562,R,,85.8,,90.8,,76.5,44.4,,
"Rogers, Taylor",573124,L,,93.1,,,,,,55.1,
"Manaea, Sean",640455,L,,92.2,49.5,84,,,39.7,40,
"Hunter, Tommy",488984,R,,80.9,56.1,,,54.6,,,
"Guilbeau, Taylor",607555,L,,78.5,,95.9,,,8.6,,
"Sadler, Casey",594987,R,,86.2,31.1,87.1,,58,,,
"Dolis, Rafael",503569,R,,93.2,,,79.9,,39.8,,
"Brennan, Brandon",592165,R,,89,,99.3,,,26.5,,
"Bass, Anthony",542914,R,,95.1,,,93.9,,32.9,,
"Shaw, Bryan",543766,R,,,52.2,,,70.4,,52.2,
"Castillo, Diego",650895,R,,93.4,,,,,13.6,,
"Suero, Wander",593833,R,,,60.8,70.3,,78.6,,,
"Alvarado, José",621237,L,,84.5,21,,,35.7,,,
"Jones, Nate",518858,R,,88.2,,,,,20,,
"Topa, Justin",623437,R,,87.3,,,,,56.6,,
"Banda, Anthony",607455,L,99.6,,,96.8,,,,,
"Anderson, Ian",666120,R,99.6,,,98.2,,62.1,,,
"Harvey, Hunter",640451,R,99.6,,,,93.5,72.4,,,
"Goudeau, Ashton",623485,R,99.6,,,97.8,,81.1,,,
"Finnegan, Kyle",640448,R,99.6,,,,92.3,,47.8,,
"Barnes, Matt",598264,R,99.6,,,94.9,,70.4,,,
"Smith, Caleb",592761,L,99.5,,,99.4,,52.3,18.6,,
"Neidert, Nick",663734,R,99.5,,,99,,90.3,42.5,,
"Paddack, Chris",663978,R,99.5,,43.3,94.9,,94.5,,,
"Ynoa, Huascar",660623,R,99.5,,,97.9,,,17.6,,
"Mahle, Tyler",641816,R,99.5,,,,90.2,,28.4,,
"Giolito, Lucas",608337,R,99.4,,,99,,89.5,28.7,,
"Weems, Jordan",607179,R,99.4,,,,94.9,,37,,
"Gomber, Austin",596295,L,99.4,,,96.3,,94.2,35.8,,
"Richards, Trevor",670950,R,99.4,,,79,,,23.8,,
"Paxton, James",572020,L,99.4,,35.1,82.6,,61.6,,,
"Stanek, Ryne",592773,R,99.4,,,,90.7,,22.9,,
"Gonzales, Marco",594835,L,99.3,,60,99.4,,87.7,,,
"Heaney, Andrew",571760,L,99.3,,,99.5,,39.3,,,
"Braymer, Ben",664069,L,99.3,,,97.8,,50.3,,,
"Hoffman, Jeff",656546,R,99.3,,,,97.2,89.2,,,
"García, Jarlín",606424,L,99.3,,,99,,,40.1,,
"Burrows, Beau",663366,R,99.3,99.2,,95.9,,,30.5,,
"Sulser, Cole",642121,R,99.3,,,97.2,,,46.5,,
"Anderson, Tyler",542881,L,99.3,98.7,47.9,96.1,,69.4,,,
"González, Victor",624647,L,99.2,97.7,,,,,23.4,,
"Holland, Derek",502706,L,99.2,99.2,,97.8,,12.4,,,
"Tropeano, Nick",607374,R,99.2,99.1,,98.1,81.5,,30.2,,
"Gallegos, Giovanny",606149,R,99.2,,,,,,17.1,,
"Estévez, Carlos",608032,R,99.1,,,93.2,,,32.1,,
"Neverauskas, Dovydas",596720,R,99.1,,50.3,,,58.3,,,
"Davies, Zach",605200,R,99,98,80.3,98.6,,69.9,,,
"Urquidy, José",664353,R,98.8,,,97.1,,84.8,,49.4,
"López, Reynaldo",625643,R,98.8,,,96.9,,32.6,35,,
"Buttrey, Ty",621142,R,98.8,,,92.9,,,31,,
"Vesia, Alex",681911,L,98.8,,,99.3,,,41,,
"Bergen, Travis",664157,L,98.7,,,,,63.4,,,
"Karinchak, James",675916,R,98.7,,,,,48.8,,,
"Mengden, Daniel",596043,R,98.7,,41.8,98.6,,93.7,,,
"Cabrera, Génesis",650893,L,98.7,94.8,,99.3,,71.1,,,
"Stashak, Cody",664054,R,98.6,,,,,,31,,
"Kuhl, Chad",641771,R,98.6,98.4,,92.8,,72.3,31.3,,
"Akin, Keegan",669211,L,98.6,,,98.2,,57.9,34.1,,
"Heuer, Codi",676051,R,98.6,,,88.6,,,25.5,,
"Ponce de Leon, Daniel",594965,R,98.6,,40,98.4,,87,,,
"Mella, Keury",622492,R,98.6,97.2,,,,,27.6,,
"Harvey, Matt",518774,R,98.6,98.4,,97.9,,59.8,25.2,,
"Howard, Spencer",675921,R,98.5,,,99.6,,99.4,29.9,,
"Pivetta, Nick",601713,R,98.5,,,98.5,,75.8,38.8,,
"McGee, Jake",459429,L,98.5,,,,,,,,
"Kremer, Dean",665152,R,98.5,97.8,46.3,,,92.2,,,
"Robles, Hansel",570663,R,98.5,99,,92.5,,,41.1,,
"De León, José",592254,R,98.5,,,94.5,,,,,
"Plesac, Zach",668676,R,98.4,,,99.1,,51.8,41.8,,
"Hendriks, Liam",521230,R,98.4,,,,,74.1,18.8,,
"Ramirez, Nick",598286,L,98.4,93.2,64.1,97.7,,,,,
"Stephenson, Robert",596112,R,98.4,,21,,,33.4,19.3,,
"Springs, Jeffrey",605488,L,98.4,,,98.3,,,28.6,,
"Benjamin, Wes",605138,L,98.4,,26.5,95.8,,74,,,
"McKenzie, Triston",663474,R,98.4,,,90.3,,58.5,44.1,,
"Swanson, Erik",657024,R,98.4,,,,,,28.2,,
"Guerra, Javy",457915,R,98.3,,,96,,50.9,47.6,,
"Báez, Pedro",520980,R,98.3,,,99.3,,,50.2,,
"Beeks, Jalen",656222,L,98.3,,37.4,90.7,,,,,
"García, Deivi",665620,R,98.2,,,98.5,,83.7,35.5,,
"Gonsolin, Tony",664062,R,98.2,,,,97.4,70.7,25.3,,
"Cole, Gerrit",543037,R,98.1,,,98.9,,69.8,30.9,,
"Hirano, Yoshihisa",673633,R,98,,,,87.7,,,,
"Weaver, Luke",596133,R,97.9,,63.3,89.4,,68.5,51.3,,
"Lauer, Eric",641778,L,97.8,,45,95.9,,52.8,16.5,,
"Wacha, Michael",608379,R,97.8,93.4,53.6,90.5,,,,,
"Eovaldi, Nathan",543135,R,97.7,,51.2,,66.9,80,45.3,,
"Guerra, Deolis",500610,R,97.7,,,96,,97,,,
"Odorizzi, Jake",543606,R,97.7,,62.2,,86.2,69,43.1,,
"Hudson, Daniel",543339,R,97.7,,,96.9,,,20.1,,
"Yarbrough, Ryan",642232,L,97.6,,43,94.8,,,,78.3,
"Nola, Aaron",605400,R,97.6,96.1,,99.1,,86.4,,,
"Garcia, Bryan",650530,R,97.6,96.3,,98.8,,,24.5,,
"Skubal, Tarik",669373,L,97.6,,,99.3,,71.7,20.1,,
"Williams, Devin",642207,R,97.6,,,80.2,,,33.5,,
"Duffy, Danny",518633,L,97.5,94.7,,91.9,,91,31.5,,
"Yamaguchi, Shun",685493,R,97.5,,,,91,83.6,22.9,,
"Rodríguez, Richard",593144,R,97.5,,,,,,41.9,,
"Díaz, Edwin",621242,R,97.5,,,,,,23.2,,
"Bieber, Shane",669456,R,97.5,,45.6,94.7,,89,27.2,,
"Thornburg, Tyler",592804,R,97.5,,,97.3,,91.1,,,
"Foster, Matt",641582,R,97.4,,,97,,,28.3,,
"Milone, Tommy",543548,L,97.4,98.5,,97.9,,34,31.2,,
"Canning, Griffin",656288,R,97.4,,44.1,98.6,,41.2,27.6,,
"Gausman, Kevin",592332,R,97.3,,,92.2,76,,23.3,,
"Diehl, Phillip",670426,L,97.3,,,,,,27.1,,
"Clippard, Tyler",461325,R,97.3,96.1,,98.5,28.1,68.1,,,
"Walker, Taijuan",592836,R,97.2,96.1,,,83.4,94.4,33.7,,
"Diekman, Jake",518617,L,97.2,97.1,,,,,,42.7,
"Gray, Jon",592351,R,97.2,,,95.2,,71,31.5,,
"Santos, Antonio",665733,R,97.2,,,94.4,,,40.1,,
"Farmer, Buck",571656,R,97.2,,,85.5,,,13,,
"Pérez, Oliver",424144,L,97.2,96.2,,,,,61.6,,
"Doolittle, Sean",448281,L,97.2,,,,,,40.7,,
"Baragar, Caleb",670056,L,97.2,,,,,62.8,35.6,,
"Fiers, Mike",571666,R,97.1,94.5,,88.4,,90.1,59.5,,
"Thorpe, Lewis",626929,L,97.1,,,96.2,,90.6,29.8,,
"Howard, Sam",607572,L,97,,,,,,29.3,,
"Shreve, Chasen",592741,L,97,,,,96.5,,50.5,,
"Peterson, David",656849,L,97,96.5,,99,,64.5,24.6,,
"Kikuchi, Yusei",579328,L,97,,58.6,89.3,,,26.2,,
"Suárez, Andrew",605498,L,97,97.9,,98.2,,,31.5,,
"Colomé, Alex",517008,R,97,,42.2,,,,,,
"Wisler, Matt",605538,R,97,,,,,,32.1,,
"Webb, Jacob",657097,R,96.9,,,98.6,,,56.4,,
"Dayton, Grant",594795,L,96.8,98.4,,,,75.4,,,
"López, Jorge",605347,R,96.8,96,,98.9,,70.4,,,
"Pearson, Nate",663878,R,96.8,,,84.4,,87,44.3,,
"Heller, Ben",621294,R,96.8,,,99.4,,,,47,
"Detwiler, Ross",446321,L,96.8,96.5,,96.2,,,16.3,,
"Anderson, Nick",623433,R,96.7,,,,,19.5,,,
"Cody, Kyle",621129,R,96.7,95.8,,96.9,,,52.4,,
"Wilson, Justin",458677,L,96.7,,55.2,,,,55.5,,
"Strahm, Matt",621381,L,96.7,97.4,32.7,94.5,,38,,,
"Allen, Logan",663531,L,96.6,,,98.2,,76.8,36.7,,
"Jackson, Luke",592426,R,96.6,,,,,72.2,43.6,,
"Nelson, Nick",656793,R,96.5,,,99.2,,83.1,50.2,,
"Peralta, Wandy",593974,L,96.5,95.8,,89.4,,,29.3,,
"Ryu, Hyun Jin",547943,L,96.5,94.5,48.1,99.4,,87.2,,,
"Pérez, Martín",527048,L,96.5,96.4,61.8,99.6,,45.5,,,
"Gant, John",607231,R,96.4,95.5,,96.3,,82.9,20.1,,
"Ferguson, Caleb",657571,L,96.4,,24.4,,,,,,
"Clevinger, Mike",605182,R,96.4,,40.5,99.2,,64.9,27.7,39.1,
"Tanaka, Masahiro",547888,R,96.4,93.1,,,94.5,57.9,13.6,,
"Berríos, José",621244,R,96.3,97.6,,95.1,,,,,49.3
"Alvarez, Jose",501625,L,96.3,96.6,,90,,,37.8,,
"Davis, Austin",656354,L,96.2,,,95.9,,39.2,22.7,,
"Hess, David",605276,R,96.2,,,,,,49.6,,
"Hill, Tim",657612,L,96.2,93.3,,,,,39.6,,
"Phillips, Evan",623465,R,96.2,,,76.2,,,,51.7,
"Oswalt, Corey",621261,R,96.2,,,80.9,,,45.7,,
"LeBlanc, Wade",453281,L,96.1,94.7,57.9,98.5,,62.5,,,
"Ray, Robbie",592662,L,96,96.2,,88.8,,20.9,33.3,,
"Luzardo, Jesús",666200,L,95.9,94.3,,99.1,,,18.3,,
"Bashlor, Tyler",641341,R,95.9,95.8,,95.7,,,83.9,,
"Bailey, Homer",456701,R,95.9,,,,92.8,89.6,38.9,,
"Garcia, Rico",670329,R,95.9,,,99.2,,,,41.4,
"Hill, Rich",448179,L,95.8,93.2,45.5,,,93.4,,84.5,
"Merryweather, Julian",657240,R,95.8,,,97.3,,92.1,31.5,,
"Wittgren, Nick",621295,R,95.8,,25.2,87.1,,,24.9,,
"Johnson, Pierce",572955,R,95.8,,,,,59.2,,,
"Gerber, Joey",680702,R,95.8,,,,,,35.3,,
"Anderson, Chase",502624,R,95.7,95.8,45.4,99.6,,96,,,
"Lyles, Jordan",543475,R,95.7,91.8,,98.9,,77.9,34.9,,
"Bedrosian, Cam",592135,R,95.7,,,,,,55.3,,
"Bradley, Archie",605151,R,95.6,95.4,,99,,74.7,,,
"Mears, Nick",683232,R,95.6,,,,,76.3,,,
"Kolarek, Adam",592473,L,95.6,94.1,,99.7,,,33.5,,
"Littell, Zack",641793,R,95.5,,,,,,55.5,,
"Mayers, Mike",594577,R,95.4,,59.5,,,70.1,17.9,,
"Staumont, Josh",622251,R,95.4,90.6,,,,87.6,,,
"Hart, Kyle",606996,L,95.3,92.7,,98.4,,63.7,39.8,,
"Chafin, Andrew",605177,L,95.2,93.9,,,,,19.8,,
"Peña, Félix",570240,R,95.2,96.8,,95.2,,,17.2,,
"Wojciechowski, Asher",592879,R,95.2,,52.9,91.5,,78.1,68.2,,
"Quantrill, Cal",615698,R,95.2,95.2,,94.9,,,24.3,,
"Brogdon, Connor",641401,R,95.1,,68.4,98.9,,,,,
"Quintana, Jose",500779,L,95.1,93.7,,96.6,,58.9,,,61.4
"Kennedy, Ian",453178,R,95.1,,62.6,98.9,,73.6,,,
"Claudio, Alex",592222,L,95,94.9,,94.7,,,32.2,,
"Hernández, Carlos",672578,R,95,,,,93.8,63.4,35,,
"Drake, Oliver",543118,R,95,,,,82.9,,,,
"Milner, Hoby",571948,L,95,,,,,,,66.4,
"Magill, Matt",543483,R,94.8,,,,,36.4,31.6,,
"Tepera, Ryan",572193,R,94.8,97.2,40.9,88.9,,,34.7,,
