"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Rodríguez, Yariel","684320","41.0","10.8","","28.2","","10.5","9.5","","",""
"Muñoz, Roddery","682610","27.0","22.7","20.7","20.3","9.3","","","","",""
"Fulmer, Carson","608334","22.7","24.3","","16.3","27.0","6.0","","","3.7",""
"Yamamoto, Yoshinobu","808967","40.5","2.8","6.1","3.2","","23.1","24.2","","0.1",""
"Paddack, Chris","663978","42.9","","","17.7","25.9","13.6","","","",""
"Schmidt, Clarke","657376","0.1","20.8","35.1","3.2","0.5","16.6","","","23.7",""
"Sandoval, Patrick","663776","15.9","17.5","","24.7","28.3","9.0","","","4.6",""
"Soroka, Michael","647336","32.4","21.3","","30.9","9.8","","","","","5.6"
"Walker, Taijuan","592836","12.5","27.3","10.0","1.7","","10.8","22.2","","15.5",""
"Avila, Pedro","658648","39.0","12.5","","6.8","22.0","16.1","","","3.7",""
"Tonkin, Michael","543859","37.7","17.2","","35.7","","","","","9.4",""
"Weathers, Ryan","677960","39.2","12.5","","0.6","26.0","","","","21.6",""
"Povich, Cade","700249","40.7","8.4","7.5","6.3","10.9","19.6","","","6.7",""
"Birdsong, Hayden","806185","44.6","","","18.3","18.4","18.7","","","",""
"Weaver, Luke","596133","48.3","0.1","22.1","0.6","27.7","1.1","","","",""
"Williams, Gavin","668909","51.5","","12.1","11.2","5.4","19.8","","","",""
"Law, Derek","571882","13.5","9.9","37.6","30.3","5.1","3.6","","","",""
"Megill, Tylor","656731","46.7","9.9","14.2","11.0","1.5","7.7","7.5","","1.5",""
"Stripling, Ross","548389","30.7","13.8","15.9","13.4","17.6","8.6","","","",""
"Liberatore, Matthew","669461","28.0","20.6","12.9","27.5","4.6","6.5","","","",""
"Ashcraft, Graham","668933","","15.0","48.6","32.0","4.5","","","","",""
"Vodnik, Victor","680767","63.2","0.1","","20.1","16.6","","","","",""
"Holton, Tyler","663947","15.1","21.8","27.3","","18.9","1.5","","","15.5",""
"Buehler, Walker","621111","28.9","16.4","20.9","0.8","5.2","19.2","","","8.7",""
"McKenzie, Triston","663474","52.4","","","21.0","","26.6","","","",""
"Abreu, Bryan","650556","46.3","0.1","","53.1","0.5","","","","",""
"Cecconi, Slade","677944","54.9","","0.1","23.7","12.2","8.9","","","0.2",""
"Shuster, Jared","694363","37.4","4.7","","28.4","29.4","","","","",""
"Miller, Erik","669062","49.7","","","","33.9","","","","16.4",""
"Darvish, Yu","506433","18.4","17.1","4.6","23.3","5.0","13.7","4.0","","14.0",""
"Akin, Keegan","669211","56.0","","","33.2","10.8","","","","",""
"Winckowski, Josh","670174","5.2","33.7","35.2","13.3","12.6","","","","",""
"Wentz, Joey","666214","36.5","","31.4","","19.1","13.0","","","",""
"Buttó, José","676130","31.4","23.1","","12.9","22.1","","","","10.5",""
"Walker, Ryan","676254","0.6","54.7","","44.8","","","","","",""
"Harris, Hogan","663687","56.0","0.2","0.2","","16.5","15.7","","","11.5",""
"Blackburn, Paul","621112","19.5","13.6","22.0","","18.1","10.2","","","16.6",""
"Robertson, David","502085","","1.4","63.4","6.8","1.7","26.7","","","",""
"Hjelle, Sean","663546","","55.5","10.1","","","34.4","","","",""
"Baz, Shane","669358","47.9","","","21.3","10.3","20.5","","","",""
"Leclerc, José","600917","34.8","7.1","15.6","31.9","10.2","0.4","","","",""
"Scott, Tayler","605463","48.5","5.7","","","","","23.7","","22.1",""
"Ross, Joe","605452","16.2","36.5","","37.3","8.3","1.7","","","",""
"Fernandez, Ryan","681676","40.9","0.6","10.4","48.1","","","","","",""
"Beeks, Jalen","656222","55.5","0.1","17.8","","25.6","1.0","","","",""
"Kinley, Tyler","641755","33.2","0.6","","62.9","3.4","","","","",""
"Ginkel, Kevin","656464","52.7","8.9","","38.4","","","","","",""
"Richards, Trevor","670950","45.4","0.9","","0.3","53.3","","","","",""
"Martinez, Justin","679885","11.8","44.8","","21.7","","","21.8","","",""
"Bradford, Cody","674003","52.3","","0.4","7.1","27.3","12.8","","","",""
"Banks, Tanner","621383","30.9","8.8","","33.0","12.5","","","","14.8",""
"Puk, A.J.","640462","43.2","14.7","","21.7","1.4","","2.6","","16.4",""
"Farmer, Buck","571656","20.4","23.8","","34.8","21.0","","","","",""
"Hader, Josh","623352","0.2","71.4","","27.4","1.0","","","","",""
"Smith, Cade","671922","69.1","","","","","","20.7","","10.2",""
"Scott, Tanner","656945","59.2","0.1","","40.7","0.1","","","","",""
"Vest, Will","676684","56.0","12.6","","21.6","9.8","","","","",""
"Strickland, Hunter","519326","31.7","9.2","31.4","13.1","6.1","","","","8.5",""
"Sands, Cole","663485","28.9","10.2","29.5","","","14.1","17.2","","",""
"Brieske, Beau","689225","39.7","16.6","","17.3","26.5","","","","",""
"Knack, Landon","689017","46.3","","","22.3","14.5","16.3","","","0.6",""
"Kelly, Merrill","518876","20.4","13.8","25.2","11.8","20.9","7.8","","","",""
"Kopech, Michael","656629","78.5","","10.5","11.0","","","","","",""
"Thornton, Trent","663423","19.8","9.5","4.1","21.7","2.5","12.0","","","30.3",""
"Cruz, Fernando","518585","32.3","0.2","25.3","0.4","","","41.7","","",""
"Blach, Ty","621389","","50.8","13.7","","24.5","10.9","","","",""
"Houser, Adrian","605288","16.8","44.5","","17.3","12.7","8.7","","","",""
"Chapman, Aroldis","547973","33.4","27.7","","26.6","","","12.2","","",""
"De Los Santos, Enyel","660853","49.3","0.1","","42.9","7.6","","","","",""
"Barnes, Jacob","606930","47.3","","49.2","3.5","","","","","",""
"Doval, Camilo","666808","0.3","13.8","34.9","51.1","","","","","",""
"Vesia, Alex","681911","63.1","0.1","","31.7","5.0","","","","",""
"Armstrong, Shawn","542888","33.2","27.1","31.0","","","","","","5.7","3.0"
"Adam, Jason","592094","37.1","0.4","1.4","19.2","25.8","","","","16.1",""
"Santana, Dennis","642701","26.4","13.2","19.5","32.3","8.4","0.2","","","",""
"Festa, David","701581","40.2","","","31.8","28.0","","","","",""
"Cronin, Declan","686539","7.2","40.6","","51.5","","","","","0.7",""
"Bellozo, Valente","678368","37.6","","25.1","","13.9","12.4","0.5","","10.4",""
"Jiménez, Joe","641729","46.2","","","49.6","4.2","","","","",""
"Kerkering, Orion","689147","29.2","15.2","","","","","","","55.7",""
"Holmes, Clay","605280","0.3","56.2","","23.0","","","","","20.5",""
"Luzardo, Jesús","666200","35.6","11.7","","29.4","23.3","","","","",""
"Rogers, Taylor","573124","","52.8","","","","","","","47.2",""
"Lawrence, Justin","664875","0.7","58.2","","","","","","","41.1",""
"Maton, Phil","664208","","9.3","35.5","4.0","","28.8","","","22.4",""
"Gaddis, Hunter","683769","38.3","","","44.8","16.8","","","","",""
"Wesneski, Hayden","669713","36.0","11.8","8.7","","2.8","","","","40.7",""
"Contreras, Roansy","672710","37.2","10.4","","25.0","10.5","9.4","","","7.4",""
"Jax, Griffin","643377","30.4","9.3","","","16.7","6.2","","","37.5",""
"Finnegan, Kyle","640448","67.6","","","5.5","","","26.9","","",""
"Baumann, Mike","657508","40.6","0.2","","23.9","1.8","33.5","","","",""
"Morejon, Adrian","670970","23.2","36.2","","29.8","","0.8","","7.8","2.2",""
"Williams, Trevor","592866","36.0","12.5","","13.5","16.8","","","","21.1",""
"Domínguez, Seranthony","622554","40.8","17.8","","21.8","1.6","","","","18.0",""
"Pearson, Nate","663878","45.9","1.8","","40.7","","11.5","0.1","","",""
"Cleavinger, Garrett","664076","24.9","9.4","24.6","24.1","","","","","17.0",""
"Bido, Osvaldo","674370","40.0","9.3","14.4","21.1","15.2","","","","",""
"Miller, Bobby","676272","36.8","14.7","","9.6","19.9","19.0","","","",""
"Alvarado, José","621237","0.2","59.2","40.3","","","0.3","","","",""
"Matsui, Yuki","673513","41.0","0.1","","27.1","","1.0","24.5","","6.4",""
"Molina, Anthony","683627","48.3","","1.0","21.2","22.4","7.1","","","",""
"Chavez, Jesse","445926","","26.9","51.1","1.6","13.4","7.0","","","",""
"Milner, Hoby","571948","21.5","31.9","","","13.7","","","","32.3","0.6"
"Lambert, Peter","663567","38.4","2.4","1.0","18.8","25.0","3.9","","","","10.5"
"Kelly, Kevin","687330","2.2","61.5","8.4","","","","","","27.9",""
"Cabrera, Génesis","650893","19.3","21.7","39.3","","7.7","12.0","","","",""
"Weissert, Greg","669711","21.4","33.2","1.7","5.7","8.8","","","","29.2",""
"Mears, Nick","683232","60.2","","","22.6","","17.2","","","",""
"Kittredge, Andrew","552640","12.6","37.3","0.6","49.4","0.1","","","","",""
"Yates, Kirby","489446","60.7","","","0.6","","","38.7","","",""
"Holmes, Grant","656550","37.3","","8.2","32.3","1.2","21.0","","","",""
"Miller, Mason","695243","63.1","","","35.0","1.8","","0.2","","",""
"Bednar, David","670280","55.5","","","","","20.4","24.0","","",""
"Suter, Brent","608718","43.1","20.9","","16.2","19.8","","","","",""
"Barlow, Scott","605130","20.9","12.9","","1.7","","21.0","","","43.4",""
"Floro, Dylan","571670","14.2","49.3","","26.9","9.5","","","","",""
"Koenig, Jared","657649","1.2","56.6","25.2","","3.9","13.1","","","",""
"Anderson, Chase","502624","15.2","1.4","33.9","","30.4","4.0","","","15.2",""
"Smyly, Drew","592767","0.3","47.7","3.3","","","48.6","","","",""
"Leiter Jr., Mark","643410","1.6","28.6","7.5","0.1","0.2","17.0","36.1","","9.0",""
"Hancock, Emerson","676106","33.6","28.8","5.9","10.5","21.1","","","","0.1",""
"Herrin, Tim","682120","24.3","12.8","","27.6","","35.3","","","",""
"Neris, Héctor","593576","48.3","7.8","","3.4","","","40.5","","",""
"Cano, Yennier","666974","11.6","50.8","","10.0","24.6","","","","3.0",""
"Faedo, Alex","656412","35.2","5.4","","39.6","19.9","","","","",""
"Jarvis, Bryce","686826","34.6","14.7","12.4","24.0","13.6","0.7","","","",""
"Estrada, Jeremiah","669093","56.4","0.1","","23.6","","","19.8","","",""
"Sandlin, Nick","680704","29.9","8.8","","34.8","","","26.5","","",""
"Ottavino, Adam","493603","10.0","33.8","11.0","2.1","5.0","0.8","","","37.4",""
"Rogers, Tyler","643511","0.6","63.9","","35.5","","","","","",""
"Hoffman, Jeff","656546","36.3","11.0","","40.8","","","12.0","","",""
"Hudson, Daniel","543339","50.3","5.1","","40.9","3.7","","","","",""
"Stratton, Chris","608717","37.8","9.2","","20.6","10.0","22.1","","","0.3",""
"Brebbia, John","605154","48.2","","","51.8","","","","","",""
"Faucher, Calvin","676534","33.2","","37.9","","","22.0","","","6.9",""
"Suarez, José","660761","40.0","8.7","1.0","13.3","24.7","0.3","","","12.0",""
"Clase, Emmanuel","661403","","1.6","77.8","20.5","","","","","",""
"Hill, Tim","657612","26.1","68.7","","5.2","","","","","",""
"Strahm, Matt","621381","53.4","15.3","11.8","19.4","0.1","","","","",""
"Garrett, Reed","657585","16.8","12.4","23.7","","","","27.1","","19.9",""
"Kuhl, Chad","641771","10.0","22.2","9.3","35.6","12.6","","","","10.3",""
"Stanek, Ryne","592773","59.3","2.8","","16.6","","","21.4","","",""
"Díaz, Alexis","664747","57.9","","","42.1","","","","","",""
"Suarez, Robert","663158","69.5","17.5","0.4","","12.6","","","","",""
"Thompson, Ryan","657044","10.1","64.2","","25.7","","","","","",""
"Bummer, Aaron","607481","10.0","39.8","5.0","","1.1","2.3","","","41.8",""
"Voth, Austin","608723","23.7","","33.8","","","18.8","","","23.7",""
"Pressly, Ryan","519151","33.0","2.1","","28.9","11.1","24.9","","","",""
"Meyer, Max","676974","39.6","1.9","","40.6","17.9","","","","0.1",""
"Chafin, Andrew","605177","14.8","39.4","","45.8","","","","","",""
"Boyle, Joe","671212","59.0","","","34.3","","3.7","","","3.0",""
"Kimbrel, Craig","518886","65.7","","","","0.5","28.9","","","4.9",""
"Soto, Gregory","642397","10.9","46.9","0.7","33.5","","","","","7.9",""
"Kelly, Zack","677161","29.9","","21.9","","20.9","","","","27.2",""
"Bender, Anthony","669622","1.9","45.2","2.2","1.6","3.8","","","","45.4",""
"Zerpa, Angel","672582","19.7","43.7","","26.1","10.3","0.2","","","",""
"Muñoz, Andrés","662253","32.3","20.6","","47.1","","","","","",""
"Nicolas, Kyle","693312","55.1","","","22.0","","22.9","","","",""
"Erceg, Lucas","668674","30.9","21.3","","27.9","19.9","","","","",""
"Garcia, Robert","676395","52.7","0.1","","16.0","31.2","","","","",""
"Anderson, Justin","605121","33.1","14.0","7.6","45.3","","","","","",""
"Junis, Jakob","596001","9.7","36.3","0.2","","8.6","","","","45.3",""
"Ferguson, Caleb","657571","43.3","9.8","26.5","","","","","","0.2","20.2"
"Rainey, Tanner","663432","70.9","","","27.7","1.4","","","","",""
"Miller, Tyson","668338","47.3","3.4","","","2.2","3.2","","","43.8",""
"Webb, Jacob","657097","44.3","","","","27.7","","","","28.1",""
"Helsley, Ryan","664854","45.4","","","48.2","","6.3","","","",""
"Alcala, Jorge","660896","43.8","7.7","","38.7","9.8","","","","",""
"Iglesias, Raisel","628452","30.2","18.4","","20.7","30.7","","","","",""
"Hudson, Bryan","663542","52.2","","24.5","","","","","","23.3",""
"Romero, JoJo","668941","9.9","39.0","0.1","","17.1","","","","33.9",""
"Jackson, Luke","592426","31.6","","1.0","52.0","","15.4","","","",""
"Phillips, Evan","623465","36.5","9.9","14.9","","","","","","38.6",""
"Johnson, Pierce","572955","24.2","","4.1","","","71.6","","","",""
"Turnbull, Spencer","605513","35.0","12.1","","5.3","5.3","9.0","","","33.2",""
"Díaz, Edwin","621242","52.1","","","47.9","","","","","",""
"Roupp, Landen","694738","2.6","39.6","","4.2","9.4","44.2","","","",""
"Nardi, Andrew","677053","60.8","","","0.7","0.8","","","","37.7",""
"Harvey, Hunter","640451","62.9","","","4.6","","9.3","23.2","","",""
"Foley, Jason","671345","7.5","55.9","","31.5","5.1","","","","",""
"McArthur, James","663704","9.1","35.7","","21.6","","33.7","","","",""
"Varland, Louis","686973","42.5","3.8","","27.7","10.4","15.5","","","",""
"Payamps, Joel","606303","32.5","19.6","","20.1","7.7","","","","20.1",""
"Brazobán, Huascar","623211","21.7","24.8","24.6","","28.9","","","","",""
"García, Luis","472610","5.4","53.2","1.9","12.9","","","18.5","","8.1",""
"Smith, Burch","572143","50.0","0.2","21.4","","0.8","18.3","","","9.3",""
"Schreiber, John","670167","24.4","26.0","16.5","","6.1","","","","26.9",""
"Martin, Davis","663436","28.5","","","17.4","19.7","7.6","","","26.8",""
"Thielbar, Caleb","573204","43.4","","","0.9","","24.8","","","30.9",""
"Sims, Lucas","608371","31.3","0.1","15.5","2.4","","7.3","0.2","","43.2",""
"Duran, Jhoan","661395","40.7","","","","","27.7","31.4","","0.1",""
"Rodríguez, Randy","678495","48.6","6.0","","39.8","5.6","","","","",""
"Holderman, Colin","670059","1.0","25.7","25.7","0.1","","","","","47.5",""
"Mantiply, Joe","573009","4.6","42.4","","","26.4","26.5","","","",""
"Rodriguez, Eduardo","593958","42.6","8.8","19.2","6.9","22.5","","","","",""
"Mlodzinski, Carmen","669387","39.8","","20.3","26.6","0.3","","","","12.9",""
"Pérez, Cionel","672335","24.2","38.3","","","","0.1","","","","37.4"
"Elder, Bryce","693821","12.4","42.8","0.1","31.4","13.3","","","","",""
"Bernardino, Brennan","657514","","46.6","11.5","6.5","","35.3","","","",""
"Kochanowicz, Jack","686799","6.1","72.6","","14.1","2.9","","","","4.3",""
"Lee, Dylan","669276","33.1","","","54.8","12.1","","","","",""
"King, John","667463","1.4","58.9","","12.0","27.7","","","","",""
"Moore, Matt","519043","50.0","","0.7","","31.7","17.6","","","",""
"Wicks, Jordan","696136","45.1","13.0","","6.0","25.8","6.1","","","4.0",""
"Miller, Shelby","571946","60.6","","","20.6","","","18.8","","",""
"Brown, Ben","676962","62.7","","","","1.6","35.7","","","",""
"Winn, Keaton","676775","26.3","19.2","","13.9","","","40.5","","",""
"Dubin, Shawn","681869","43.7","0.2","15.8","","15.1","15.8","","","9.3",""
"Green, Chad","643338","59.9","0.1","0.7","39.3","","","","","",""
"Martinez, Seth","661527","32.6","21.0","","","14.6","","","","31.9",""
"McFarland, T.J.","519008","","49.2","0.1","","12.3","","","","38.4",""
"Ruiz, José","614179","28.1","23.6","","3.8","3.2","41.2","","","",""
