"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Bundy, Dylan","605164","2353","2178",,"2404","1361","2148",,,,
"Scherzer, Max","453286","2387",,"2392","2303","1399","2764",,,,
"Plesac, Zach","668676","2144","2105",,"2125","1626","2182",,,,
"Springs, Jeffrey","605488","2255","1998",,"2188","1415",,,,,
"Mahle, Tyler","641816","2295","1939","2397","2496",,,"1895",,,
"Kirby, George","669923","2177","2244","2149","2263","1471","2179",,,"2181",
"Thompson, Zach","605507","2386","2228","2580",,"1864","2244",,,,
"Gray, Jon","592351","2018","1892",,"2212","1455","2597",,,"2471",
"Gomber, Austin","596295","2156","2094",,"2391","1644","2497",,,,
"Stripling, Ross","548389","2124","2001",,"2301","1680","2377",,,,
"Steele, Justin","657006","2490","2432",,"2687","1697","2539",,,,
"Lynn, Lance","458681","2448","2299","2607","2548","1872","2497",,,,
"Syndergaard, Noah","592789","2139","2123","2161","2151","1534","2136","1438",,,
"Gonsolin, Tony","664062","2325","2766",,"2486",,"2570","1411",,,
"Kopech, Michael","656629","2530","2201",,"2391","1630","2393",,,,
"Anderson, Ian","666120","1938",,,,"1519","1874",,,,
"Bradish, Kyle","680694","2308","2005",,"2483","1426","2517",,,,
"Hill, Rich","448179","2252",,"2273",,"1882","2629",,,"2531",
"Wacha, Michael","608379","2130","2034","2049","2016","1583","2173",,,,
"Kremer, Dean","665152","2235","2130","2478",,"1584","2697","1531",,,
"Rogers, Trevor","669432","2423","2318",,,"1372","2085",,,"2037",
"Clevinger, Mike","605182","2316","2193","2471",,"1534","2223",,,"2447",
"Skubal, Tarik","669373","2159","2050",,"2119","1599","2230",,,,
"Peterson, David","656849","2083","2095",,"2325","1639","2304",,,,
"Thompson, Keegan","624522","2369","2343","2553",,"2092","2574",,,"2746",
"Ashby, Aaron","676879","2115","2091",,"2546","1784","2596",,,,
"Espino, Paolo","502179","2228",,,"2622","1423","3006",,,"2739",
"Gray, Sonny","543243","2540","2440","2679","2771","1882","2830",,,"2661",
"Houser, Adrian","605288","2215","2076",,"2265","1547","1984",,,,
"Kikuchi, Yusei","579328","2271","1483","2255","2355","1565","2256",,,,
"Kershaw, Clayton","477132","2407","2404",,"2577","2126","2395",,,,
"Wilson, Bryse","669060","2034","1957","2049","2190","1605","2307","1208",,,
"Junis, Jakob","596001","2111","2193","2450",,"1396",,,,"2474",
"Odorizzi, Jake","543606","2153","2114","2077","2067",,"2209","1323",,,
"Heasley, Jonathan","669169","2322","2350",,"2277","1871","2615",,,,
"Archer, Chris","502042","2174",,,"2464","1705","2459",,,,
"Hearn, Taylor","621368","2321","2201","2260","2126","1771",,,,,
"Suarez, José","660761","2215","2023",,"2584","1553","2686",,,"2637",
"Blackburn, Paul","621112","2133","2000","2484",,"1810","2605",,,"2567",
"Voth, Austin","608723","2357",,"2440",,,"2974","1925",,"2748",
"Hutchison, Drew","571800","2256","2303",,"2582","1738",,,,,
"Ashcraft, Graham","668933","2072","2185","2383","2707","1776",,,,,
"Pallante, Andre","669467","2223","2116",,"2337","1574","2836",,,,
"Minor, Mike","501985","2471","2550",,"2699","2175","2437",,,,
"Eovaldi, Nathan","543135","2129","1850","2376","2171",,"2061","1561",,,
"Smyly, Drew","592767","2383","2157","2103",,"1300","2119",,,,
"Martinez, Nick","607259","2334","2350","2380",,"1718","2605",,,,
"White, Mitch","669952","2278","2172",,"1756","1544","2407",,,"2455",
"Sampson, Adrian","592716","2079","2003","2493","2616","1816",,,,,
"Lodolo, Nick","666157","2312","2341",,,"1962","2733",,,,
"Feltner, Ryan","663372","2346","2304",,"2489","1595","2548",,,"2433",
"Lorenzen, Michael","547179","2452","2255","2495","2511","2053","2653",,,"2474",
"Wells, Tyler","669330","2459",,"2537",,"2098","2672",,,"2586",
"Luzardo, Jesús","666200","2224","2113",,"2325","1900",,,,,
"Watkins, Spenser","657093","2262","2019","2455","2642","1646","2571",,,"2588",
"Ureña, José","570632","2158","2189",,"2323","1699",,,,,
"Severino, Luis","622663","2257","2119","2426","2682","1558",,,,"2800",
"Alexander, Tyler","641302","2277","2127","2349","2292","1524",,,,"2343",
"Civale, Aaron","650644","2354","2312","2611","2781",,"2971","1843",,"2842",
"Contreras, Roansy","672710","2389",,,"2489","2080","2728",,,,
"Senzatela, Antonio","622608","2133","2098",,"2100","2082","2206",,,,
"Rodriguez, Eduardo","593958","2173","2148","2193","2170","1873",,,,,
"Garrett, Braxton","666129","2320","2090",,,"1637","2299",,,"2298",
"Williams, Trevor","592866","2241","1916",,"2248","1797","2256",,,,
"Crowe, Wil","640444","2482","2267",,"2779","1740","2463",,,"2801",
"Yarbrough, Ryan","642232","1820",,"2084",,"1920",,,,"2167","2318"
"Peralta, Freddy","642547","2352",,,"2116","1694","2067",,,"2138",
"Hendricks, Kyle","543294","2022","1889",,,"2040","2983",,,,
"Burke, Brock","656271","2286","2012",,"2158","1991",,,,,
"Crawford, Kutter","676710","2420",,"2423","2429","1441","2271","1125",,,
"Falter, Bailey","663559","2089","1778",,"1967","1567","2125",,,,
"Oller, Adam","670124","2204","2081","2180","1787","1654","2058",,,,"1920"
"Brieske, Beau","689225","2375","2384",,"2187","2219","2262",,,,
"Velasquez, Vince","592826","2417","2248",,"2500","1552","2361",,,,
"Scott, Tanner","656945","2560",,,"2735",,,,,,
"Gore, MacKenzie","669022","2237",,,"1957","2083","2293",,,,
"Moore, Matt","519043","2385",,,,"2020","2434",,,,
"Cessa, Luis","570666","2297","2190",,"2528","1679",,,,,
"Akin, Keegan","669211","2256",,,"2163","1967","2385",,,,
"Smith, Caleb","592761","2435","1594",,"2332","2130","2410",,,,
"Sánchez, Aníbal","434671","2063","1921","2095","2179","1470","1953",,,,
"Heaney, Andrew","571760","2442",,,"2583","2124",,,,,
"Ramírez, Erasmo","541640","2188","2206","2385",,"1657","2562",,,,
"Cabrera, Edward","665795","2289","2258",,"2423","1679","2431",,,,
"Coleman, Dylan","669395","2450","2312",,"2532",,,,,"2439",
"Adon, Joan","672851","2188","2135",,"2061","1886","2263",,,,
"Nelson, Nick","656793","1969","1842",,"2265","1916","2231",,,,
"Chavez, Jesse","445926","1950","1976","2223",,"1826","2512",,,,
"Barlow, Scott","605130","2395","2159",,"2473",,"2513",,,,
"Winckowski, Josh","670174","2201","2034","2140","2336","1687",,,,,
"Eflin, Zach","621107","2176","2048","2151","2130","1699","2381",,,,
"Baker, Bryan","641329","2335",,,"2411","1913",,,,,
"Cishek, Steve","518553","2377","2289",,"2275","2013",,,,,
"De Jong, Chase","608328","2412",,,"2428","1644","2557","1665",,,
"Diekman, Jake","518617","2297","2168",,,"1545",,,,"2850",
"Rogers, Tyler","643511","2006","1928",,"2300",,,,,,
"Whitlock, Garrett","676477","2185","2142",,"1939","2046",,,,"1796",
"Keuchel, Dallas","572971","2196","1940","2167","2316","1551",,,,,
"Richards, Trevor","670950","2222","2213",,"2116","2505",,,,,
"López, Jorge","605347","2064","1989",,"2369","1699","2449",,,,
"Alexander, Jason","669920","2132","2067",,,"1806",,,,"2512",
