"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Alcantara, Sandy","645261","19.4","26.6","14.6","6.8","20.4","3.5","","","8.7",""
"Sánchez, Cristopher","650911","","43.6","","19.1","37.4","","","","",""
"Luzardo, Jesús","666200","25.1","18.0","","","18.7","","","","38.2",""
"Schlittler, Cam","693645","44.3","20.0","25.8","1.2","","8.8","","","",""
"Rodriguez, Eduardo","593958","39.6","8.6","12.9","","26.2","12.7","","","",""
"Gore, MacKenzie","669022","46.4","5.6","7.3","10.0","12.0","18.7","","","",""
"McLean, Nolan","690997","20.4","32.6","10.4","2.5","6.0","14.8","","","13.1",""
"Cease, Dylan","656302","36.9","8.4","","29.6","11.5","9.6","","","4.0",""
"Bibee, Tanner","676440","22.6","22.8","24.5","","14.6","10.7","","","5.0",""
"Wacha, Michael","608379","26.9","14.8","14.9","8.6","24.7","10.1","","","",""
"Peralta, Freddy","642547","53.5","","","5.1","21.6","14.2","","","5.6",""
"Williams, Gavin","668909","25.5","17.1","6.8","","","21.8","","","28.8",""
"Bradley, Taj","671737","46.5","","24.2","","","9.3","20.0","","",""
"Gausman, Kevin","592332","51.2","","","9.8","0.9","","38.0","","",""
"King, Michael","650633","19.2","28.1","","4.5","28.2","","","","20.0",""
"Detmers, Reid","672282","45.7","1.3","","32.2","9.7","11.1","","","",""
"Abbott, Andrew","671096","45.2","","2.3","","18.8","13.4","","","20.3",""
"Roupp, Landen","694738","5.3","34.3","13.1","","21.0","26.4","","","",""
"Skenes, Paul","694973","41.0","10.6","","7.4","13.6","0.4","11.2","","15.8",""
"Baz, Shane","669358","34.2","8.2","16.2","","8.6","32.7","","","",""
"Nola, Aaron","605400","24.1","18.6","7.2","0.9","16.1","33.1","","","",""
"Cameron, Noah","702070","25.4","4.1","20.3","11.8","21.2","17.2","","","",""
"Gilbert, Logan","669302","39.2","0.4","6.3","24.7","7.6","0.1","14.2","","7.5",""
"Cavalli, Cade","676917","33.2","13.6","5.5","","7.8","26.7","","","13.2",""
"Imanaga, Shota","684007","41.2","6.3","","2.0","","2.7","32.8","","14.9",""
"Burke, Sean","680732","37.3","14.4","8.5","17.2","2.1","20.5","","","",""
"Lugo, Seth","607625","15.8","20.1","16.0","9.1","8.9","18.1","","","10.5","1.6"
"Ray, Robbie","592662","33.3","13.3","","24.4","18.3","10.7","","","",""
"Soriano, José","667755","23.1","27.6","","4.5","","25.9","18.9","","",""
"Griffin, Foster","656492","16.4","10.3","32.4","","10.6","9.9","6.0","","14.4",""
"Valdez, Framber","664285","2.8","45.0","","4.7","18.5","28.9","","","",""
"Weathers, Ryan","677960","22.6","20.1","","11.9","25.4","","","","20.1",""
"Messick, Parker","800048","38.3","16.6","6.3","4.9","23.8","10.1","","","",""
"Pallante, Andre","669467","32.0","17.9","","29.6","","17.7","2.8","","",""
"Bradish, Kyle","680694","17.4","35.2","","25.5","0.2","21.7","","","",""
"Lorenzen, Michael","547179","19.0","20.1","14.2","7.7","20.8","11.1","","","7.0",""
"Cantillo, Joey","676282","34.1","","5.9","5.1","25.6","29.4","","","",""
"Singer, Brady","663903","2.5","48.7","7.2","25.9","","","","","15.7",""
"Yamamoto, Yoshinobu","808967","26.8","12.6","15.0","6.3","","12.5","26.7","","",""
"Kay, Anthony","641743","22.4","17.4","17.1","6.3","14.5","","","","22.4",""
"McGreevy, Michael","700241","25.1","16.7","11.8","4.5","19.7","12.2","","","10.1",""
"Burns, Chase","695505","56.4","","","38.4","5.2","0.0","","","",""
"Woo, Bryan","693433","47.2","18.8","","15.3","6.2","1.6","","","10.9",""
"Kirby, George","669923","28.7","21.3","3.1","","6.6","9.6","1.0","","29.7",""
"Ashcraft, Braxton","677952","31.5","14.6","","23.0","","26.2","4.7","","",""
"Ryan, Joe","657746","45.6","9.6","","6.2","","11.6","12.5","","14.5",""
"Misiorowski, Jacob","694819","63.9","","13.2","11.0","1.3","10.6","","","",""
"Sale, Chris","519242","41.2","8.2","","39.4","11.2","","","","",""
"Chandler, Bubba","696149","48.9","6.4","","20.5","15.7","3.6","","","4.9",""
"Webb, Logan","657277","13.4","28.8","13.7","","24.9","","","","19.2",""
"Elder, Bryce","693821","22.4","27.8","15.1","23.7","11.0","","","","",""
"Buehler, Walker","621111","19.5","19.0","25.0","10.6","9.8","8.8","","","7.2",""
"Rogers, Trevor","669432","45.5","9.8","9.8","","22.0","","","","13.0",""
"Castillo, Luis","622491","42.6","17.9","0.0","25.6","13.8","","","","",""
"Rea, Colin","607067","42.5","8.4","5.3","10.9","18.5","5.4","","","9.1",""
"deGrom, Jacob","594798","42.3","2.2","","36.4","12.7","6.4","","","",""
"Liberatore, Matthew","669461","30.8","8.7","4.1","24.4","14.6","17.0","0.4","","0.1",""
"Ginn, J.T.","669372","11.8","35.7","16.6","15.5","20.4","","","","",""
"Eovaldi, Nathan","543135","13.7","7.1","19.3","0.8","","22.4","36.7","","",""
"Hancock, Emerson","676106","39.2","23.6","11.4","","5.0","4.3","","","16.5",""
"Warren, Will","701542","37.0","26.8","","","12.1","5.1","","","19.0",""
"Martin, Davis","663436","27.1","18.4","12.8","13.5","14.0","14.2","","","",""
"Rasmussen, Drew","656876","29.2","22.8","29.3","","12.2","4.0","","","2.7",""
"Pérez, Eury","691587","38.9","16.6","","16.0","9.0","5.7","","","13.8",""
