"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Kelly, Merrill","518876","26.9","9.8","13.9","10.1","27.4","12.0","","","",""
"Lambert, Peter","663567","31.2","9.9","10.1","12.9","23.0","0.5","","","8.2","4.3"
"Freeland, Kyle","607536","24.1","8.5","21.5","","13.6","21.3","","","11.0",""
"Rocker, Kumar","677958","12.7","29.4","14.5","38.4","4.2","","0.9","","",""
"Leahy, Kyle","681517","26.8","13.0","","16.4","13.9","16.4","","","13.5",""
"May, Dustin","669160","25.9","18.0","23.3","","7.0","6.6","","","19.1",""
"Gray, Sonny","543243","17.7","21.2","19.1","","5.0","16.7","","","20.2",""
"Littell, Zack","641793","26.1","14.2","","28.2","","","22.8","","8.7",""
"Sugano, Tomoyuki","608372","20.1","19.6","11.4","9.7","","7.0","21.6","","10.6",""
"Wrobleski, Justin","680736","49.6","7.8","1.3","27.8","5.4","4.9","0.1","","3.2",""
"Martinez, Nick","607259","11.9","30.7","20.9","3.6","27.5","5.3","","","",""
"Young, Brandon","687064","40.2","13.4","","15.2","","12.0","19.2","","",""
"Manaea, Sean","640455","38.6","20.0","6.9","","3.5","","","","30.9",""
"Keller, Mitch","656605","32.0","17.1","7.4","9.5","9.0","9.1","","","16.0",""
"Sasaki, Roki","808963","42.3","","","21.5","","","28.1","","",""
"Holmes, Grant","656550","29.0","12.0","9.1","36.1","6.2","7.7","","","",""
"Springs, Jeffrey","605488","44.2","","1.7","24.8","23.5","","","","5.9",""
"Fedde, Erick","607200","1.4","30.4","19.3","","12.1","","","","36.8",""
"Cecconi, Slade","677944","26.7","20.8","25.2","5.3","2.2","14.8","0.1","","4.8",""
"Peterson, David","656849","24.4","30.1","","22.6","12.7","10.3","","","",""
"Montero, Keider","672456","30.8","22.4","","19.4","13.9","13.6","","","",""
"Wheeler, Zack","554430","35.3","15.4","10.8","","","8.5","15.9","","14.0",""
"Ureña, Walbert","700712","21.8","31.0","","","32.2","","","","15.0",""
"Mikolas, Miles","571945","24.6","23.9","","23.2","8.0","15.0","","","5.3",""
"Vásquez, Randy","681190","31.2","14.5","24.2","5.8","8.0","9.6","","","6.7",""
"Meyer, Max","676974","24.0","9.7","","26.0","10.2","","","","30.0",""
"Mahle, Tyler","641816","48.4","1.0","17.1","7.3","","","26.3","","",""
"Mlodzinski, Carmen","669387","28.1","17.3","3.1","3.9","","11.3","25.7","","10.6",""
"Suarez, Ranger","624133","22.7","23.2","20.6","3.7","13.4","16.5","","","",""
"Pérez, Martín","527048","4.8","34.8","22.4","","30.3","7.7","","","",""
"Skubal, Tarik","669373","35.1","20.5","","13.7","26.3","4.4","","","",""
"Tolle, Payton","801139","46.8","21.7","19.1","","3.4","9.0","","","",""
"Lowder, Rhett","695076","20.4","29.1","","27.6","20.5","2.2","","","0.1",""
"Sheehan, Emmet","686218","42.8","","","30.0","16.3","11.0","","","",""
"Sproat, Brandon","687075","24.3","26.0","21.5","","8.1","9.8","","","10.3",""
"Flaherty, Jack","656427","49.2","4.5","","24.2","2.6","19.6","","","",""
"Gallen, Zac","668678","37.0","5.3","","21.6","17.6","18.6","","","",""
"Ober, Bailey","641927","32.5","2.8","","16.8","34.2","1.6","","","12.0",""
"Houser, Adrian","605288","19.9","46.6","","10.0","16.2","7.3","","","",""
"Harrison, Kyle","690986","57.4","2.0","","","9.5","","","","","31.0"
"Lauer, Eric","641778","42.3","","22.3","8.1","15.6","11.8","","","",""
"McClanahan, Shane","663556","37.8","","","18.9","29.1","14.3","","","",""
"Lopez, Jacob","682052","34.1","3.9","20.4","33.0","8.6","","","","",""
"Phillips, Tyler","663969","8.6","25.6","","1.1","","17.0","23.7","","24.0",""
"Burrows, Mike","681347","28.5","13.5","","16.5","27.1","14.4","","","",""
"Mize, Casey","663554","34.3","10.5","","27.0","","","23.7","","","4.5"
"Seymour, Ian","693855","27.1","13.4","0.7","4.4","30.8","0.9","","","22.7",""
"Yesavage, Trey","702056","46.6","","","24.6","","","28.8","","",""
"Drohan, Shane","675660","29.0","20.3","12.1","20.3","4.9","13.5","","","",""
"Scott, Christian","681035","48.3","1.8","17.7","0.1","0.1","5.5","3.3","","23.2",""
"Civale, Aaron","650644","12.0","17.6","36.0","3.7","","24.6","6.1","","",""
"Early, Connelly","813349","35.1","19.9","","8.0","18.3","10.9","","","7.9",""
"Prielipp, Connor","687570","28.8","13.5","","29.7","10.8","17.1","","","",""
"Arrighetti, Spencer","681293","29.6","10.1","6.3","1.1","6.9","33.7","","","12.4",""
"Junk, Janson","676083","35.6","4.0","","20.8","17.9","7.7","","","13.8",""
"Matthews, Zebby","805673","37.2","4.3","11.1","21.4","13.1","12.9","","","",""
"Painter, Andrew","691725","32.9","9.4","","19.8","4.8","7.3","11.1","","14.7",""
"Soroka, Michael","647336","32.6","10.3","11.8","","12.7","","","","0.7","32.0"
"Bello, Brayan","678394","6.7","41.2","16.0","","19.0","4.5","","","12.6",""
"Feltner, Ryan","663372","28.1","13.9","","24.4","16.3","7.5","","","9.8",""
"Patrick, Chad","694477","25.2","22.9","42.6","","0.6","","","","","8.7"
"Taillon, Jameson","592791","27.6","9.5","18.6","1.0","15.9","10.9","","","16.5",""
"Perkins, Jack","678022","33.8","3.7","12.0","2.5","19.2","","","","28.8",""
"Corbin, Patrick","571578","11.3","27.1","15.2","27.4","17.5","1.6","","","",""
"Jax, Griffin","643377","17.8","20.8","3.6","","23.4","9.2","","","25.2",""
"Leiter, Jack","683004","38.5","7.3","9.8","18.3","17.4","8.7","","","",""
"Pfaadt, Brandon","694297","25.1","18.2","11.8","","16.3","15.6","","","13.0",""
"Jump, Gage","695611","46.9","4.1","","23.1","8.6","11.3","","","6.0",""
"Ohtani, Shohei","660271","45.1","5.2","0.7","1.1","","10.0","8.5","","29.4",""
"Boyd, Matthew","571510","46.1","0.5","","14.9","26.1","12.5","","","",""
"Cole, Gerrit","543037","48.9","4.4","","19.4","14.6","12.8","","","",""
"Fried, Max","608331","18.4","22.1","22.6","1.2","12.2","12.8","","","10.6",""
"Blubaugh, AJ","805123","50.9","","4.8","","21.3","1.1","","","21.9",""
"Avila, Luinder","679883","26.0","27.4","","21.7","10.3","14.7","","","",""
"Nelson, Ryne","669194","56.8","3.7","9.9","20.0","","9.5","","","",""
"Cabrera, Edward","665795","17.0","21.2","","11.7","30.5","19.7","","","",""
"Irvin, Jake","663623","28.3","21.0","10.9","","6.8","23.8","","","9.2",""
"Anderson, Drew","623454","39.7","1.6","","5.4","30.7","22.6","","","",""
"Miller, Bryce","682243","42.7","5.9","5.0","9.9","","4.3","25.8","","6.5",""
"Assad, Javier","665871","19.0","42.1","12.6","4.5","7.5","7.2","","","7.1",""
"Canning, Griffin","656288","25.8","9.9","6.2","24.0","22.6","8.1","","","3.5",""
"Melton, Troy","675512","34.8","8.3","22.4","16.2","11.1","7.1","","","",""
"Imai, Tatsuya","837227","43.5","4.9","","45.3","2.3","0.5","3.4","","",""
"Alvarez, Andrew","674841","28.3","14.3","","23.2","3.9","30.3","","","",""
"Ashby, Aaron","676879","2.1","52.4","","13.8","11.4","20.3","","","",""
"Suter, Brent","608718","25.3","32.0","","14.1","28.6","","","","",""
"Lodolo, Nick","666157","26.0","26.0","","","23.6","24.4","","","",""
"López, Reynaldo","625643","54.8","","","30.8","3.5","10.9","","","",""
"Miles, Spencer","693686","15.4","42.1","","16.5","0.2","25.8","","","",""
"Gasser, Robert","688107","23.6","22.9","18.2","","9.1","","","","26.2",""
"Brown, Hunter","686613","33.3","29.0","","8.3","9.8","19.7","","","",""
"Teng, Kai-Wei","678906","28.1","15.2","","1.8","10.2","9.7","","","35.0",""
"Agnos, Zach","688642","25.1","13.0","23.6","12.7","","","10.7","","15.0",""
"Bennett, Jake","687562","35.2","24.0","4.2","","26.3","3.5","","","6.9",""
"Schultz, Noah","702273","22.6","25.9","21.0","","10.0","2.3","","","18.2",""
"Ramírez, Yohan","670990","23.5","24.8","","","0.4","12.8","","","38.4",""
"McDonald, Trevor","686790","1.0","57.6","0.8","25.9","14.7","","","","",""
"Lord, Brad","695418","36.4","23.1","","21.6","4.9","","","","14.0",""
"Bachar, Lake","669199","28.6","4.9","","23.7","","16.7","9.0","","17.0",""
"Quantrill, Cal","615698","20.3","25.8","26.8","","","4.5","22.6","","",""
"Gordon, Tanner","685299","42.6","3.4","","23.9","21.1","9.0","","","",""
"Rodriguez, Grayson","680570","53.1","","","11.7","23.9","11.3","","","",""
"Kochanowicz, Jack","686799","22.2","38.3","","16.3","23.2","","","","",""
"Matz, Steven","571927","","48.6","0.3","8.8","30.0","12.4","","","",""
"Johnson, Ryan","696270","","23.5","33.5","0.4","","","23.7","","19.0",""
"Severino, Luis","622663","21.2","23.8","20.7","4.2","5.4","","","","24.6",""
"Woods Richardson, Simeon","680573","43.8","0.1","","23.0","","8.5","24.6","","",""
"Zeferjahn, Ryan","666171","35.3","14.4","","10.3","","2.6","","","37.4",""
"Bassitt, Chris","605135","5.4","36.9","21.6","2.2","5.2","23.1","","","5.5",""
"Newcomb, Sean","656794","37.3","22.4","1.4","","2.8","2.3","","","","33.7"
"Harris, Hogan","663687","59.4","","1.3","7.6","4.8","26.5","","","","0.4"
"Jones, Jared","683003","45.8","","","34.9","12.2","7.1","","","",""
"Marinaccio, Ron","676760","42.6","","20.6","","27.3","","","","9.5",""
"Morejon, Adrian","670970","14.5","45.7","","17.5","22.4","","","","",""
"Taylor, Grant","691799","47.0","10.3","0.4","14.7","","27.6","","","",""
"Ritchie, JR","702275","18.0","20.7","9.7","6.9","17.3","27.4","","","",""
"Bruihl, Justin","677865","5.7","44.8","1.2","","9.6","","","","38.7",""
"Suarez, José","660761","37.7","8.5","0.7","26.0","24.3","","","","2.8",""
"Paddack, Chris","663978","34.5","6.1","13.1","0.1","27.2","11.3","","","7.7",""
"Morris, Andrew","702193","45.6","11.5","19.5","","11.4","1.7","","","10.2",""
"Varland, Louis","686973","40.2","2.6","","8.1","18.1","31.1","","","",""
"Hoffman, Jeff","656546","30.7","4.9","","43.0","","","21.4","","",""
"Brown, Ben","676962","37.0","20.6","","","6.0","36.5","","","",""
"Fisher, Braydon","680755","17.6","0.2","3.0","50.5","","28.7","","","",""
"Peralta, Wandy","593974","9.9","39.8","","16.6","33.7","","","","",""
"Mejia, Juan","675848","52.9","6.1","","2.5","2.7","","","","35.8",""
"Burke, Brock","656271","40.6","13.5","","28.5","17.4","","","","",""
"Holmes, Clay","605280","0.6","50.2","6.7","","14.8","8.1","","","19.5",""
"Headrick, Brent","687396","48.4","10.1","","33.1","","","8.4","","",""
"Medina, Luis","665622","30.9","26.2","","16.1","14.4","12.4","","","",""
"Blackburn, Paul","621112","3.2","33.5","21.4","0.6","21.1","14.6","","","5.6",""
"Smith, Cade","671922","62.8","","","","","","24.6","","12.6",""
"Moll, Sam","594580","11.0","36.6","","","16.1","","","","36.3",""
"Okert, Steven","595345","27.3","5.2","","67.3","0.2","","","","",""
"Brubaker, JT","664141","6.3","45.5","","25.7","14.1","8.4","","","",""
"Henderson, Logan","701656","45.6","","18.5","","32.6","","","","3.4",""
"Watson, Ryan","670245","19.7","16.7","26.3","","","14.4","1.1","","21.7",""
"Webb, Jacob","657097","44.2","","","8.8","37.6","6.6","","","2.8",""
"Bednar, David","670280","41.3","","","","","19.0","39.7","","",""
"Márquez, Germán","608566","38.1","13.9","","13.0","3.2","31.8","","","",""
"Holton, Tyler","663947","12.5","19.3","31.5","","16.7","4.0","","","15.9",""
"Faucher, Calvin","676534","8.3","14.6","35.8","2.7","","14.5","","","24.1",""
"Wells, Tyler","669330","28.9","","28.3","15.4","23.0","4.5","","","",""
"Brazobán, Huascar","623211","6.1","51.5","3.1","0.7","38.6","","","","",""
"Graceffo, Gordon","700669","39.4","7.2","","29.8","12.4","11.3","","","",""
"Senga, Kodai","673540","39.3","3.6","15.5","7.4","","0.2","","","9.3",""
"Soto, Gregory","642397","17.3","37.4","","28.1","","","0.1","","17.1",""
"Fuentes, Didier","800311","69.9","","","23.8","","0.4","5.9","","",""
"Rodriguez, Bradgley","699134","25.2","24.8","","7.4","42.6","","","","",""
"De Los Santos, Enyel","660853","44.2","","","30.6","25.2","","","","",""
"Soriano, George","666277","28.8","8.7","","22.4","29.9","","","","10.3",""
"Lange, Alex","656638","10.5","23.7","12.6","31.5","21.6","","","","",""
"Mayza, Tim","641835","7.8","57.8","","31.8","","","2.6","","",""
"Bazardo, Eduard","660825","0.4","63.2","","","","","2.1","","34.3",""
"Kerkering, Orion","689147","33.5","17.8","","","","","5.2","","43.6",""
"Senzatela, Antonio","622608","37.0","14.4","30.9","2.4","6.0","9.4","","","",""
"Gómez, Yoendrys","672782","45.8","10.2","14.6","","5.0","","","","24.4",""
"Cruz, Fernando","518585","31.9","3.0","","13.4","","","51.8","","",""
"Latz, Jacob","656641","54.6","","","18.7","18.7","7.9","","","",""
"Alvarado, José","621237","1.9","62.6","32.5","","","3.0","","","",""
"Richards, Trevor","670950","62.8","","","8.2","28.9","","","","",""
"Alexander, Tyler","641302","17.2","19.4","22.1","","24.0","","","","17.4",""
"Stanek, Ryne","592773","50.9","10.3","","23.6","","","15.0","","0.2",""
"Lee, Dylan","669276","30.4","","","52.7","16.9","","","","",""
"Kremer, Dean","665152","25.2","15.2","15.7","1.7","","13.8","28.4","","",""
"Petersen, Michael","656848","60.6","0.1","","26.9","12.4","","","","",""
"Gusto, Ryan","687473","28.2","12.9","13.5","9.8","15.4","6.9","","","13.3",""
"King, Bryan","687911","57.7","12.9","","","1.0","","","","28.3",""
"Dobbins, Hunter","690928","32.2","12.8","","16.9","","11.0","12.2","","15.0",""
"Finnegan, Kyle","640448","52.9","","","14.7","","","32.4","","",""
"Silseth, Chase","681217","40.7","14.4","","","","","26.8","","18.2",""
"Legumina, Casey","668984","42.7","21.7","","13.2","10.3","","","","12.0",""
"Festa, Matt","670036","47.7","6.6","6.3","","","","","","39.4",""
"Hudson, Bryan","663542","67.1","5.0","1.5","","","","","","26.4",""
"Montgomery, Mason","682254","53.7","12.5","","16.5","2.7","14.5","","","",""
"Kolek, Stephen","663568","28.3","21.7","12.3","16.4","11.9","","","","9.3",""
"Miller, Mason","695243","46.0","0.1","","51.6","2.3","","","","",""
"Fluharty, Mason","689254","","","49.0","","9.7","","","","41.3",""
"Bieber, Shane","669456","35.6","4.2","12.1","10.4","18.9","18.8","","","",""
"Rodón, Carlos","607074","44.4","14.1","","24.3","15.6","1.6","","","",""
"Abreu, Bryan","650556","46.1","","8.7","45.0","0.1","","","","",""
"O'Brien, Riley","676617","","60.7","","7.9","1.0","","","","30.5",""
"Hart, Kyle","606996","8.7","28.8","","15.1","","","20.3","","27.1",""
"Erceg, Lucas","668674","28.9","28.3","0.7","28.4","13.7","","","","",""
"Rogers, Taylor","573124","","36.9","13.1","","","","","","50.0",""
"Rogers, Tyler","643511","","77.1","","22.9","","","","","",""
"Domínguez, Seranthony","622554","41.8","16.8","","","","1.8","10.7","","28.8",""
"Ferrer, José A.","678606","0.1","71.2","","11.8","16.8","","","","",""
"Doval, Camilo","666808","","40.1","27.8","29.1","2.9","","","","",""
"Morán, Jovani","663558","38.7","7.3","12.3","","36.9","0.2","","","4.6",""
"Bubic, Kris","663460","41.2","12.7","","8.9","20.0","","","","17.3",""
"Bernardino, Brennan","657514","5.6","41.0","11.9","","7.2","33.2","","","1.1",""
"Ginkel, Kevin","656464","46.8","4.5","","48.7","","","","","",""
"Gray, Peyton","682608","39.6","","","20.3","40.1","","","","",""
"Dreyer, Jack","676263","46.9","","","37.9","","15.3","","","",""
"McCullers Jr., Lance","621121","3.7","21.9","27.6","","14.9","14.6","","","17.3",""
"Henriquez, Edgardo","683618","31.9","27.3","13.3","22.3","","5.2","","","",""
"Matsui, Yuki","673513","37.6","2.9","","30.1","","","25.4","","3.9",""
"Svanson, Matt","694335","1.1","44.9","21.7","","","","","","32.2",""
"Vesia, Alex","681911","53.6","","","31.9","14.5","","","","",""
"Kilian, Caleb","668873","49.9","13.5","","12.8","","23.8","","","",""
"Suárez, Albert","544150","53.3","","21.3","","16.6","8.7","","","","0.1"
"Morillo, Juan","666661","48.2","15.7","","14.6","21.5","","","","",""
"Garcia, Rico","670329","34.7","","","18.8","27.5","19.0","","","",""
"Sulser, Cole","642121","45.2","","11.5","","39.2","","","","4.1",""
"Clarke, Taylor","664199","1.6","19.2","19.4","31.4","28.4","","","","",""
"Holderman, Colin","670059","4.4","50.9","0.1","","","10.9","","","33.6",""
"Weissert, Greg","669711","28.0","36.8","","8.1","10.9","2.6","","","13.5",""
"Nunez, Anthony","689296","28.6","14.6","4.6","","22.9","","","","29.3",""
"Baker, Bryan","641329","51.9","","","3.4","44.7","","","","",""
"Muñoz, Andrés","662253","39.1","8.0","","48.2","4.7","","","","",""
"Rolison, Ryan","669020","42.1","9.4","","15.1","1.2","17.8","","","14.4",""
"Klein, Will","694361","50.9","","","4.6","","16.1","","","28.3",""
"Farris, Mitch","815083","48.6","","13.9","12.2","25.2","","","","",""
"Bachman, Sam","696147","3.2","31.0","","50.9","14.5","","","","0.5",""
"Scherzer, Max","453286","46.3","","0.8","23.2","15.8","13.9","","","",""
"Uribe, Abner","682842","0.3","62.9","","36.8","","","","","",""
"Schreiber, John","670167","27.9","23.5","12.7","","7.9","","","","28.0",""
"Lynch IV, Daniel","663738","15.4","30.3","","23.5","24.0","6.8","","","",""
"Vodnik, Victor","680767","48.9","2.3","1.9","31.2","15.8","","","","",""
"Yarbrough, Ryan","642232","17.6","13.4","26.8","","21.0","","","","21.2",""
"Anderson, Grant","681982","38.3","23.0","","","2.6","","","","36.2",""
"Barnett, Mason","686930","48.7","","","19.5","7.0","10.0","","","14.8",""
"Dollander, Chase","801403","37.7","24.0","","14.5","10.5","7.9","","","5.4",""
"Sisk, Evan","681895","16.6","31.2","","","9.0","26.9","","","16.3",""
"Bowlan, Jonathan","680742","45.1","12.0","","18.1","14.7","1.1","","","9.0",""
"Kelly, Kevin","687330","6.2","58.2","0.4","","26.5","","","","8.7",""
"Fermin, José","820862","6.1","29.8","","58.0","6.1","","","","",""
"Loáisiga, Jonathan","642528","16.7","32.5","5.7","","28.8","16.3","","","",""
"Cruz, Steven","674444","55.7","","28.1","15.8","","","","","0.4",""
"Williams, Devin","642207","52.5","","1.2","","46.3","","","","",""
"Scott, Tanner","656945","46.0","","","54.0","","","","","",""
"Nance, Tommy","667297","0.4","28.6","","40.2","","30.8","","","",""
"Sterner, Justin","686993","39.5","","30.9","","","","","","29.6",""
"Miller, Erik","669062","8.0","46.2","","40.9","4.9","","","","",""
"Romero, JoJo","668941","1.9","44.1","","","17.9","","","","36.1",""
"Herrin, Tim","682120","22.3","23.3","","25.9","0.6","28.0","","","",""
"Duran, Jhoan","661395","26.6","","","","5.7","10.1","47.3","","10.3",""
"Gaddis, Hunter","683769","30.0","","","48.4","20.6","","1.0","","",""
"Iglesias, Raisel","628452","38.1","20.2","","5.9","35.8","","","","",""
"Raley, Brooks","548384","","21.2","28.9","","12.4","","","","37.5",""
"Myers, Tobias","668964","47.9","","11.5","16.2","","","23.0","","1.4",""
"Dobnak, Randy","677976","9.3","38.5","","4.5","22.3","","","","25.4",""
"Santana, Dennis","642701","30.2","12.4","7.6","34.8","15.0","","","","",""
"Pérez, Cionel","672335","20.9","29.1","","","","18.2","","","","31.8"
"Kinley, Tyler","641755","16.6","1.0","","66.5","","15.5","0.4","","",""
"King, John","667463","1.3","32.1","","19.5","20.1","11.5","","","15.5",""
"Shugart, Chase","663767","10.5","28.8","30.7","","8.5","","","","21.5",""
"Winn, Cole","668390","30.6","1.6","30.6","22.9","","0.1","14.1","","",""
"Strider, Spencer","675911","47.6","","","27.6","10.3","14.5","","","",""
"Mattson, Isaac","676755","71.6","","","11.5","9.7","","","","7.3",""
"Fairbanks, Pete","664126","50.1","","23.3","24.6","2.0","","","","",""
"Weaver, Luke","596133","50.8","","14.6","0.1","34.5","","","","",""
"Quintana, Jose","500779","29.7","19.4","","","21.0","15.7","","","","14.3"
"Lawrence, Justin","664875","13.6","42.7","","","","","","","43.7",""
"Megill, Trevor","656730","64.3","","","","","35.7","","","",""
"Adams, Travis","701519","24.0","6.0","20.9","21.5","27.5","","","","",""
"Orze, Eric","679358","26.1","","","14.3","","9.3","50.2","","",""
"Antone, Tejay","622088","5.8","9.0","17.0","1.2","","13.0","","","54.1",""
"Alvarado, Elvis","665660","58.9","12.9","","23.4","0.1","","4.7","","",""
"Hill, Tim","657612","6.5","82.3","","11.3","","","","","",""
"Scholtens, Jesse","669947","21.7","24.4","","31.4","","","12.5","","10.1",""
"Chapman, Aroldis","547973","36.2","35.1","","17.5","","","11.2","","",""
"Parker, Mitchell","680730","33.9","","","49.9","","15.5","0.6","","",""
"Herget, Jimmy","623474","8.5","23.1","","30.1","7.8","","","","30.5",""
"Hicks, Jordan","663855","15.8","49.4","","","","","3.2","","31.6",""
"Cano, Yennier","666974","4.7","54.0","","1.2","","","27.2","","12.8",""
"Thielbar, Caleb","573204","40.2","","","21.5","","26.4","","","11.9",""
"De Jesus, Enmanuel","646241","42.4","13.0","16.7","6.0","22.0","","","","",""
"Thompson, Ryan","657044","4.3","62.5","","33.2","","","","","",""
"Warren, Austin","681810","15.5","25.0","1.4","","0.9","9.5","","","47.7",""
"Sewald, Paul","623149","57.9","","1.1","","","","","","41.0",""
"Wolfram, Grant","664991","22.7","39.2","1.4","12.3","","16.0","","","8.3",""
"Funderburk, Kody","681892","","35.4","33.5","5.6","5.1","","","","20.4",""
"Winn, Keaton","676775","24.5","22.4","","7.5","","","45.7","","",""
"Eisert, Brandon","685126","37.7","6.6","","35.5","20.3","","","","",""
"Woodruff, Brandon","605540","44.0","19.2","10.3","","21.3","4.4","","","0.8",""
"Hughes, Gabriel","687312","55.2","6.6","","10.8","9.7","10.0","","","7.7",""
"Thornton, Zac","804267","25.2","10.8","29.3","14.9","3.6","2.2","","","14.1",""
"Ragans, Cole","666142","56.1","","5.6","13.3","16.5","8.5","","","",""
"Hall, DL","669084","14.1","36.4","0.5","7.7","17.2","14.6","","","9.6",""
"Ribalta, Orlando","687377","28.6","17.9","","39.4","14.1","","","","",""
"Poulin, PJ","676571","29.8","23.1","","","11.8","","","","35.3",""
"Strahm, Matt","621381","38.9","14.5","7.3","28.0","11.4","","","","",""
