"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Webb, Logan","657277","2054","1940","2235",,"1460",,,,"2605",
"Nola, Aaron","605400","2307","2240","2288",,"1558","2604",,,,
"Cease, Dylan","656302","2557","2655","2658","2780","1554","2723",,,"2891",
"Wheeler, Zack","554430","2431","2271","2531",,,"2716","1555",,"2571",
"Ragans, Cole","666142","2553","2567","2503","2542","2161","2471",,,,
"Lugo, Seth","607625","2367","2410","2445","2652","1854","3283","1431",,"2843","3115"
"Rodón, Carlos","607074","2384","1890","2399","2628","1656","2677",,,,
"Peralta, Freddy","642547","2436","2554",,"2349","1731","2201",,,"2329",
"Irvin, Jake","663623","2377","2299","2551","2579","2225","2534",,,,
"Gilbert, Logan","669302","2034","1958","2247","1910",,,"640",,"2283",
"Manaea, Sean","640455","2014","2038","2041","2054","1502",,,,"2169",
"Burnes, Corbin","669203","1805","2520","2738","2982","2037","2877",,,"2970",
"Gore, MacKenzie","669022","2309",,"2026","2157","2018","2399",,,"2256",
"López, Pablo","641154","2206","2104",,,"2108","2647",,,"2453",
"Kirby, George","669923","2232","2220","2301",,,"2469","946","155","2364",
"Singer, Brady","663903","2364","2276","2450","2407","2072",,,,"2425",
"Bassitt, Chris","605135","2162","2101","2240","2376","1930","2290","1267",,"2341",
"Kikuchi, Yusei","579328","2289",,,"2396","1655","2471",,,,
"Anderson, Tyler","542881","2196","2194","2325","2380","1886","2146",,,,
"Berríos, José","621244","2164","2049","2257",,"1588",,,,,"2336"
"King, Michael","650633","2286","2263",,"2425","2045",,,,"2700",
"Fedde, Erick","607200","2076","1987","2150",,"1730",,,,"2356",
"Brown, Hunter","686613","2298","2150","2322","2163","1463","2486",,,,
"Severino, Luis","622663","2220","2090","2297","2544","1583",,,,"2592",
"Corbin, Patrick","571578","2149","2084","2296","2202","1574","1935","1133",,,
"Canning, Griffin","656288","2118","1975",,"2672","1770","2377",,,,
"Gausman, Kevin","592332","2287","2189",,"2239",,,"1764",,,
"Castillo, Luis","622491","2155","2008",,"2296","1894",,,,,
"Sears, JP","676664","2087","1889",,"2385","1675","2431",,,"2427",
"Bibee, Tanner","676440","2361","2081","2738",,"1992","2680",,,"2683",
"Cortes, Nestor","641482","2309","2239","2411","2434","1406",,,,"2577",
"Keller, Mitch","656605","2404","2443","2490","2496","2104","2652",,,"2786",
"Skubal, Tarik","669373","2226","2116",,"2105","1689","2322","930",,,
"Crawford, Kutter","676710","2505",,"2493",,,"2198","1102",,"2271",
"Quintana, Jose","500779","2073","2065",,,"1323","2227",,,,"2258"
"Sale, Chris","519242","2240","2088",,"2334","1881",,,,,
"Sánchez, Cristopher","650911",,"2111","2012","2019","2018",,,,,
"Flexen, Chris","623167","2143","2241","2401","2563","1319","2576",,,"2601",
