"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Cole, Gerrit","543037","2412","2349","2512","2542","1581","2783",,,,
"Cease, Dylan","656302","2519",,,"2795","1678","2641",,,,
"Gallen, Zac","668678","2297","2394","2335","2436","1517","2463",,,,
"Castillo, Luis","622491","2287","2099",,"2347","1906",,,,,
"Mikolas, Miles","571945","2276","2192",,"2335","1640","2490",,,,
"Giolito, Lucas","608337","2173","2312",,"1978","1547","2334",,,,
"Webb, Logan","657277","1979","1873",,,"1476",,,,"2559",
"Snell, Blake","605483","2430","2411",,"2345","1796","2399",,,,
"Lynn, Lance","458681","2424","2259","2575",,"1803","2487",,,,
"Wheeler, Zack","554430","2495","2315","2571",,"1796","2742",,,"2635",
"Bassitt, Chris","605135","2153","2096","2205","2334","1931","2269","1406",,"2286",
"Keller, Mitch","656605","2378","2374","2457","2418","1646","2604",,,"2757",
"Strider, Spencer","675911","2362",,,"2345","2257",,,,,
"Nola, Aaron","605400","2306","2212","2266",,"1557","2591",,,,
"Burnes, Corbin","669203",,"2489","2655","2807","2049","2794",,,"2936",
"Gausman, Kevin","592332","2278","2140",,"2236",,,"1787",,"2237",
"Gibson, Kyle","502043","2258","2117","2352",,"1679","2447",,,"2459",
"López, Pablo","641154","2262","2114",,,"2067","2655",,,"2495",
"Luzardo, Jesús","666200","2250","2150","2146","2320","1968",,,,,
"Oviedo, Johan","670912","2269","2303",,"2470","1822","2386",,,,
"Valdez, Framber","664285","2121","2187","2438","2636","1676","2842",,,,
"Berríos, José","621244","2230","2116","1990",,"1436",,,,,"2376"
"Kremer, Dean","665152","2305","2011","2435",,"1715","2756","1708",,"2658",
"Corbin, Patrick","571578","2101","2036",,"2149","1564",,,,,
"Gilbert, Logan","669302","2000","1956",,"2009",,"2324","906",,,
"Montgomery, Jordan","656756","2345","2199","2373","2402","1673","2356",,,,
"Javier, Cristian","664299","2255",,,"2392","2398","2937",,,"2552",
"Sears, JP","676664","2135","2117",,"2464","1716","2409",,,"2478",
"Elder, Bryce","693821","2132","1970",,"2413","2068",,,,,
"Morton, Charlie","450203","2305","2137","2480",,"2131","3088",,,,
"Peralta, Freddy","642547","2414",,,"2313","1707","2177",,,"2360",
"Walker, Taijuan","592836","2114","1961","2384",,,"2352","1414",,"2558",
"Kirby, George","669923","2209","2229","2229",,"1518","2343","799","452","2335",
"Gray, Sonny","543243","2537","2445","2713",,"1715","2643",,,"2707",
"Kikuchi, Yusei","579328","2339","1926",,"2427","1708","2535",,,"2528",
"Lyles, Jordan","543475","2251","2136","2411",,"1677","2437",,,"2514",
"Gray, Josiah","680686","2139","2113","2000","1880","1617","2380",,,"2466",
"Kelly, Merrill","518876","2346","2206","2348","2320","2138","2569",,,,
