"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Cole, Gerrit","543037","52.9","0.1","7.1","20.7","7.1","12.1","","","",""
"Cease, Dylan","656302","43.2","","","38.6","3.0","15.2","","","",""
"Gallen, Zac","668678","49.7","0.0","9.6","4.0","13.9","22.7","","","",""
"Castillo, Luis","622491","44.3","18.0","","22.1","15.6","","","","",""
"Mikolas, Miles","571945","26.0","24.4","","24.3","5.4","20.0","","","",""
"Giolito, Lucas","608337","41.9","0.1","","28.2","28.3","1.5","","","",""
"Webb, Logan","657277","4.1","33.2","","","41.6","","","","21.2",""
"Snell, Blake","605483","48.6","0.1","","13.1","18.4","19.8","","","",""
"Lynn, Lance","458681","43.7","12.7","22.7","","6.9","14.0","","","",""
"Wheeler, Zack","554430","43.3","18.2","14.4","","0.4","11.4","","","12.3",""
"Bassitt, Chris","605135","9.3","39.2","15.4","4.6","6.5","12.6","3.3","","9.0",""
"Keller, Mitch","656605","26.1","22.8","23.8","0.4","2.8","8.0","","","16.1",""
"Strider, Spencer","675911","58.9","","","33.8","7.3","","","","",""
"Nola, Aaron","605400","29.7","18.7","7.5","","12.5","31.6","","","",""
"Burnes, Corbin","669203","","7.7","55.4","3.9","11.2","17.2","","","4.5",""
"Gausman, Kevin","592332","50.7","0.2","","10.2","","","38.3","","0.6",""
"Gibson, Kyle","502043","13.5","26.1","16.6","","17.0","8.4","","","18.4",""
"López, Pablo","641154","34.5","10.6","","","21.1","12.4","","","21.5",""
"Luzardo, Jesús","666200","41.3","8.5","0.4","28.9","21.0","","","","",""
"Oviedo, Johan","670912","38.8","5.2","","36.6","4.2","15.1","","","",""
"Valdez, Framber","664285","0.2","46.8","3.4","8.7","15.6","25.3","","","",""
"Berríos, José","621244","20.3","31.5","0.0","","18.5","","","","","29.6"
"Kremer, Dean","665152","36.6","15.1","23.8","","12.1","8.9","0.1","","3.3",""
"Corbin, Patrick","571578","17.0","41.5","","35.1","6.4","","","","",""
"Gilbert, Logan","669302","41.8","0.4","","29.7","","13.4","14.8","","",""
"Montgomery, Jordan","656756","10.9","42.7","1.1","0.2","22.9","22.2","","","",""
"Javier, Cristian","664299","58.4","","","0.1","4.1","7.5","","","29.9",""
"Sears, JP","676664","50.1","0.1","","15.4","15.1","0.0","","","19.1",""
"Elder, Bryce","693821","12.6","38.0","","35.4","14.0","","","","",""
"Morton, Charlie","450203","32.4","6.2","8.0","","10.3","43.2","","","",""
"Peralta, Freddy","642547","51.2","","","8.2","14.6","12.5","","","13.5",""
"Walker, Taijuan","592836","17.6","23.2","17.2","","","5.7","33.2","","3.1",""
"Kirby, George","669923","39.4","21.5","0.0","","1.8","11.5","6.1","0.1","19.6",""
"Gray, Sonny","543243","26.8","16.0","13.1","","6.7","16.9","","","20.5",""
"Kikuchi, Yusei","579328","45.2","0.4","","26.3","9.1","18.9","","","0.1",""
"Lyles, Jordan","543475","30.3","13.4","7.6","","10.9","13.1","","","24.7",""
"Gray, Josiah","680686","14.7","19.5","18.0","24.5","1.6","16.1","","","5.5",""
"Kelly, Merrill","518876","29.3","12.2","18.9","5.5","23.1","11.0","","","",""
"Senga, Kodai","673540","37.0","","25.0","5.8","","2.6","","","5.9",""
"Alcantara, Sandy","645261","21.4","29.0","19.6","2.8","27.3","","","","",""
"Brown, Hunter","686613","46.2","","23.6","","4.8","23.8","","","1.6",""
"Schmidt, Clarke","657376","0.0","23.9","28.0","","1.5","19.1","","","27.6",""
"Dunning, Dane","641540","2.4","34.0","20.1","23.3","15.5","4.7","","","",""
"Ryan, Joe","657746","56.9","","","3.6","","","27.2","","12.3",""
"Steele, Justin","657006","62.8","1.6","","33.8","1.0","0.7","","","",""
