"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Webb, Logan","657277","7.9","33.6","7.8","","24.1","","","","26.6",""
"Rodón, Carlos","607074","41.8","9.7","0.2","28.4","16.2","3.8","","","",""
"Crochet, Garrett","676979","35.9","16.0","27.7","","4.3","","0.0","","16.0",""
"Gallen, Zac","668678","45.0","2.5","0.1","13.0","16.0","23.5","","","",""
"Fried, Max","608331","12.2","17.7","28.6","1.7","10.9","17.3","","","11.6",""
"Kikuchi, Yusei","579328","34.9","1.1","","36.2","12.2","15.4","","","0.2",""
"Peralta, Freddy","642547","53.5","","","9.1","21.2","15.1","","","1.1",""
"Ray, Robbie","592662","51.9","0.1","","22.6","13.0","12.1","","","0.4",""
"Cease, Dylan","656302","42.1","3.9","","40.8","1.2","8.3","","","3.5",""
"Gausman, Kevin","592332","53.7","0.1","","8.8","","","37.4","","",""
"Luzardo, Jesús","666200","33.3","10.8","","6.5","17.3","","","","32.1",""
"Skenes, Paul","694973","38.9","10.4","","5.6","10.9","4.8","13.5","","15.8",""
"Castillo, Luis","622491","46.3","22.0","","20.4","11.4","","","","",""
"Bibee, Tanner","676440","27.9","15.2","20.7","","15.2","5.1","","","16.0",""
"Brown, Hunter","686613","37.5","22.7","1.4","8.5","12.0","17.9","","","",""
"Irvin, Jake","663623","32.0","22.1","4.4","4.1","7.7","29.6","","","",""
"Williams, Gavin","668909","37.4","6.6","14.0","","0.1","22.0","","","19.9",""
"Pfaadt, Brandon","694297","23.4","23.5","9.2","","15.7","9.8","","","18.6",""
"Sánchez, Cristopher","650911","","46.0","","16.6","37.4","","","","",""
"Valdez, Framber","664285","0.2","45.7","","3.1","17.9","33.1","","","",""
"Alcantara, Sandy","645261","17.1","25.8","16.7","17.1","23.2","","","","",""
"Keller, Mitch","656605","34.8","17.8","0.1","14.0","7.0","7.3","","","19.1",""
"Pivetta, Nick","601713","47.4","2.3","8.8","0.5","","22.4","0.2","","18.6",""
"Singer, Brady","663903","10.7","40.6","9.3","28.4","","","","","11.1",""
"Skubal, Tarik","669373","29.3","23.9","","12.5","31.4","2.8","0.1","","",""
"Springs, Jeffrey","605488","42.5","","5.9","20.2","25.3","","","","6.1",""
"Kelly, Merrill","518876","23.2","12.9","20.2","7.0","27.1","9.7","","","",""
"Flaherty, Jack","656427","46.9","1.6","","23.6","2.5","25.4","","","",""
"Bassitt, Chris","605135","9.3","41.7","16.8","2.9","3.7","16.2","3.6","","5.8",""
"Gore, MacKenzie","669022","49.3","","4.5","12.0","10.3","24.0","","","",""
"Warren, Will","701542","41.6","21.0","","","9.8","7.0","","","20.6",""
"Ryan, Joe","657746","50.3","12.4","","9.2","","3.9","11.1","","13.1",""
"Yamamoto, Yoshinobu","808967","35.2","7.8","11.2","2.8","","17.6","25.5","","0.0",""
"Littell, Zack","641793","23.9","15.8","","27.5","","","27.3","","5.4",""
"Soriano, José","667755","8.6","49.1","","6.0","0.4","26.7","9.2","","",""
"Holmes, Clay","605280","5.4","40.8","8.4","10.7","15.7","","","","19.0",""
"Boyd, Matthew","571510","47.1","3.0","","14.9","23.7","11.3","","","",""
"Severino, Luis","622663","28.0","20.2","17.6","4.0","5.4","","","","24.8",""
"Pallante, Andre","669467","44.1","13.3","","28.5","","14.0","","","0.1",""
"Baz, Shane","669358","43.9","","14.7","3.0","11.4","26.9","","","",""
"Gray, Sonny","543243","21.7","18.0","12.6","1.7","8.4","18.4","","","19.2",""
"Woo, Bryan","693433","47.3","25.5","","11.0","7.1","","","","9.0",""
"Parker, Mitchell","680730","55.5","","","12.1","","22.0","10.5","","",""
"Peterson, David","656849","22.3","29.6","","19.1","15.3","13.7","","","",""
"Pepiot, Ryan","686752","45.0","2.6","6.3","17.8","25.1","3.3","","","",""
"Kremer, Dean","665152","26.6","19.3","20.2","0.1","","12.8","21.1","","",""
"Abbott, Andrew","671096","47.2","","4.3","","19.6","11.5","","","17.4",""
"Wacha, Michael","608379","27.0","12.7","15.0","12.2","25.4","7.7","","","",""
"Bello, Brayan","678394","14.8","35.4","16.0","","15.0","","","","18.8",""
"Allen, Logan","671106","33.1","13.6","11.1","0.2","18.5","","","","23.5",""
"deGrom, Jacob","594798","46.0","","","37.6","11.3","5.1","","","",""
"Verlander, Justin","434378","45.3","0.4","","23.3","8.5","14.6","","","7.9",""
"Rodriguez, Eduardo","593958","46.6","8.8","15.6","3.8","20.5","4.7","","","",""
"Corbin, Patrick","571578","2.7","28.9","25.0","33.5","9.3","0.6","","","",""
"Leiter, Jack","683004","38.8","12.0","","23.3","16.5","9.4","","","",""
"Berríos, José","621244","17.9","33.6","5.8","","16.8","","","","","25.9"
"Martinez, Nick","607259","21.0","16.9","21.0","10.4","19.8","11.0","","","",""
"Hendricks, Kyle","543294","15.0","38.4","","","38.4","8.2","","","",""
"Sugano, Tomoyuki","608372","18.9","16.1","12.0","","","9.7","23.5","","19.8",""
"Paddack, Chris","663978","43.2","5.2","13.9","2.3","23.5","11.9","","","",""
"Morton, Charlie","450203","27.6","15.1","9.1","","9.9","38.3","","","",""
"Rea, Colin","607067","41.5","10.6","7.3","10.0","12.1","9.2","","","9.3",""
"Elder, Bryce","693821","12.3","42.1","","35.1","10.5","","","","",""
"Freeland, Kyle","607536","33.4","6.1","15.6","","5.9","26.1","","","12.9",""
"Mikolas, Miles","571945","27.7","17.0","","23.4","11.5","17.6","","","2.9",""
"Lodolo, Nick","666157","27.8","21.8","","","21.7","28.7","","","",""
"Priester, Quinn","682990","","41.7","20.6","26.9","1.5","9.3","","","",""
"Nelson, Ryne","669194","61.9","","10.1","14.3","2.8","10.9","","","",""
"Suarez, Ranger","624133","14.5","28.6","17.6","4.1","19.1","16.1","","","",""
"Smith, Shane","681343","45.0","12.4","","11.1","16.8","14.6","","","0.1",""
"Wheeler, Zack","554430","40.9","17.1","8.6","","","9.7","8.9","","14.9",""
"Liberatore, Matthew","669461","28.7","11.8","10.4","21.2","12.2","15.8","","","",""
"Lugo, Seth","607625","21.1","14.6","14.1","5.6","9.6","23.0","0.5","","2.0","9.4"
"Burke, Sean","680732","43.1","4.8","","21.9","6.5","23.7","","","",""
"Fedde, Erick","607200","0.9","33.3","28.0","","11.9","","","","26.0",""
"Giolito, Lucas","608337","48.4","","","25.6","22.6","3.5","","","",""
