bin,n,gb,soft_gb,ev,xwobacon,outs,rv_bip
<-9 (very late),14770,0.735883547731889,0.33595125253893,84.4024441435342,0.286483521388596,0.657616790792146,-0.0466961408259987
-9..-6 late,16988,0.556922533553096,0.222156816576407,87.3275959500824,0.342194048853443,0.678773251707087,-0.038604720979515
-6..-3,28280,0.465205091937765,0.169483734087694,88.4584405940594,0.355181484881371,0.705162659123055,-0.0163753889674682
-3..0,37639,0.396689603868328,0.137649778155636,89.6621004808842,0.371302879139628,0.719067987991179,-0.0158909375913281
0..3,39253,0.35452067357909,0.121162713677935,90.6546455048022,0.387479133661243,0.712276768654625,-0.0372545537920668
3..6,31138,0.316012589119404,0.128139251075856,90.6704701650716,0.39838834944235,0.685304130001927,-0.086874140921061
6..9 early,18888,0.304161372299873,0.166931385006353,88.9822109275731,0.388993690928057,0.66560779330792,-0.122779595510377
9+ (very early),12863,0.413511622483091,0.338023789162715,80.7108606079453,0.310440902229696,0.709943248075877,-0.055488766228718
