pitcher,player_name,pitch_type,grp,n,act_miss,pred_miss,grade,g2080
695611,"Jump, Gage",ST,breaking,33,2.62,1.25,106.5,46
805123,"Blubaugh, AJ",ST,breaking,117,2.07,1.25,106.5,46
681517,"Leahy, Kyle",CU,breaking,114,1.32,1.24,106.4,46
695239,"Ahlstrom, Robby",SL,breaking,42,0.94,1.24,106.4,46
647336,"Soroka, Michael",SV,breaking,197,1.72,1.23,106.3,48
669923,"Kirby, George",KC,breaking,81,0.69,1.23,106.3,43
676534,"Faucher, Calvin",CU,breaking,48,1.34,1.23,106.3,46
695001,"Santa, Alimber",ST,breaking,49,1.16,1.23,106.3,46
453286,"Scherzer, Max",CU,breaking,25,0.82,1.22,106.2,46
547179,"Lorenzen, Michael",CH,offspeed,170,1.33,1.22,106.2,53
594798,"deGrom, Jacob",CH,offspeed,109,1.61,1.22,106.2,53
641755,"Kinley, Tyler",SL,breaking,196,1.39,1.22,106.2,46
669371,"Henry, Cole",ST,breaking,38,0.68,1.22,106.2,45
669854,"Blanco, Ronel",CH,offspeed,29,1.85,1.22,106.2,53
670329,"Garcia, Rico",CH,offspeed,101,1.95,1.22,106.2,53
677053,"Nardi, Andrew",ST,breaking,34,2.41,1.22,106.2,45
696070,"Rojas, Kendry",SL,breaking,53,1.18,1.22,106.2,46
571927,"Matz, Steven",CH,offspeed,148,0.83,1.22,106.1,53
621242,"Díaz, Edwin",SL,breaking,39,1.75,1.22,106.1,46
621366,"Borucki, Ryan",FS,offspeed,30,1.12,1.21,106.1,49
642121,"Sulser, Cole",CH,offspeed,144,1.38,1.21,106.1,53
672456,"Montero, Keider",SL,breaking,141,0.98,1.22,106.1,46
677960,"Weathers, Ryan",CH,offspeed,244,1.39,1.21,106.1,53
687570,"Prielipp, Connor",CH,offspeed,71,0.77,1.22,106.1,53
696270,"Johnson, Ryan",ST,breaking,54,1.14,1.22,106.1,45
593974,"Peralta, Wandy",SL,breaking,62,1.33,1.2,106,45
660271,"Ohtani, Shohei",CU,breaking,29,1.72,1.21,106,46
663158,"Suarez, Robert",CH,offspeed,88,1.2,1.2,106,53
663556,"McClanahan, Shane",SL,breaking,164,0.71,1.21,106,45
663687,"Harris, Hogan",SL,breaking,27,0.46,1.21,106,45
663941,"Beck, Tristan",ST,breaking,45,0.43,1.21,106,45
664126,"Fairbanks, Pete",FC,fastball,67,1.18,1.21,106,80
673513,"Matsui, Yuki",SL,breaking,75,1.83,1.2,106,45
676917,"Cavalli, Cade",CH,offspeed,68,0.45,1.2,106,53
681799,"Roberts, Ethan",ST,breaking,66,1.13,1.2,106,45
684007,"Imanaga, Shota",FS,offspeed,362,1.93,1.21,106,49
642232,"Yarbrough, Ryan",CH,offspeed,90,2.06,1.2,105.9,53
656546,"Hoffman, Jeff",FS,offspeed,103,0.99,1.2,105.9,49
660825,"Bazardo, Eduard",ST,breaking,109,1,1.2,105.9,45
669276,"Lee, Dylan",CH,offspeed,51,1.63,1.2,105.9,53
679358,"Orze, Eric",SL,breaking,31,0.2,1.2,105.9,45
680802,"Weiss, Ryan",ST,breaking,73,1.86,1.2,105.9,45
681343,"Smith, Shane",CU,breaking,25,2.16,1.2,105.9,46
700241,"McGreevy, Michael",SL,breaking,32,1.15,1.2,105.9,45
622663,"Severino, Luis",ST,breaking,115,1.01,1.19,105.8,45
641401,"Brogdon, Connor",CH,offspeed,51,1.08,1.19,105.8,52
675660,"Drohan, Shane",CU,breaking,78,1.81,1.19,105.8,45
592332,"Gausman, Kevin",FS,offspeed,386,1.82,1.18,105.7,49
657756,"Seabold, Connor",CH,offspeed,41,0.42,1.18,105.7,52
660761,"Suarez, José",CH,offspeed,138,1.64,1.18,105.7,52
664991,"Wolfram, Grant",SL,breaking,29,1.54,1.18,105.7,45
669084,"Hall, DL",CU,breaking,26,0.61,1.18,105.7,45
677961,"Wilcox, Cole",CH,offspeed,30,0.55,1.18,105.7,52
678906,"Teng, Kai-Wei",CU,breaking,38,0.98,1.19,105.7,45
701519,"Adams, Travis",CH,offspeed,78,1.37,1.19,105.7,52
573124,"Rogers, Taylor",ST,breaking,166,0.68,1.18,105.6,44
596133,"Weaver, Luke",CH,offspeed,135,1.49,1.17,105.6,52
686613,"Brown, Hunter",CH,offspeed,35,3.34,1.17,105.6,52
695611,"Jump, Gage",CU,breaking,59,0.56,1.18,105.6,45
813349,"Early, Connelly",CH,offspeed,149,0.51,1.18,105.6,52
543037,"Cole, Gerrit",SL,breaking,104,0.81,1.17,105.5,45
543056,"Coulombe, Danny",ST,breaking,32,0.55,1.16,105.5,44
650633,"King, Michael",SL,breaking,34,0.35,1.16,105.5,45
650633,"King, Michael",ST,breaking,161,1.17,1.17,105.5,44
656605,"Keller, Mitch",ST,breaking,142,0.9,1.17,105.5,44
669330,"Wells, Tyler",CH,offspeed,111,1.23,1.17,105.5,52
680694,"Bradish, Kyle",CU,breaking,193,2.7,1.17,105.5,45
688642,"Agnos, Zach",SL,breaking,68,1.54,1.16,105.5,45
690928,"Dobbins, Hunter",ST,breaking,51,1.27,1.17,105.5,44
703725,"Gastelum, Luis",CH,offspeed,35,1.39,1.17,105.5,52
608718,"Suter, Brent",SL,breaking,61,1.02,1.16,105.4,45
621237,"Alvarado, José",FC,fastball,128,1.51,1.16,105.4,80
641743,"Kay, Anthony",ST,breaking,140,1.82,1.16,105.4,44
643377,"Jax, Griffin",CH,offspeed,175,1.32,1.16,105.4,52
657277,"Webb, Logan",ST,breaking,105,0.71,1.16,105.4,44
669212,"Morgan, Eli",SL,breaking,45,1.82,1.16,105.4,45
674444,"Cruz, Steven",SL,breaking,42,0.46,1.16,105.4,45
677960,"Weathers, Ryan",SL,breaking,121,1.26,1.16,105.4,45
686753,"Jameson, Drey",CH,offspeed,30,1.23,1.16,105.4,52
702193,"Morris, Andrew",ST,breaking,39,1.16,1.16,105.4,44
579328,"Kikuchi, Yusei",SL,breaking,69,0.73,1.15,105.3,45
606996,"Hart, Kyle",ST,breaking,83,1.27,1.15,105.3,44
657097,"Webb, Jacob",CH,offspeed,177,1.53,1.15,105.3,51
665152,"Kremer, Dean",CU,breaking,36,1.87,1.15,105.3,45
693855,"Seymour, Ian",CH,offspeed,194,1.39,1.15,105.3,51
805673,"Matthews, Zebby",SL,breaking,142,1.28,1.15,105.3,45
605130,"Barlow, Scott",ST,breaking,78,1.45,1.14,105.2,44
663738,"Lynch IV, Daniel",SL,breaking,82,2.2,1.14,105.2,44
676760,"Marinaccio, Ron",CH,offspeed,115,1.16,1.15,105.2,51
687473,"Gusto, Ryan",SL,breaking,33,0.87,1.15,105.2,44
690997,"McLean, Nolan",ST,breaking,81,1.02,1.14,105.2,44
691725,"Painter, Andrew",CU,breaking,51,0.73,1.15,105.2,45
