player_name,pitch_type,n,whiff,exp_whiff,wresid,axis,as_gap,ivb_gap,spin_sim
"Walker, Taijuan",FS,57,0.175,0.193,-0.018,9.7,-0.143,-8.9,0.123
"King, Michael",CH,311,0.27,0.288,-0.018,28.3,0.147,-4.9,0.077
"Springs, Jeffrey",CH,221,0.367,0.386,-0.019,20,-0.04,-9.5,0.697
"Kirby, George",CH,58,0.293,0.312,-0.019,24,0.074,-6.5,0.434
"Houser, Adrian",CH,126,0.302,0.322,-0.02,14.6,-0.091,-5,0.392
"Hoffman, Jeff",FS,103,0.33,0.35,-0.02,21.7,-0.064,-14.4,0.528
"Keller, Mitch",CH,76,0.237,0.257,-0.02,19.5,-0.011,-10.3,0.815
"Petty, Chase",CH,41,0.317,0.337,-0.02,23.4,-0.091,-10.5,0.331
"Yamamoto, Yoshinobu",FS,267,0.315,0.336,-0.021,22.3,-0.124,-11.1,0.167
"De Jesus, Enmanuel",CH,48,0.292,0.314,-0.023,13,-0.077,-4.8,0.503
"Bibee, Tanner",CH,125,0.312,0.335,-0.023,8.8,0.029,4.5,0.872
"Gray, Peyton",CH,150,0.273,0.299,-0.025,24.4,-0.043,-12.5,0.617
"Gordon, Tanner",CH,111,0.216,0.245,-0.029,17.8,-0.008,-6.1,0.846
"Brubaker, JT",CH,47,0.149,0.179,-0.03,11.5,-0.044,-4.2,0.769
"Lodolo, Nick",CH,132,0.205,0.235,-0.03,7.8,-0.017,-5.8,0.937
"Lowder, Rhett",CH,119,0.261,0.29,-0.03,29.9,0.015,-9.3,0.628
"Leiter, Jack",CH,122,0.303,0.335,-0.032,11.1,-0.193,-11.4,0.022
"Ray, Robbie",CH,185,0.232,0.265,-0.033,7.2,-0.021,-5.4,0.92
"Stanek, Ryne",FS,57,0.351,0.385,-0.034,23.9,-0.061,-11.7,0.517
"Schultz, Noah",CH,58,0.241,0.277,-0.036,11.9,0.005,-6,0.923
"Bachman, Sam",CH,45,0.311,0.348,-0.037,25.7,-0.107,-11,0.229
"Rodriguez, Bradgley",CH,176,0.364,0.4,-0.037,22.5,0.065,-6,0.508
"Warren, Will",CH,82,0.256,0.293,-0.037,23.3,0.071,-11.2,0.46
"Suter, Brent",CH,154,0.318,0.356,-0.038,21.3,0.13,-3.8,0.146
"Paddack, Chris",CH,147,0.265,0.303,-0.038,35.1,-0.017,-9.8,0.53
"Lopez, Jacob",CH,54,0.222,0.261,-0.039,21.7,0.017,-6.3,0.767
"Yoho, Craig",CH,76,0.329,0.369,-0.04,52.6,-0.121,-12.8,0.062
"Ohtani, Shohei",FS,56,0.321,0.362,-0.041,18.7,-0.032,-11.8,0.752
"Matz, Steven",CH,148,0.23,0.273,-0.043,27.5,-0.159,-11.2,0.055
"Valdez, Framber",CH,177,0.215,0.257,-0.043,12.7,-0.032,-4.1,0.821
"Rea, Colin",CH,158,0.247,0.291,-0.044,33,-0.019,-13.7,0.564
"Phillips, Tyler",FS,164,0.287,0.331,-0.044,27,0.02,-8.1,0.668
"Pfaadt, Brandon",CH,77,0.221,0.264,-0.044,16.8,0.112,-6,0.247
"Burns, Chase",CH,41,0.317,0.361,-0.044,26.2,0.064,-8.5,0.472
"Gallen, Zac",CH,127,0.244,0.289,-0.045,18.3,0.014,-11.7,0.823
"Cameron, Noah",CH,193,0.326,0.374,-0.047,20.2,0.072,-3.4,0.483
"Alexander, Tyler",CH,98,0.224,0.273,-0.048,17.9,-0.082,-9.4,0.438
"Peterson, David",CH,89,0.225,0.273,-0.048,24.7,0.2,-6.5,0.013
"Alexander, Jason",CH,49,0.265,0.313,-0.048,25.4,0.036,-5,0.636
"Peralta, Wandy",CH,160,0.262,0.311,-0.049,7.7,-0.111,-6.4,0.281
