pitcher,season,pitch_type,arm,relx,relz,ht_in,p_throws,ht_ft,ax
425794,2023,CU,44.1362745098039,-1.18264705882353,6.22166666666667,79,R,6.58333333333333,1.18264705882353
425844,2023,SL,42.2942028985507,-1.41521739130435,6.16826086956522,74,R,6.16666666666667,1.41521739130435
425844,2023,CH,39.6897058823529,-1.46794117647059,6.11882352941177,74,R,6.16666666666667,1.46794117647059
434378,2025,CH,51.6356435643564,-1.96861386138614,7.06683168316832,77,R,6.41666666666667,1.96861386138614
434378,2025,CU,53.3442857142858,-1.95057142857143,7.08678571428571,77,R,6.41666666666667,1.95057142857143
434378,2025,SL,54.4408695652173,-1.8596231884058,7.06994202898551,77,R,6.41666666666667,1.8596231884058
434378,2024,CH,50.6296296296296,-1.69851851851852,7.04827160493827,77,R,6.41666666666667,1.69851851851852
434378,2025,ST,51.736559139785,-2.1247311827957,6.97311827956989,77,R,6.41666666666667,2.1247311827957
434378,2023,SL,54.8512195121951,-1.47225609756098,6.9975,77,R,6.41666666666667,1.47225609756098
434378,2023,CU,53.2296610169492,-1.53508474576271,6.97262711864407,77,R,6.41666666666667,1.53508474576271
434378,2024,SL,53.7125,-1.60025,7.07375,77,R,6.41666666666667,1.60025
434378,2024,CU,52.974358974359,-1.66213675213675,7.04598290598291,77,R,6.41666666666667,1.66213675213675
445926,2024,CH,23.68125,-1.5825,5.16671875,73,R,6.08333333333333,1.5825
448179,2023,CU,37.3837837837838,1.64927927927928,5.58,77,L,6.41666666666667,1.64927927927928
450203,2023,CU,19.9194312796209,-2.4221327014218,5.34829383886256,77,R,6.41666666666667,2.4221327014218
450203,2025,CU,20.7784782608696,-2.59078260869565,5.31328260869565,77,R,6.41666666666667,2.59078260869565
450203,2024,CU,20.9283582089552,-2.60205223880597,5.44755597014925,77,R,6.41666666666667,2.60205223880597
450203,2023,CH,18.5076923076923,-2.3825,5.29173076923077,77,R,6.41666666666667,2.3825
450203,2024,CH,19.8426751592357,-2.5487898089172,5.39324840764331,77,R,6.41666666666667,2.5487898089172
450203,2025,CH,19.7193548387097,-2.51975806451613,5.28120967741935,77,R,6.41666666666667,2.51975806451613
453268,2023,SL,34.0616438356164,-1.54712328767123,6.01876712328767,76,R,6.33333333333333,1.54712328767123
453286,2023,SL,27.2718309859155,-3.19295774647887,5.34295774647887,75,R,6.25,3.19295774647887
453286,2024,SL,28.2777777777778,-3.15988888888889,5.46344444444444,75,R,6.25,3.15988888888889
453286,2024,CU,33.6575,-3.013,5.618,75,R,6.25,3.013
