player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Rojas, Kendry",SL,breaking,53,1.18,1.07,1.01,-0.056,0.25,36.2,-0.534
"Suter, Brent",SI,fastball,137,0.09,0.26,0.2,-0.057,,15.6,0.117
"Alvarado, José",FC,fastball,128,1.51,1.12,1.06,-0.057,,20.1,-0.663
"Finnegan, Kyle",FS,offspeed,115,1.45,1.28,1.22,-0.057,0.27,26.8,-0.059
"Ober, Bailey",SL,breaking,108,0.35,0.67,0.61,-0.057,0.33,40,-0.369
"Schultz, Paxton",FC,fastball,126,0.24,0.37,0.32,-0.057,,22.4,-0.325
"Messick, Parker",SI,fastball,147,0.09,0.23,0.18,-0.057,,7.2,-0.019
"Kolek, Stephen",SL,breaking,75,2.02,1.32,1.26,-0.058,0.31,134.7,-0.624
"May, Dustin",FC,fastball,200,0.37,0.42,0.36,-0.058,,17.5,-0.414
"Sugano, Tomoyuki",FC,fastball,81,0.56,0.34,0.28,-0.059,,22.5,-0.445
"Peterson, David",CH,offspeed,89,0.74,0.88,0.82,-0.059,0.2,24.7,0.2
"Castillo, Luis",CH,offspeed,116,0.5,0.87,0.81,-0.06,0.28,26.9,0.062
"King, John",CH,offspeed,62,0.98,0.67,0.62,-0.06,0.47,11.4,0.114
"Leiter, Jack",FC,fastball,70,0.13,0.42,0.36,-0.06,,17,-0.307
"Martin, Chris",FC,fastball,52,0.31,0.28,0.21,-0.061,,21.3,-0.384
"Gómez, Yoendrys",FC,fastball,57,0.25,0.53,0.47,-0.061,,26.9,-0.343
"Montgomery, Mason",CU,breaking,51,2.06,3.78,3.72,-0.061,0.5,163.6,-0.534
"Eovaldi, Nathan",FC,fastball,169,0.22,0.38,0.32,-0.062,,29.3,-0.355
"Rea, Colin",FC,fastball,43,0.27,0.66,0.6,-0.062,,50.7,-0.445
"Ginn, J.T.",FC,fastball,122,0.34,0.32,0.26,-0.062,,9.6,-0.331
"Matz, Steven",CU,breaking,42,0.77,0.74,0.68,-0.063,0.77,160,-0.202
"Rogers, Tyler",SL,breaking,70,0.59,1.09,1.02,-0.063,0.66,153.4,-0.098
"Lorenzen, Michael",CH,offspeed,170,1.33,1.23,1.16,-0.064,0.36,16.1,0.037
"Lorenzen, Michael",FC,fastball,119,0.31,0.43,0.36,-0.064,,16.1,-0.441
"Matz, Steven",CH,offspeed,148,0.83,1.2,1.13,-0.064,0.37,27.5,-0.159
"Topa, Justin",FC,fastball,46,0.24,0.3,0.23,-0.064,,11.6,-0.355
"Loáisiga, Jonathan",CH,offspeed,102,1.03,0.87,0.81,-0.064,0.27,20.1,0.074
"Rodriguez, Eduardo",FC,fastball,114,0.25,0.3,0.24,-0.065,,15.1,-0.302
"Lugo, Seth",SL,breaking,84,0.98,0.86,0.79,-0.065,0.33,104.1,-0.567
"Senzatela, Antonio",FC,fastball,113,0.37,0.52,0.46,-0.065,,26.7,-0.385
"Newcomb, Sean",SI,fastball,97,0.13,0.26,0.19,-0.065,,4.6,-0.083
"Pallante, Andre",KC,breaking,109,1.84,1.66,1.59,-0.066,0.72,170,-0.007
"Melton, Troy",FC,fastball,101,0.6,0.46,0.39,-0.067,,36.2,-0.374
"Wilson, Bryse",FC,fastball,59,0.12,0.47,0.4,-0.068,,30.7,-0.371
"Drohan, Shane",FC,fastball,79,0.28,0.53,0.47,-0.068,,16.9,-0.417
"Paredes, Mike",FC,fastball,46,0.65,0.6,0.53,-0.068,,40.4,-0.395
"Suárez, Albert",CH,offspeed,60,0.68,1.1,1.03,-0.069,0.3,24.4,0.062
"Giolito, Lucas",CH,offspeed,85,1.3,2.04,1.97,-0.069,0.43,19.2,0.001
"Soriano, José",SI,fastball,251,0.32,0.3,0.23,-0.07,,6.2,0.003
"Perkins, Jack",FC,fastball,52,0.37,0.42,0.35,-0.07,,16,-0.509
"Miles, Spencer",SL,breaking,85,0.49,1.67,1.6,-0.07,0.33,132.4,-0.602
"Borucki, Ryan",SL,breaking,78,1.88,1.28,1.2,-0.071,0.27,70.6,-0.811
"Keller, Mitch",CU,breaking,51,1.13,1.09,1.02,-0.071,0.69,176.2,0.067
"Collyer, Gavin",ST,breaking,46,0.54,1.04,0.97,-0.071,0.39,167,-0.355
"Kahnle, Tommy",CH,offspeed,58,0.55,0.9,0.82,-0.072,0.21,42.1,0.101
"Martin, Davis",FC,fastball,121,0.54,0.46,0.39,-0.072,,27.5,-0.405
"McClanahan, Shane",CH,offspeed,225,1.7,1.56,1.48,-0.072,0.29,32.6,0.015
"Winn, Cole",FS,offspeed,45,0.69,1.28,1.21,-0.072,0.2,29.1,-0.043
"Henderson, Logan",FC,fastball,68,0.14,0.58,0.51,-0.072,,22.7,-0.37
"Messick, Parker",FC,fastball,50,0.61,0.32,0.25,-0.072,,23.9,-0.319
"Burrows, Mike",CH,offspeed,220,1.17,1.06,0.99,-0.073,0.28,22.7,0.018
"Paddack, Chris",CU,breaking,41,0.69,0.45,0.38,-0.074,0.76,176.6,-0.054
"Hurt, Kyle",CH,offspeed,103,0.92,1.32,1.24,-0.074,0.3,42.3,-0.02
"Gusto, Ryan",FC,fastball,44,0.34,0.52,0.45,-0.074,,24.5,-0.397
"Gray, Sonny",FC,fastball,167,0.58,0.47,0.4,-0.076,,53.6,-0.266
"Thornton, Trent",FC,fastball,64,1.03,0.59,0.51,-0.076,,41.2,-0.456
"Myers, Tobias",FC,fastball,46,0.31,0.53,0.46,-0.076,,26.3,-0.246
"Sisk, Evan",ST,breaking,47,2.18,1.22,1.15,-0.076,0.64,150.3,-0.286
"Kochanowicz, Jack",CH,offspeed,135,0.85,0.86,0.79,-0.076,0.2,9.4,-0.197
"Mahle, Tyler",FC,fastball,105,0.33,0.48,0.41,-0.077,,25.5,-0.395
"Feltner, Ryan",CH,offspeed,93,2.43,1.19,1.12,-0.077,0.41,5.8,-0.123
"Civale, Aaron",FC,fastball,228,0.43,0.44,0.36,-0.078,,32.3,-0.41
"Kremer, Dean",FC,fastball,42,1.37,0.6,0.52,-0.078,,33.8,-0.469
"Sheehan, Emmet",SL,breaking,262,2.12,1.26,1.18,-0.078,0.25,46.7,-0.737
"Soroka, Michael",FC,fastball,69,0.38,0.55,0.47,-0.079,,31,-0.431
"Nance, Tommy",SL,breaking,125,1.49,2.03,1.95,-0.079,0.28,108.6,-0.727
"Fedde, Erick",ST,breaking,300,0.8,1.26,1.18,-0.081,0.48,141.4,-0.197
"Pearson, Nate",SL,breaking,57,1.11,1.4,1.31,-0.081,0.26,84.9,-0.594
"Cruz, Steven",FC,fastball,99,0.48,0.45,0.37,-0.081,,29.5,-0.354
"Matthews, Zebby",FC,fastball,60,0.19,0.48,0.4,-0.081,,13.6,-0.437
"Kelly, Merrill",CU,breaking,65,0.43,0.79,0.71,-0.082,0.4,171,-0.262
"Whisenhunt, Carson",CH,offspeed,57,2.33,1.39,1.31,-0.082,0.38,30.1,0.026
"Stanek, Ryne",SL,breaking,73,2.1,1.9,1.82,-0.083,0.33,128.1,-0.781
"Weathers, Ryan",SL,breaking,121,1.26,1.05,0.97,-0.084,0.33,120.3,-0.701
"Anderson, Grant",ST,breaking,118,2.18,1.75,1.67,-0.084,0.51,154.7,-0.19
"Suter, Brent",SL,breaking,61,1.02,1.37,1.29,-0.085,0.72,120.7,-0.273
"McGreevy, Michael",CU,breaking,77,0.38,1.01,0.93,-0.085,0.47,173.6,-0.012
"Fried, Max",FC,fastball,114,0.43,0.37,0.28,-0.086,,13.3,-0.459
"Soroka, Michael",CH,offspeed,77,0.26,0.96,0.87,-0.086,0.26,18.4,0.054
"Holton, Tyler",FC,fastball,129,0.21,0.39,0.31,-0.086,,45,-0.427
"Valdez, Framber",CU,breaking,226,1.36,0.97,0.88,-0.086,0.81,176.9,0.034
"McGreevy, Michael",FC,fastball,90,0.22,0.45,0.37,-0.086,,30.5,-0.439
"Rea, Colin",SL,breaking,106,1.09,0.92,0.84,-0.087,0.26,116.7,-0.592
"Ragans, Cole",CH,offspeed,52,1.64,2.04,1.95,-0.088,0.38,14.8,-0.002
"Walker, Taijuan",FC,fastball,40,0.41,0.41,0.32,-0.089,,28,-0.417
"Farris, Mitch",FC,fastball,55,0.45,0.35,0.26,-0.089,,16.1,-0.36
"Banks, Tanner",ST,breaking,58,0.54,0.85,0.76,-0.09,0.51,135,-0.423
"Soto, Gregory",ST,breaking,65,3.32,2,1.91,-0.09,0.63,154.9,-0.606
"Shugart, Chase",FC,fastball,64,0.23,0.51,0.42,-0.09,,26.5,-0.522
"Bender, Anthony",ST,breaking,122,1.83,1.46,1.37,-0.09,0.83,169.4,-0.157
"Slaten, Justin",FC,fastball,85,0.14,0.49,0.4,-0.09,,18,-0.266
"Yamamoto, Yoshinobu",FC,fastball,118,0.38,0.54,0.45,-0.09,,38,-0.456
"Corbin, Patrick",FC,fastball,114,0.36,0.45,0.36,-0.091,,22.4,-0.566
"Singer, Brady",ST,breaking,114,1.85,1.4,1.31,-0.091,0.4,132.3,-0.382
"McLean, Nolan",FC,fastball,103,0.7,0.51,0.42,-0.091,,35.4,-0.585
"Mikolas, Miles",CU,breaking,64,0.83,0.63,0.54,-0.092,0.82,174.4,-0.152
"Montgomery, Mason",SL,breaking,66,1.44,2.37,2.27,-0.092,0.33,101.1,-0.769
"Henriquez, Edgardo",SL,breaking,59,2.13,2.5,2.41,-0.092,0.41,124.2,-0.652
"Gibson, Trey",FC,fastball,46,0.14,0.4,0.3,-0.093,,40.1,-0.435
"Adams, Travis",CH,offspeed,78,1.37,1.16,1.07,-0.093,0.29,19.4,0.041
"Cameron, Noah",CU,breaking,127,1.48,2.2,2.11,-0.093,0.5,168.8,-0.233
"Raley, Brooks",FC,fastball,93,0.44,0.32,0.22,-0.094,,55.9,-0.363
"Mantiply, Joe",CH,offspeed,42,0.59,0.76,0.67,-0.094,0.44,34.9,0.067
"Williams, Gavin",FC,fastball,78,0.24,0.53,0.44,-0.094,,10.9,-0.377
"Warren, Will",CH,offspeed,82,0.83,0.9,0.8,-0.094,0.26,23.3,0.071
"Matthews, Zebby",CU,breaking,60,2.18,0.87,0.78,-0.094,0.74,170.9,-0.21
"Pérez, Martín",FC,fastball,134,0.32,0.45,0.35,-0.095,,22.7,-0.425
"Fried, Max",SI,fastball,94,0.35,0.4,0.31,-0.095,,7.5,-0.222
"Seymour, Ian",ST,breaking,148,0.56,0.96,0.87,-0.095,0.54,101.3,-0.587
"Holton, Tyler",CH,offspeed,64,1.06,0.92,0.83,-0.096,0.24,42.5,0.145
"Bradish, Kyle",SL,breaking,248,1.74,1.21,1.12,-0.096,0.29,130.2,-0.297
"King, Bryan",ST,breaking,93,0.56,1.13,1.03,-0.096,0.45,144.5,-0.182
"Hoffman, Jeff",FS,offspeed,103,0.99,1.19,1.09,-0.097,0.19,21.7,-0.064
"Alvarez, Andrew",SL,breaking,121,1.73,2.71,2.61,-0.097,0.35,163.7,-0.499
"Hoppe, Alex",SL,breaking,100,1.91,1.42,1.32,-0.098,0.3,131.5,-0.415
"Vásquez, Randy",FC,fastball,184,0.37,0.56,0.46,-0.099,,31.5,-0.451
"Winn, Cole",FC,fastball,89,0.39,0.57,0.47,-0.1,,17.7,-0.416
"Faucher, Calvin",FC,fastball,139,0.53,0.6,0.5,-0.1,,61.6,-0.525
"Ureña, Walbert",ST,breaking,83,1.91,1.69,1.59,-0.1,0.4,167.1,-0.454
"Minter, A.J.",FC,fastball,96,0.54,0.49,0.39,-0.102,,49.9,-0.48
"Detmers, Reid",SL,breaking,325,1.41,1.18,1.08,-0.102,0.27,153,-0.594
"Sterner, Justin",FC,fastball,118,0.8,0.71,0.61,-0.102,,43.3,-0.547
"Sulser, Cole",FC,fastball,46,0.56,0.57,0.46,-0.103,,30,-0.473
"Waldron, Matt",KN,other,71,0.56,0.93,0.83,-0.103,,120.9,
"Patrick, Chad",FC,fastball,275,0.52,0.64,0.54,-0.103,,72.5,-0.564
"Quantrill, Cal",FC,fastball,112,0.23,0.6,0.5,-0.104,,31.3,-0.593
"Cantillo, Joey",CH,offspeed,242,2.18,2.36,2.26,-0.104,0.54,20.2,0.01
"Fisher, Braydon",SL,breaking,200,1.18,1.02,0.92,-0.104,0.21,21.6,-0.661
"Medina, Luis",CH,offspeed,58,2.4,1.12,1.01,-0.107,0.22,13.4,-0.175
"Watson, Ryan",FC,fastball,125,0.21,0.47,0.36,-0.107,,17.8,-0.357
"Sasaki, Roki",FS,offspeed,238,1.28,1.4,1.29,-0.107,0.26,28,-0.132
"Ohtani, Shohei",FS,offspeed,56,1.76,1.41,1.3,-0.108,0.25,18.7,-0.032
"Kay, Anthony",FC,fastball,148,0.37,0.46,0.35,-0.109,,25,-0.456
"Lee, Dylan",SL,breaking,228,2.4,2.32,2.21,-0.109,0.38,41,-0.796
"Kirby, George",CH,offspeed,58,0.94,1.09,0.98,-0.109,0.25,24,0.074
"Thielbar, Caleb",SL,breaking,63,1.26,0.92,0.81,-0.11,0.22,35.5,-0.517
"Cecconi, Slade",FC,fastball,211,0.39,0.54,0.42,-0.111,,28.3,-0.509
"Cameron, Noah",CH,offspeed,193,1.48,1.86,1.75,-0.111,0.61,20.2,0.072
"Paddack, Chris",CH,offspeed,147,0.84,1.11,0.99,-0.113,0.27,35.1,-0.017
"Adams, Travis",SL,breaking,49,1.36,0.87,0.76,-0.113,0.25,86.5,-0.486
"Fried, Max",CU,breaking,46,0.93,1.52,1.41,-0.115,1.14,174,-0.036
"Wheeler, Zack",FC,fastball,90,0.19,0.59,0.48,-0.116,,25.3,-0.46
"Weaver, Luke",FC,fastball,40,0.94,0.56,0.44,-0.116,,22,-0.365
"Lauer, Eric",CU,breaking,61,0.68,0.5,0.39,-0.116,0.69,173.5,-0.279
"Arrighetti, Spencer",FC,fastball,45,0.14,0.48,0.36,-0.116,,32.3,-0.376
"Bachman, Sam",SL,breaking,182,2.43,2.24,2.13,-0.116,0.34,158.9,-0.677
"Marinaccio, Ron",FC,fastball,73,0.48,0.75,0.63,-0.118,,62.8,-0.582
"Jump, Gage",SL,breaking,117,0.64,1.17,1.05,-0.118,0.33,84.6,-0.649
"Graceffo, Gordon",SL,breaking,112,0.82,1.36,1.24,-0.118,0.23,86.8,-0.775
"Ray, Robbie",KC,breaking,92,2.18,1.51,1.39,-0.119,0.52,174,-0.384
"Taillon, Jameson",FC,fastball,101,0.67,0.77,0.66,-0.119,,41.7,-0.363
"Leiter Jr., Mark",FS,offspeed,101,1.94,1.33,1.21,-0.119,0.39,29.4,-0.148
"Gore, MacKenzie",CU,breaking,177,1.73,1.68,1.56,-0.119,0.48,175.9,-0.217
"Bruihl, Justin",ST,breaking,144,0.66,1.64,1.52,-0.119,0.69,173.4,-0.091
"Warren, Will",ST,breaking,130,1.23,2.43,2.31,-0.119,0.41,166.4,-0.213
"Garcia, Brandyn",FC,fastball,43,0.27,0.44,0.32,-0.119,,29.2,-0.341
"Rodriguez, Bradgley",CH,offspeed,176,1.33,1.45,1.32,-0.121,0.29,22.5,0.065
"Littell, Zack",ST,breaking,66,0.9,0.7,0.58,-0.122,0.69,164.1,-0.479
"Schreiber, John",FC,fastball,44,0.14,0.51,0.39,-0.122,,31.1,-0.462
"Santillan, Tony",SV,breaking,55,2.19,1.75,1.63,-0.123,0.32,158.9,-0.484
"Fluharty, Mason",FC,fastball,163,0.15,0.39,0.26,-0.123,,8.1,0
"Svanson, Matt",FC,fastball,85,0.41,0.51,0.39,-0.124,,28.4,-0.493
