player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff,eff_diff_k
"Soriano, George",CH,offspeed,52,0.75,0.92,0.85,-0.077,0.2,30.5,0.02
"Kittredge, Andrew",SL,breaking,59,1.34,0.83,0.75,-0.078,0.21,78.1,0.05
"Sulser, Cole",CH,offspeed,50,1.1,0.91,0.83,-0.078,0.24,23,0.01
"Strahm, Matt",CH,offspeed,26,0.14,0.82,0.74,-0.079,0.3,37.9,0.01
"Eovaldi, Nathan",FS,offspeed,115,0.78,0.73,0.65,-0.081,0.21,11.4,0.01
"Severino, Luis",ST,breaking,52,1.2,1,0.92,-0.081,0.52,139.8,0.01
"Newcomb, Sean",SV,breaking,47,0.42,0.6,0.52,-0.081,0.51,176.3,0.01
"Messick, Parker",CH,offspeed,101,0.85,0.94,0.86,-0.081,0.33,29.4,0.01
"Ureña, Walbert",CH,offspeed,70,0.76,0.77,0.68,-0.083,0.24,11.4,0.03
"deGrom, Jacob",CH,offspeed,37,1.58,1.04,0.96,-0.084,0.23,16.5,0.01
"Crochet, Garrett",ST,breaking,27,1.18,1.43,1.35,-0.084,0.44,163.1,0.02
"Lauer, Eric",FC,fastball,38,0.1,0.29,0.2,-0.087,,29.6,0.04
"Eovaldi, Nathan",FC,fastball,38,0.26,0.37,0.28,-0.088,,27.7,0.03
"Abbott, Andrew",ST,breaking,97,1.75,1.26,1.18,-0.09,0.52,151.6,0.02
"Winn, Keaton",FS,offspeed,48,0.59,0.78,0.69,-0.09,0.22,18.9,0.01
"Quantrill, Cal",FC,fastball,32,0.26,0.54,0.45,-0.094,,34.5,0.05
"Alcantara, Sandy",FC,fastball,40,0.55,0.7,0.61,-0.094,,32,0.05
"Fried, Max",CH,offspeed,36,1.02,1.13,1.03,-0.095,0.26,23.5,0.01
"Ferrer, José A.",CH,offspeed,30,1.28,1.22,1.12,-0.096,0.47,24.6,0.01
"Lord, Brad",SL,breaking,37,0.1,0.74,0.64,-0.096,0.42,166.2,0.05
"Kay, Anthony",FC,fastball,28,0.07,0.41,0.32,-0.097,,27.3,0.04
"Holmes, Clay",ST,breaking,27,1.58,1.67,1.57,-0.1,0.65,166.8,0.02
"Ohtani, Shohei",FS,offspeed,27,1.2,1.12,1.02,-0.1,0.25,18,0.02
"Chandler, Bubba",CH,offspeed,60,0.77,0.96,0.86,-0.102,0.24,23.5,0.01
"Suarez, José",SL,breaking,28,0.76,0.97,0.87,-0.103,0.45,147.1,0.04
"Scott, Christian",CU,breaking,29,0.87,1.58,1.48,-0.103,0.44,151.8,0.03
"Morillo, Juan",CH,offspeed,28,0.84,0.78,0.68,-0.105,0.19,31.9,0
"Stanek, Ryne",SL,breaking,26,1.74,1.42,1.32,-0.106,0.33,148,0.05
"Agnos, Zach",FS,offspeed,28,1.4,0.82,0.71,-0.106,0.21,27,0.01
"Civale, Aaron",FC,fastball,51,0.45,0.42,0.31,-0.108,,35.6,0.03
"Lodolo, Nick",CH,offspeed,33,0.05,0.54,0.44,-0.108,0.19,8.4,0.01
"Parker, Mitchell",SL,breaking,56,1.37,1.75,1.64,-0.108,0.66,151.8,0.04
"Agnos, Zach",SL,breaking,34,1.17,0.95,0.85,-0.108,0.33,160.6,0.03
"Nola, Aaron",KC,breaking,136,1.32,1.2,1.09,-0.109,0.69,173.2,0.01
"Warren, Will",ST,breaking,35,1.54,2.16,2.05,-0.109,0.41,166.6,0.01
"Skenes, Paul",CH,offspeed,75,0.8,0.89,0.77,-0.113,0.2,25.7,0.01
"Griffin, Foster",CU,breaking,44,1.28,0.6,0.49,-0.114,0.55,176.5,0.01
"Tolle, Payton",CU,breaking,37,2.21,1.53,1.42,-0.114,0.56,156.5,0.03
"Gallen, Zac",KC,breaking,62,0.21,1.27,1.15,-0.116,0.47,164.7,0.02
"Patrick, Chad",FC,fastball,46,0.25,0.59,0.47,-0.118,,83.5,0.02
"Wheeler, Zack",FS,offspeed,58,1.75,1.02,0.9,-0.119,0.19,15.2,0.01
"Harris, Hogan",CU,breaking,33,1.09,1.43,1.32,-0.119,1.29,172,0.01
"Rogers, Trevor",ST,breaking,68,0.93,0.96,0.84,-0.119,0.75,138.8,0.02
"Bradley, Taj",FC,fastball,80,0.86,0.8,0.68,-0.119,,54.2,0.05
"Bradish, Kyle",CU,breaking,63,2.69,1.38,1.27,-0.119,0.3,155.5,0.01
"Cease, Dylan",CH,offspeed,30,2.48,1.76,1.64,-0.121,0.54,5.1,0.01
"Blackburn, Paul",CU,breaking,25,2.17,0.83,0.7,-0.122,0.38,173.4,0.01
"Rodriguez, Eduardo",CH,offspeed,66,0.27,0.75,0.62,-0.123,0.21,21.6,0.01
"Scott, Tanner",SL,breaking,65,1.15,1.13,1.01,-0.126,0.23,93.6,0.04
"Silseth, Chase",FS,offspeed,39,1.57,0.83,0.71,-0.126,0.23,37.3,0.02
"Fluharty, Mason",ST,breaking,43,0.96,1.63,1.5,-0.128,0.41,136.7,0.01
"Holton, Tyler",FC,fastball,30,0.23,0.42,0.29,-0.13,,48.2,0.04
"Cecconi, Slade",FC,fastball,53,0.51,0.56,0.43,-0.13,,39.6,0.05
"Cecconi, Slade",CU,breaking,47,2.35,0.98,0.85,-0.132,0.84,174.8,0.01
"Miller, Erik",SL,breaking,36,2.77,3.05,2.91,-0.136,0.48,153.5,0.05
"Irvin, Jake",CU,breaking,37,1.16,0.94,0.8,-0.138,0.73,160.4,0.01
"Rogers, Taylor",ST,breaking,59,0.17,1.09,0.95,-0.14,0.72,161.2,0.03
"Moll, Sam",ST,breaking,49,1.95,2.15,2.01,-0.142,0.57,161,0.01
"Rodón, Carlos",SL,breaking,52,1.47,1.3,1.16,-0.142,0.38,139.7,0.06
"Martin, Davis",CU,breaking,35,3.1,1.11,0.97,-0.143,0.47,167.2,0.01
"Detmers, Reid",SL,breaking,125,1.78,1.29,1.15,-0.145,0.27,161,0.05
