player_name,pitch_type,n,whiff,res_shape,res_loc,spin_sim,as_gap,axis
"Bergert, Ryan",CH,40,0.375,0.116560867003462,0.188963458129356,0.678899490130075,0.015,27.1036543422726
"Dana, Caden",CH,53,0.491,0.210494294832339,0.172435305174565,0.604592922444481,-0.0243207547169811,29.3820478255629
"Gipson-Long, Sawyer",CH,84,0.452,0.110432046037985,0.146692567179638,0.136243310425667,0.132642857142857,29.3421252730886
"Hiraldo, Yaramil",FS,68,0.588,0.199830968881649,0.144754360302418,0.00472819178938085,-0.231,4.82033573753486
"Morán, Jovani",CH,140,0.529,0.168289164073212,0.138388977086157,0.646775655126993,0.0139,27.5018653430681
"Brzykcy, Zach",CH,62,0.435,0.146041750232161,0.136384703830428,0.491930066185721,0.00885483870967733,37.7626615088105
"Sandlin, Nick",FS,186,0.43,0.124918360464258,0.13000634200794,0.639331072745529,0.00473655913978492,25.4766509187903
"Chivilli, Angel",CH,320,0.475,0.148372606504925,0.12827464312566,0.614303499224398,-0.0637343749999999,12.3253905807806
"Trivino III, Lou",CH,65,0.369,0.0820383695155091,0.123329109046108,0.478021056326623,0.0439999999999999,33.2331576446825
"Garcia, Rico",CH,161,0.398,0.085812296234335,0.122056430591123,0.822630720598958,-0.00988198757763976,19.0073385220527
"Hernández, Jonathan",CH,53,0.396,0.095563314008894,0.120310407087473,0.8143636884098,0.0445882352941177,3.11094882922312
"Vesia, Alex",CH,98,0.398,0.0560816005019465,0.119023184379767,0.625080221854045,0.00334693877551021,30.1458627675501
"Musgrove, Joe",CH,71,0.31,0.10060806858404,0.113944017117057,0.713214424505027,-0.0133380281690141,24.8593121873465
"Middleton, Keynan",CH,83,0.386,0.0750793482638598,0.112149200699673,0.718221052661643,-0.0540000000000001,8.29118959705279
"Young, Alex",CH,119,0.412,0.140700285311628,0.110326044991609,0.64460989672089,-0.0595882352941175,13.0090132038442
"Stephan, Trevor",FS,91,0.516,0.222941606128677,0.103219560593274,0.585105194392981,0.0560000000000001,20.7610720223481
"Brash, Matt",CH,58,0.379,0.0600520327822893,0.102424148488496,0.278972789997029,-0.134310344827586,24.6286180431193
"Horton, Cade",CH,108,0.454,0.122468276479915,0.101037934957807,0.778207258001154,0.032,16.9363863161309
"Altavilla, Dan",CH,63,0.317,0.0536314098067442,0.0985957731876294,0.580018465147529,-0.0579999999999999,20.4067643662572
"Heller, Ben",CH,44,0.432,0.154502499478675,0.0957087125739355,0.250961560076715,-0.170727272727273,18.4388885949299
"Uceta, Edwin",CH,376,0.354,0.0471768507421319,0.0933687311525984,0.29625420908964,-0.107127659574468,11.2162165200471
"Ribalta, Orlando",CH,86,0.43,0.0853778636230839,0.0929451348724986,0.906111911567402,-0.00327906976744179,12.4184727228465
"Bautista, Félix",FS,121,0.545,0.0658184659328136,0.0916273506574878,0.545582672685389,-0.0340165289256199,31.8749165994118
"Cease, Dylan",CH,108,0.5,0.0955070502736467,0.0901070506798372,0.963876315103852,0.00585185185185194,5.50575946283238
"Medina, Luis",CH,121,0.405,0.0995082650480301,0.0870503082637274,0.125060832350665,-0.0243719008264464,19.7289887575266
"Perkins, Jack",CH,139,0.468,0.130029969481234,0.086694376521862,0.645338729881749,-0.00318705035971224,29.670915247734
"Borucki, Ryan",FS,85,0.365,0.0663544034802059,0.084939960862679,0.593377777791359,-0.0518235294117647,22.2627067642529
"Bazardo, Eduard",FS,40,0.275,0.0487480065856923,0.0834569202809594,0.400266824471319,-0.10105,5.0812172400581
"Leiter Jr., Mark",FS,498,0.472,0.0932071890319397,0.0830682370794522,0.426338465073541,-0.0734979919678715,27.4384666646191
"Bido, Osvaldo",CH,163,0.282,0.0599380877000436,0.0828184344597866,0.865814386980599,0.0269815950920245,7.93750304393608
"Gonsolin, Tony",FS,154,0.377,0.102314141460953,0.0823142901404379,0.359914348600535,-0.0744545454545454,31.9743145713759
"Koenig, Jared",CH,79,0.38,0.0514754454714199,0.081979386848728,0.206088004404818,0.118886075949367,23.9971322372232
"Dunning, Dane",CH,227,0.286,0.0586423835939129,0.0811695590525663,0.0512397117785202,0.184691629955947,23.7978969136242
"Cabrera, Génesis",FS,48,0.521,0.1418112091826,0.0792581067420909,0.0620774768122759,-0.166,4.92799479746246
"Germán, Domingo",CH,77,0.312,0.0743500527223214,0.0773179827032939,0.939320973299495,-0.00468831168831168,3.15847920632457
"Webb, Jacob",CH,567,0.379,0.0633525796574671,0.0771427888841426,0.217063355779014,0.114141093474427,21.2191612939883
"Jax, Griffin",CH,450,0.438,0.0632968612483834,0.076883203328195,0.565939997435469,-0.0617533333333335,18.7749464599929
"Kershaw, Clayton",FS,51,0.353,0.103468435453451,0.0768339071311174,0.661698485901149,0.0531489361702128,15.3883725136961
"Festa, David",CH,284,0.405,0.0864106789912164,0.0754522790146104,0.725563885783008,-0.0365281690140845,17.0749691220679
"Waldichuk, Ken",CH,97,0.371,0.0553027809412699,0.0753710916987894,0.508852365458507,0.065,22.4552957979829
"Crismatt, Nabil",CH,124,0.323,0.0597022330785143,0.0747294178216121,0.0627760057849304,-0.158,23.238045950148
"McGough, Scott",FS,229,0.402,0.111903580873286,0.0735179932439258,0.557543272537456,-0.0758078602620087,8.3538501164388
"Bubic, Kris",CH,329,0.347,0.0365552520303545,0.0729808549949537,0.229044210498117,-0.0901003039513677,36.145011205488
"Winans, Allan",CH,115,0.313,0.059739064307371,0.0728636100162655,0.155202082582641,-0.133339130434783,20.63850329498
"Lugo, Seth",FS,48,0.375,0.109296127358916,0.0725929453018881,0.859806953524497,-0.0279302325581395,9.89785767409468
"Saucedo, Tayler",CH,141,0.362,0.119142281867175,0.0716185078737712,0.345700487605168,0.100517730496454,12.5980910159286
