pitcher,season,fb_type
518774,2020,FF
518774,2021,FF
518813,2020,FF
518813,2021,FF
518858,2020,SI
518858,2021,FF
518876,2020,FF
518876,2021,FF
518876,2022,FF
518876,2023,FF
518876,2024,FF
518876,2025,FF
518876,2026,FF
518886,2020,FF
518886,2021,FF
518886,2022,FF
518886,2023,FF
518886,2024,FF
518886,2025,FF
518886,2026,FF
519008,2020,SI
519008,2021,SI
519008,2022,SI
519008,2024,SI
519008,2025,SI
519043,2021,FF
519043,2022,FF
519043,2023,FF
519043,2024,FF
519076,2021,FF
519141,2020,FF
519141,2021,FF
519141,2025,FF
519141,2026,FF
519144,2020,FF
519151,2020,FF
519151,2021,FF
519151,2022,FF
519151,2023,FF
519151,2024,FF
519151,2025,FF
519242,2021,FF
519242,2023,FF
519242,2024,FF
519242,2025,FF
519242,2026,FF
519293,2020,FF
519293,2021,FF
519293,2022,FF
519293,2023,FF
519293,2024,FF
519326,2021,FF
519326,2022,FF
519326,2024,FF
519326,2025,FF
519393,2020,SI
519443,2020,FF
519443,2021,FF
520980,2020,FF
521230,2020,FF
521230,2021,FF
521230,2022,FF
521230,2023,FF
521230,2025,FF
521655,2020,FF
523260,2021,FF
523260,2022,SI
523260,2023,FF
523260,2024,FF
527048,2020,FF
527048,2021,FF
527048,2022,FF
527048,2023,FF
527048,2024,FF
527048,2025,SI
527048,2026,FF
527054,2020,FF
527054,2023,FF
528748,2020,FF
528748,2021,FF
528748,2022,FF
528748,2024,SI
533167,2020,FF
533167,2021,FF
534910,2020,SI
534910,2021,SI
541640,2020,SI
541640,2021,SI
541640,2022,FF
541640,2023,SI
541640,2024,SI
541640,2025,SI
542585,2020,FF
542585,2021,FF
542585,2022,FF
542585,2023,FF
542585,2024,FF
542881,2020,FF
542881,2021,FF
542881,2022,FF
542881,2023,FF
542881,2024,FF
542881,2025,FF
542882,2020,FF
542882,2021,FF
542888,2020,FF
542888,2021,FF
542888,2022,FF
542888,2023,FF
542888,2024,FF
542888,2025,FF
542888,2026,FF
542914,2020,SI
542914,2021,FF
542914,2022,FF
542914,2023,SI
542947,2020,SI
542947,2021,SI
542947,2022,SI
542947,2023,SI
542960,2020,FC
542960,2021,FF
543022,2020,SI
543022,2021,SI
543037,2020,FF
543037,2021,FF
543037,2022,FF
543037,2023,FF
543037,2024,FF
543037,2026,FF
543045,2021,FF
543056,2021,FF
543056,2022,FF
543056,2023,FF
543056,2024,FF
543056,2025,FF
543056,2026,SI
543101,2020,FF
543101,2021,FF
543101,2022,SI
543101,2023,FF
543101,2025,FF
543118,2020,FF
543135,2020,FF
543135,2021,FF
543135,2022,FF
543135,2023,FF
543135,2024,FF
543135,2025,FF
543135,2026,FF
543238,2021,FF
543238,2022,FF
543243,2020,FF
543243,2021,FF
543243,2022,FF
543243,2023,FF
543243,2024,FF
543243,2025,FF
543243,2026,FF
543272,2020,FF
543272,2021,FF
543272,2022,FF
543272,2023,FF
543294,2020,FF
543294,2021,FF
543294,2022,FF
543294,2023,FF
543294,2024,FF
543294,2025,FF
543339,2020,FF
543339,2021,FF
543339,2022,FF
543339,2024,FF
543351,2021,FF
543351,2023,FF
543351,2024,FF
543475,2020,FF
543475,2021,FF
543475,2022,FF
543475,2023,FF
543483,2020,FF
543507,2020,FF
543507,2021,FF
543507,2022,FF
543507,2023,FF
543518,2023,FF
543518,2024,FF
543518,2025,FF
543521,2021,FF
543521,2022,FC
543521,2023,FC
543548,2020,FF
543548,2021,FF
543548,2022,FF
543548,2023,FF
543594,2021,FF
543606,2020,FF
543606,2021,FF
543606,2022,FF
543699,2020,FF
543766,2020,FC
543766,2021,FC
543766,2022,SI
543766,2023,SI
543766,2024,FC
543859,2023,FF
543859,2024,FF
543859,2025,FF
543867,2020,FF
543883,2020,FF
543883,2021,FF
543901,2020,SI
543901,2021,SI
543901,2022,SI
543901,2023,SI
544150,2024,FF
544150,2025,FF
544150,2026,FF
544365,2022,FF
544727,2020,FF
544727,2021,FF
544727,2022,FF
544727,2023,FF
544931,2021,FF
545064,2020,FF
545333,2020,FF
545333,2021,FF
545343,2021,FF
545343,2022,FF
547001,2021,FF
547001,2022,FF
547001,2024,FF
547176,2021,SI
547179,2020,FF
547179,2021,FF
547179,2022,FF
547179,2023,FF
547179,2024,FF
547179,2025,FF
547179,2026,FF
547184,2023,FF
547184,2024,FF
547184,2025,FF
547888,2020,FF
547942,2020,FF
547942,2021,FF
547943,2020,FF
547943,2021,FF
547943,2022,FF
547943,2023,FF
547973,2020,FF
547973,2021,FF
547973,2022,FF
547973,2023,FF
547973,2024,FF
547973,2025,FF
547973,2026,FF
548384,2020,FC
548384,2021,FF
548384,2022,SI
548384,2023,SI
548384,2025,SI
548384,2026,SI
548389,2020,FF
548389,2021,FF
548389,2022,FF
548389,2023,FF
548389,2024,FF
552640,2020,SI
552640,2021,FF
552640,2022,SI
552640,2023,SI
552640,2024,FF
552640,2025,FF
552640,2026,SI
554340,2020,FF
554340,2021,FF
554340,2022,FF
554340,2023,FF
554340,2024,FF
554340,2025,FF
554430,2020,FF
554430,2021,FF
554430,2022,FF
554430,2023,FF
554430,2024,FF
554430,2025,FF
554430,2026,FF
554431,2020,FF
554431,2021,FF
554431,2022,FF
554431,2024,FF
554431,2025,FF
570240,2020,SI
570257,2020,FF
570257,2021,FF
570257,2022,FF
570257,2023,SI
570257,2024,SI
570488,2020,SI
570488,2021,SI
570488,2022,SI
570632,2020,FF
570632,2021,FF
570632,2022,FF
570632,2023,FF
570632,2024,FF
570632,2025,FF
570663,2020,FF
570663,2021,FF
570663,2022,FF
570666,2020,FF
570666,2021,FF
570666,2022,FF
570666,2023,FF
571446,2022,SI
571479,2022,FF
571479,2023,FF
571510,2020,FF
571510,2021,FF
571510,2022,FF
571510,2023,FF
571510,2024,FF
571510,2025,FF
571510,2026,FF
571521,2021,FF
571539,2023,SI
571539,2024,SI
571578,2020,FF
571578,2021,FF
571578,2022,FF
571578,2023,FF
571578,2024,FF
571578,2025,FF
571578,2026,FF
571656,2020,FF
571656,2021,FF
571656,2022,FF
571656,2023,FF
571656,2024,FF
571666,2020,FF
571666,2021,SI
571670,2020,SI
571670,2021,FF
571670,2022,FF
571670,2023,FF
571670,2024,FF
571676,2021,FF
571710,2020,FF
571710,2021,FF
571710,2022,FF
571735,2020,FF
571735,2021,FF
571760,2020,FF
571760,2021,FF
571760,2022,FF
571760,2023,FF
571760,2024,FF
571760,2025,FF
571800,2021,FF
571800,2022,FF
571858,2020,FF
571863,2023,FF
571871,2021,FF
571882,2021,FF
571882,2022,FC
571882,2023,FF
571882,2024,FF
571901,2020,SI
571901,2021,SI
571901,2022,SI
571901,2023,SI
571927,2020,SI
571927,2021,SI
571927,2022,SI
571927,2023,SI
571927,2024,SI
571927,2025,SI
571927,2026,SI
571945,2021,FF
571945,2022,FF
571945,2023,FF
571945,2024,FF
571945,2025,FF
571945,2026,FF
571946,2021,FF
571946,2023,FF
571946,2024,FF
571946,2025,FF
571948,2020,FF
571948,2021,FF
571948,2022,FF
571948,2023,FF
571948,2024,FF
571948,2025,FF
571948,2026,FF
572020,2020,FF
572020,2023,FF
572020,2024,FF
572021,2020,SI
572070,2020,FF
572070,2021,FF
572070,2022,FF
572096,2020,FF
572125,2020,FF
572125,2021,FF
572125,2022,FF
572143,2020,FF
572143,2021,FF
572143,2024,FF
572143,2026,FF
572193,2020,FF
572193,2021,FF
572193,2022,FF
572193,2023,FF
572362,2020,FF
572383,2020,FF
572403,2022,FF
572403,2023,FF
572703,2022,FF
572888,2020,SI
572888,2021,SI
572955,2020,FF
572955,2021,FF
572955,2022,FF
572955,2023,FF
572955,2024,FF
572955,2025,FF
572955,2026,FF
572971,2020,SI
572971,2021,FF
572971,2022,FF
572971,2023,SI
572971,2024,SI
573009,2021,SI
573009,2022,SI
573009,2023,SI
573009,2024,SI
573009,2025,SI
573009,2026,SI
573062,2021,SI
573124,2020,SI
573124,2021,SI
573124,2022,SI
573124,2023,SI
573124,2024,SI
573124,2025,SI
573124,2026,SI
573186,2021,FF
573186,2022,FF
573186,2023,FF
573186,2024,FF
573186,2025,SI
