player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff
"Gray, Peyton",FF,fastball,69,0.2,0.18,0.18,-0.001,,3
"Franco, Jose",FF,fastball,52,0.05,0.19,0.19,-0.001,,3.5
"Jump, Gage",FF,fastball,162,0.26,0.22,0.22,-0.001,,2.4
"Chandler, Bubba",FF,fastball,255,0.17,0.26,0.26,-0.001,,4.6
"Graceffo, Gordon",SL,breaking,76,0.92,1.42,1.42,-0.001,0.23,71.7
"Morris, Andrew",FF,fastball,97,0.18,0.19,0.19,-0.001,,2.7
"Yamamoto, Yoshinobu",FF,fastball,139,0.29,0.19,0.19,-0.001,,3.3
"Scherzer, Max",FF,fastball,80,0.11,0.17,0.17,-0.002,,3.3
"Kelly, Merrill",FF,fastball,139,0.09,0.18,0.18,-0.002,,3.3
"Johnson, Pierce",FF,fastball,41,0.22,0.19,0.19,-0.002,,3.4
"Wacha, Michael",FF,fastball,154,0.13,0.15,0.15,-0.002,,2.9
"Blackburn, Paul",SI,fastball,81,0.14,0.16,0.15,-0.002,,3.4
"Senzatela, Antonio",FF,fastball,91,0.32,0.21,0.21,-0.002,,4.4
"Alcantara, Sandy",SI,fastball,182,0.09,0.18,0.18,-0.002,,2.1
"Sánchez, Cristopher",SI,fastball,305,0.12,0.19,0.19,-0.002,,2.9
"Webb, Logan",FF,fastball,50,0.23,0.18,0.18,-0.002,,3.4
"Phillips, Tyler",SI,fastball,106,0.06,0.17,0.17,-0.002,,7.7
"Cabrera, Edward",FF,fastball,51,0.26,0.2,0.19,-0.002,,3.1
"Soriano, George",FF,fastball,66,0.19,0.19,0.19,-0.002,,3
"Doval, Camilo",FC,fastball,50,0.17,0.34,0.34,-0.002,,4.8
"Myers, Tobias",FF,fastball,110,0.07,0.17,0.17,-0.002,,2.6
"Gore, MacKenzie",FF,fastball,339,0.19,0.2,0.2,-0.002,,2.9
"Mlodzinski, Carmen",SI,fastball,78,0.03,0.16,0.16,-0.002,,7.9
"Ramírez, Yohan",FF,fastball,69,0.21,0.23,0.22,-0.002,,3.7
"Bibee, Tanner",FF,fastball,121,0.18,0.16,0.16,-0.002,,5.3
"Marinaccio, Ron",FF,fastball,120,0.28,0.17,0.16,-0.002,,3.3
"Brown, Ben",FF,fastball,101,0.18,0.19,0.18,-0.002,,3.9
"Rocker, Kumar",FF,fastball,56,0.25,0.17,0.17,-0.002,,4.3
"Perkins, Jack",FF,fastball,119,0.11,0.18,0.18,-0.002,,3.6
"Burrows, Mike",FF,fastball,135,0.1,0.17,0.17,-0.002,,3.3
"Lopez, Jacob",FF,fastball,113,0.31,0.2,0.2,-0.002,,3.9
"Phillips, Connor",FF,fastball,64,0.11,0.25,0.25,-0.002,,2.6
"Henriquez, Edgardo",SI,fastball,77,0.2,0.27,0.27,-0.002,,5.7
"Woo, Bryan",FF,fastball,285,0.23,0.2,0.2,-0.002,,3.6
"Schlittler, Cam",FF,fastball,298,0.35,0.28,0.28,-0.002,,3.6
"Pfaadt, Brandon",SI,fastball,87,0.13,0.17,0.17,-0.002,,6.2
"Rojas, Kendry",FF,fastball,63,0.37,0.21,0.21,-0.002,,5.1
"Tolle, Payton",FF,fastball,206,0.34,0.21,0.21,-0.002,,3.5
"Thornton, Zac",FC,fastball,47,0.73,0.33,0.33,-0.002,,19.4
"Blubaugh, AJ",FF,fastball,179,0.18,0.17,0.17,-0.002,,3
"Matthews, Zebby",FF,fastball,135,0.1,0.18,0.17,-0.002,,3.7
"Kelly, Merrill",SI,fastball,63,0.21,0.16,0.16,-0.003,,2.7
"Houser, Adrian",CH,offspeed,72,1.77,1.55,1.54,-0.003,0.35,15.3
"Giolito, Lucas",FF,fastball,60,0.27,0.16,0.16,-0.003,,2.6
"Buehler, Walker",SL,breaking,58,0.32,1.03,1.03,-0.003,0.32,75.2
"Senzatela, Antonio",SI,fastball,41,0.09,0.17,0.16,-0.003,,2.7
"Suarez, Ranger",SI,fastball,116,0.12,0.18,0.17,-0.003,,7.6
"Soto, Gregory",SI,fastball,81,0.21,0.22,0.22,-0.003,,4.2
"Santana, Dennis",FF,fastball,56,0.11,0.19,0.19,-0.003,,3.6
"Flaherty, Jack",SL,breaking,102,1.87,1.1,1.1,-0.003,0.34,86.7
"De Los Santos, Enyel",FF,fastball,114,0.12,0.17,0.17,-0.003,,2.9
"McClanahan, Shane",FF,fastball,194,0.18,0.2,0.19,-0.003,,2.5
"Harris, Hogan",FF,fastball,137,0.22,0.19,0.19,-0.003,,3.7
"Phillips, Tyler",FF,fastball,45,0.11,0.19,0.19,-0.003,,4.9
"Morillo, Juan",FF,fastball,82,0.41,0.22,0.22,-0.003,,3.9
"Doval, Camilo",SI,fastball,109,0.19,0.3,0.29,-0.003,,4.9
"Nance, Tommy",SI,fastball,63,0.11,0.18,0.18,-0.003,,3.5
"Erceg, Lucas",FF,fastball,64,0.14,0.2,0.19,-0.003,,3
"Gilbert, Logan",FF,fastball,286,0.21,0.21,0.21,-0.003,,3.8
"Skubal, Tarik",FF,fastball,169,0.14,0.21,0.21,-0.003,,2.9
"Watson, Ryan",FF,fastball,53,0.21,0.19,0.18,-0.003,,3.4
"Richards, Trevor",FF,fastball,155,0.08,0.14,0.14,-0.003,,2.8
"Montero, Keider",SI,fastball,124,0.08,0.16,0.15,-0.003,,4
"Strider, Spencer",FF,fastball,103,0.09,0.19,0.19,-0.003,,2.7
"Parker, Mitchell",FF,fastball,73,0.09,0.18,0.17,-0.003,,2.8
"Bowlan, Jonathan",FF,fastball,74,0.35,0.23,0.23,-0.003,,2.4
"Sabrowski, Erik",FF,fastball,100,0.29,0.24,0.23,-0.003,,2.7
"Uribe, Abner",SI,fastball,127,0.43,0.23,0.23,-0.003,,5.1
"Henriquez, Edgardo",FF,fastball,59,0.29,0.31,0.31,-0.003,,2.8
"Agnos, Zach",SI,fastball,56,0.08,0.15,0.15,-0.003,,7.6
"Lowder, Rhett",FF,fastball,76,0.13,0.16,0.16,-0.003,,3.2
"Lowder, Rhett",SI,fastball,125,0.05,0.16,0.16,-0.003,,10.9
"Eovaldi, Nathan",FF,fastball,67,0.14,0.17,0.17,-0.004,,3.1
"Gausman, Kevin",FF,fastball,327,0.15,0.18,0.17,-0.004,,3.3
"Pivetta, Nick",FF,fastball,42,0.33,0.2,0.19,-0.004,,4
"Lauer, Eric",FF,fastball,193,0.16,0.17,0.17,-0.004,,2.6
"Mayza, Tim",SI,fastball,142,0.29,0.18,0.18,-0.004,,2.8
"Civale, Aaron",FF,fastball,50,0.17,0.19,0.19,-0.004,,3.3
"Woodford, Jake",SI,fastball,44,0.02,0.17,0.16,-0.004,,3.6
"Pearson, Nate",FF,fastball,54,0.3,0.24,0.23,-0.004,,2.9
"May, Dustin",FF,fastball,120,0.15,0.21,0.21,-0.004,,3.1
"Lee, Dylan",FF,fastball,54,0.16,0.19,0.19,-0.004,,2.5
"Liberatore, Matthew",FF,fastball,180,0.1,0.18,0.17,-0.004,,3.1
"Pallante, Andre",SI,fastball,116,0.15,0.19,0.18,-0.004,,8.6
"Scholtens, Jesse",SI,fastball,55,0.3,0.16,0.16,-0.004,,3.2
"Mattson, Isaac",FF,fastball,118,0.2,0.2,0.19,-0.004,,3.1
"Ashby, Aaron",SI,fastball,172,0.34,0.21,0.21,-0.004,,4
"Ashcraft, Braxton",FF,fastball,203,0.11,0.22,0.22,-0.004,,4
"Orze, Eric",FF,fastball,46,0,0.18,0.17,-0.004,,2.5
"Burke, Sean",SI,fastball,110,0.12,0.18,0.17,-0.004,,5.1
"Cornelio, Riley",FF,fastball,50,0.11,0.21,0.21,-0.004,,3.6
"Imanaga, Shota",FF,fastball,227,0.14,0.21,0.21,-0.004,,3.2
"Bigge, Hunter",FF,fastball,53,0.1,0.23,0.22,-0.004,,4
"Brown, Hunter",FF,fastball,64,0.16,0.19,0.19,-0.004,,4.5
"Prielipp, Connor",FF,fastball,109,0.11,0.19,0.19,-0.004,,2.7
"Kerkering, Orion",FF,fastball,55,0.61,0.22,0.22,-0.004,,2.3
"McLean, Nolan",FF,fastball,134,0.32,0.21,0.2,-0.004,,3.6
"Pérez, Eury",ST,breaking,61,2.3,2.96,2.96,-0.004,0.6,102
"Taylor, Grant",FF,fastball,119,0.4,0.25,0.25,-0.004,,3.6
"Patrick, Chad",FF,fastball,85,0.38,0.2,0.2,-0.004,,3
"Petty, Chase",SI,fastball,64,0.13,0.19,0.18,-0.004,,6.3
"Dotel, Wilber",FF,fastball,52,0.2,0.22,0.22,-0.004,,4.3
"Bachman, Sam",SI,fastball,52,0.23,0.24,0.23,-0.004,,2.7
"Johnson, Ryan",SI,fastball,62,0.02,0.16,0.16,-0.004,,5.2
"Cameron, Noah",FF,fastball,151,0.12,0.18,0.18,-0.004,,4.2
"Schultz, Noah",SI,fastball,77,0.17,0.2,0.2,-0.004,,5.8
"Dollander, Chase",FF,fastball,76,0.24,0.24,0.23,-0.004,,2.7
"Cole, Gerrit",FF,fastball,141,0.22,0.21,0.2,-0.005,,3.2
"Wheeler, Zack",FF,fastball,167,0.32,0.22,0.22,-0.005,,2.7
"Rogers, Taylor",ST,breaking,95,0.97,1.61,1.61,-0.005,0.72,161.6
"Thielbar, Caleb",FF,fastball,69,0.18,0.18,0.17,-0.005,,2.8
"Bassitt, Chris",SI,fastball,122,0.18,0.17,0.16,-0.005,,4
"Houser, Adrian",SI,fastball,203,0.15,0.18,0.17,-0.005,,4.4
"Nola, Aaron",FF,fastball,126,0.1,0.19,0.19,-0.005,,2.7
"Nola, Aaron",SI,fastball,90,0.23,0.16,0.16,-0.005,,3.7
"Sewald, Paul",FF,fastball,105,0.21,0.26,0.25,-0.005,,3
"Ginkel, Kevin",FF,fastball,97,0.08,0.21,0.2,-0.005,,3
"Keller, Mitch",SI,fastball,105,0.14,0.19,0.18,-0.005,,2.8
"Mize, Casey",FF,fastball,128,0.25,0.18,0.17,-0.005,,2.8
"Irvin, Jake",FF,fastball,64,0.2,0.19,0.18,-0.005,,3.7
"Lynch IV, Daniel",SI,fastball,74,0.31,0.2,0.19,-0.005,,4
"Shugart, Chase",SI,fastball,42,0.14,0.16,0.16,-0.005,,4.2
"Holton, Tyler",SI,fastball,45,0.09,0.19,0.19,-0.005,,5.9
"Helsley, Ryan",FF,fastball,40,0.27,0.33,0.32,-0.005,,3.9
"Ragans, Cole",FF,fastball,92,0.23,0.24,0.23,-0.005,,3.3
"Greene, Hunter",FF,fastball,58,0.18,0.24,0.24,-0.005,,4.5
"Gore, MacKenzie",CH,offspeed,47,1.68,1.69,1.69,-0.005,0.29,27.3
"Walker, Ryan",SI,fastball,85,0.16,0.21,0.2,-0.005,,5.3
"Cantillo, Joey",FF,fastball,179,0.18,0.18,0.17,-0.005,,3.5
"Hurter, Brant",SI,fastball,67,0.19,0.19,0.19,-0.005,,4.4
"Bello, Brayan",SI,fastball,156,0.26,0.16,0.16,-0.005,,6.2
"Prielipp, Connor",SI,fastball,51,0.2,0.19,0.18,-0.005,,3.6
"Laweryson, Cody",FF,fastball,61,0.15,0.18,0.17,-0.005,,2
"Klein, Will",FF,fastball,93,0.18,0.22,0.21,-0.005,,3.2
"Misiorowski, Jacob",FF,fastball,349,0.61,0.35,0.34,-0.005,,3
"Natera Jr., Samy",FF,fastball,87,0.35,0.21,0.2,-0.005,,3.5
"García, Luis",SI,fastball,50,0.12,0.17,0.17,-0.006,,4.2
"Mikolas, Miles",FF,fastball,122,0.15,0.17,0.16,-0.006,,3.9
"Peralta, Wandy",SI,fastball,119,0.21,0.19,0.19,-0.006,,2.9
"Canning, Griffin",FF,fastball,75,0.15,0.17,0.17,-0.006,,3.7
"Latz, Jacob",FF,fastball,132,0.18,0.2,0.2,-0.006,,2.3
"Lambert, Peter",FF,fastball,156,0.23,0.17,0.16,-0.006,,2.3
"Santillan, Tony",FF,fastball,96,0.11,0.18,0.17,-0.006,,3.9
"Clarke, Taylor",SI,fastball,40,0.04,0.19,0.18,-0.006,,3.7
"Medina, Luis",FF,fastball,66,0.16,0.24,0.24,-0.006,,4
"Romero, JoJo",SI,fastball,88,0.15,0.18,0.17,-0.006,,4.2
"Crochet, Garrett",FF,fastball,54,0.2,0.22,0.22,-0.006,,4.9
"Weathers, Ryan",FF,fastball,137,0.24,0.21,0.2,-0.006,,2.6
"Arrighetti, Spencer",FF,fastball,134,0.21,0.19,0.18,-0.006,,3.3
"Leahy, Kyle",SI,fastball,61,0.03,0.16,0.15,-0.006,,3.4
"Gaddis, Hunter",FF,fastball,66,0.21,0.18,0.18,-0.006,,3
"Headrick, Brent",FF,fastball,139,0.2,0.2,0.19,-0.006,,2.8
"Pallette, Peyton",FF,fastball,66,0.35,0.18,0.17,-0.006,,1.8
"Miles, Spencer",FF,fastball,46,0.34,0.19,0.19,-0.006,,3.1
"Elder, Bryce",SI,fastball,131,0.26,0.15,0.15,-0.006,,7.1
"Roupp, Landen",SI,fastball,182,0.06,0.18,0.17,-0.006,,6.7
"Miller, Mason",FF,fastball,100,0.46,0.31,0.31,-0.006,,4
"Schultz, Noah",FF,fastball,55,0.15,0.22,0.21,-0.006,,3.4
"Rogers, Taylor",SI,fastball,53,0.09,0.18,0.17,-0.007,,2.2
"Keller, Brad",FF,fastball,41,0.26,0.23,0.22,-0.007,,4.4
"Littell, Zack",SI,fastball,104,0.26,0.16,0.15,-0.007,,6.6
"Alcantara, Sandy",FF,fastball,131,0.16,0.2,0.2,-0.007,,2.7
"Martin, Davis",SI,fastball,128,0.1,0.18,0.17,-0.007,,3.8
"Alvarado, Elvis",FF,fastball,81,0.33,0.26,0.25,-0.007,,2.8
"Morillo, Juan",SI,fastball,49,0.2,0.2,0.2,-0.007,,4.4
"Rolison, Ryan",SL,breaking,41,0.4,1.62,1.62,-0.007,0.35,125.5
"Kuhnel, Joel",SI,fastball,100,0.12,0.19,0.18,-0.007,,3.3
"Smith, Cade",FF,fastball,145,0.29,0.23,0.22,-0.007,,2.7
"Pérez, Cionel",FF,fastball,40,0.26,0.22,0.21,-0.007,,3.6
"Burrows, Mike",CH,offspeed,140,1.45,1.21,1.2,-0.007,0.28,22.6
"Herrin, Tim",SI,fastball,50,0.26,0.2,0.2,-0.007,,3.4
"Gordon, Tanner",FF,fastball,101,0.17,0.15,0.14,-0.007,,2.1
"Brown, Hunter",SI,fastball,66,0.3,0.17,0.17,-0.007,,4.2
"Skenes, Paul",FF,fastball,285,0.33,0.21,0.2,-0.007,,2.8
"Skenes, Paul",SI,fastball,57,0.11,0.19,0.18,-0.007,,3.9
"Farris, Mitch",FF,fastball,81,0.05,0.18,0.17,-0.007,,2.7
"Stanek, Ryne",FF,fastball,125,0.26,0.22,0.21,-0.008,,3
"Junis, Jakob",SI,fastball,43,0.04,0.16,0.15,-0.008,,3.9
"Lugo, Seth",FF,fastball,76,0.13,0.17,0.16,-0.008,,4.2
"Suarez, José",SI,fastball,41,0.12,0.18,0.18,-0.008,,3.6
"Bazardo, Eduard",SI,fastball,138,0.13,0.18,0.17,-0.008,,3.6
"Montero, Keider",CH,offspeed,67,1.21,1.01,1.01,-0.008,0.3,13.6
"Hancock, Emerson",FF,fastball,233,0.14,0.22,0.21,-0.008,,5.4
"Whitlock, Garrett",SI,fastball,124,0.15,0.19,0.18,-0.008,,2.8
"Winn, Keaton",SI,fastball,48,0.17,0.19,0.18,-0.008,,4
"Varland, Louis",CH,offspeed,44,1.07,1.16,1.15,-0.008,0.24,18
"Fuentes, Didier",FF,fastball,158,0.3,0.21,0.2,-0.008,,3.7
"Tolle, Payton",SI,fastball,131,0.17,0.23,0.22,-0.008,,2.8
"Garcia, Brandyn",SI,fastball,62,0.07,0.22,0.21,-0.008,,3.3
"Kimbrel, Craig",FF,fastball,123,0.34,0.19,0.18,-0.009,,3.6
"Lorenzen, Michael",SI,fastball,119,0.11,0.16,0.15,-0.009,,4.8
"Sewald, Paul",ST,breaking,65,2.46,1.17,1.16,-0.009,0.36,160.3
"Williams, Devin",FF,fastball,93,0.3,0.19,0.18,-0.009,,4.6
"Hernández, Jonathan",SI,fastball,42,0.46,0.2,0.19,-0.009,,2.8
"King, Michael",FF,fastball,86,0.18,0.18,0.17,-0.009,,4.5
"Cease, Dylan",SI,fastball,55,0.29,0.21,0.2,-0.009,,5.1
"Paddack, Chris",FF,fastball,101,0.14,0.16,0.15,-0.009,,2.3
"Cleavinger, Garrett",SI,fastball,45,0.21,0.23,0.22,-0.009,,7.4
"Brubaker, JT",SI,fastball,115,0.07,0.15,0.14,-0.009,,2.6
"Valdez, Framber",SI,fastball,305,0.16,0.18,0.18,-0.009,,4.8
"Cano, Yennier",SI,fastball,106,0.29,0.17,0.17,-0.009,,2.9
"King, John",SI,fastball,63,0.18,0.19,0.18,-0.009,,3.4
"Williams, Gavin",SI,fastball,139,0.21,0.19,0.18,-0.009,,8.8
"Hanifee, Brenan",SI,fastball,61,0.05,0.18,0.18,-0.009,,3.1
"Cruz, Steven",FF,fastball,116,0.29,0.23,0.22,-0.009,,4.1
"Drohan, Shane",FF,fastball,102,0.49,0.21,0.2,-0.009,,3.4
"Ashcraft, Braxton",SI,fastball,115,0.27,0.23,0.23,-0.009,,3.8
"Halvorsen, Seth",FF,fastball,72,0.01,0.23,0.22,-0.009,,3.4
"Rodriguez, Grayson",FF,fastball,129,0.09,0.2,0.2,-0.009,,3.3
"Montgomery, Mason",FF,fastball,130,0.23,0.24,0.23,-0.009,,3.3
"McDonald, Trevor",SI,fastball,192,0.11,0.19,0.18,-0.009,,3.4
"Miles, Spencer",SI,fastball,157,0.42,0.21,0.2,-0.009,,3.3
"Gibson, Trey",SI,fastball,40,0.21,0.17,0.16,-0.009,,6.1
"Rodriguez, Bradgley",SI,fastball,74,0.07,0.22,0.21,-0.009,,5.4
"Morris, Andrew",SI,fastball,45,0.41,0.19,0.18,-0.009,,7.8
"Ritchie, JR",SI,fastball,51,0.15,0.19,0.19,-0.009,,4.4
"Fermin, José",SI,fastball,44,0.33,0.21,0.2,-0.009,,3.4
"Kikuchi, Yusei",FF,fastball,48,0.15,0.2,0.19,-0.01,,3.7
"Alvarado, José",SI,fastball,154,0.23,0.23,0.22,-0.01,,2.9
"Alexander, Tyler",FC,fastball,48,0.11,0.26,0.25,-0.01,,20.7
"Burke, Brock",FF,fastball,87,0.44,0.22,0.21,-0.01,,2.8
"Holmes, Grant",SI,fastball,73,0.19,0.16,0.15,-0.01,,5.4
"Muñoz, Andrés",FF,fastball,76,0.27,0.25,0.24,-0.01,,4.5
"Lambert, Peter",FC,fastball,43,0.06,0.22,0.21,-0.01,,12.3
"Kolek, Stephen",SI,fastball,66,0.05,0.17,0.16,-0.01,,6.3
"Legumina, Casey",FF,fastball,82,0.52,0.21,0.2,-0.01,,3.4
"Legumina, Casey",SI,fastball,52,0.05,0.16,0.15,-0.01,,3.3
"Holderman, Colin",SI,fastball,109,0.3,0.2,0.19,-0.01,,3.3
"Avila, Luinder",SI,fastball,101,0.18,0.21,0.2,-0.01,,6.6
"Funderburk, Kody",SI,fastball,54,0.04,0.21,0.2,-0.01,,4
"Eisert, Brandon",FF,fastball,66,0.17,0.21,0.2,-0.01,,3.7
"Schlittler, Cam",SI,fastball,115,0.22,0.23,0.22,-0.01,,3.9
"Palencia, Daniel",FF,fastball,66,0.24,0.26,0.25,-0.01,,2.6
"Sasaki, Roki",FF,fastball,235,0.18,0.22,0.21,-0.01,,2.8
"Treinen, Blake",SI,fastball,50,0.19,0.17,0.16,-0.011,,3.2
"Márquez, Germán",SI,fastball,47,0.06,0.15,0.14,-0.011,,7
"Speier, Gabe",SI,fastball,57,0.21,0.2,0.19,-0.011,,3.4
"King, Michael",CH,offspeed,205,0.91,1.13,1.12,-0.011,0.29,28.5
"Lovelady, Richard",SI,fastball,50,0.12,0.25,0.23,-0.011,,13.2
"May, Dustin",SI,fastball,111,0.19,0.25,0.24,-0.011,,9.7
"Hancock, Emerson",SI,fastball,178,0.08,0.21,0.2,-0.011,,5.7
"O'Brien, Riley",SI,fastball,133,0.21,0.22,0.21,-0.011,,3.7
"Patrick, Chad",SI,fastball,85,0.07,0.19,0.18,-0.011,,6.3
"Lord, Brad",FF,fastball,87,0.26,0.2,0.19,-0.011,,3.4
"Ureña, Walbert",FF,fastball,72,0.16,0.21,0.2,-0.011,,3.5
"Ureña, Walbert",SI,fastball,164,0.33,0.2,0.19,-0.011,,3.5
"Lugo, Seth",SI,fastball,122,0.1,0.17,0.16,-0.012,,6.4
"Civale, Aaron",SI,fastball,70,0.1,0.17,0.16,-0.012,,4.3
"Rasmussen, Drew",SI,fastball,111,0.08,0.21,0.19,-0.012,,11
"Williams, Gavin",FF,fastball,141,0.32,0.22,0.21,-0.012,,3.6
"Rogers, Trevor",SI,fastball,56,0.12,0.24,0.23,-0.012,,5.2
"Weissert, Greg",SI,fastball,85,0.11,0.19,0.18,-0.012,,10.9
"Watson, Ryan",SI,fastball,61,0.27,0.19,0.18,-0.012,,3.6
"Cavalli, Cade",SI,fastball,115,0.13,0.18,0.17,-0.012,,5
"Young, Brandon",SI,fastball,79,0.06,0.18,0.16,-0.012,,8.1
"McGreevy, Michael",SI,fastball,95,0.05,0.16,0.15,-0.012,,4.3
"Fried, Max",FF,fastball,43,0.25,0.2,0.18,-0.013,,2.9
"McCullers Jr., Lance",SI,fastball,52,0.12,0.18,0.16,-0.013,,3.4
"Soriano, José",FF,fastball,118,0.22,0.21,0.2,-0.013,,4.9
"Gallen, Zac",SL,breaking,119,1.32,0.55,0.54,-0.013,0.19,48.5
"Varland, Louis",FF,fastball,98,0.21,0.23,0.22,-0.013,,3.4
"Sproat, Brandon",FF,fastball,101,0.14,0.19,0.18,-0.013,,3.6
"Dodd, Dylan",FC,fastball,56,0.9,0.92,0.9,-0.013,,6.8
"Imai, Tatsuya",FF,fastball,108,0.17,0.18,0.17,-0.013,,3.7
"Chapman, Aroldis",SI,fastball,64,0.22,0.27,0.26,-0.014,,5.7
"Domínguez, Seranthony",SI,fastball,40,0.11,0.21,0.2,-0.014,,6.8
"Ryan, Joe",SI,fastball,62,0.08,0.16,0.15,-0.014,,4.6
"Ashcraft, Graham",SL,breaking,49,1.62,2.28,2.26,-0.014,0.25,148.8
"McLean, Nolan",SI,fastball,200,0.21,0.21,0.2,-0.014,,4.5
"Chapman, Aroldis",FF,fastball,80,0.14,0.27,0.25,-0.015,,3.8
"Guerrero, Tyron",SI,fastball,110,0.28,0.24,0.23,-0.015,,3.1
"Holmes, Clay",SI,fastball,155,0.16,0.17,0.16,-0.015,,3.7
"Ober, Bailey",FF,fastball,139,0.16,0.2,0.18,-0.015,,3.7
"Hicks, Jordan",SI,fastball,91,0.07,0.22,0.2,-0.015,,7.7
"Wells, Tyler",FC,fastball,62,0.77,0.33,0.31,-0.015,,16.5
"Rogers, Trevor",FF,fastball,255,0.36,0.22,0.21,-0.015,,3.2
"Chandler, Bubba",CH,offspeed,68,0.69,1.34,1.33,-0.015,0.24,24.2
"Ryan, Joe",FF,fastball,288,0.27,0.19,0.18,-0.016,,3.9
"Ginn, J.T.",SI,fastball,173,0.39,0.19,0.17,-0.016,,5
"Pérez, Cionel",SI,fastball,70,0.26,0.22,0.2,-0.016,,3.2
"Bibee, Tanner",SI,fastball,154,0.4,0.17,0.15,-0.016,,13.5
"Dobnak, Randy",SI,fastball,59,0.12,0.17,0.16,-0.016,,2.6
"Woods Richardson, Simeon",SL,breaking,70,0.61,0.82,0.81,-0.016,0.28,32.9
"Soroka, Michael",SI,fastball,54,0.06,0.19,0.18,-0.017,,3.1
"Schreiber, John",SI,fastball,56,0.16,0.28,0.26,-0.017,,8
"Wrobleski, Justin",SI,fastball,59,0.09,0.19,0.17,-0.017,,3.7
"Kochanowicz, Jack",SI,fastball,144,0.24,0.22,0.21,-0.017,,4
"Castillo, Luis",FF,fastball,243,0.32,0.19,0.17,-0.018,,3.2
"Severino, Luis",FC,fastball,95,0.16,0.27,0.26,-0.018,,17.9
"Webb, Logan",FC,fastball,87,0.33,0.29,0.27,-0.018,,12.3
"Lambert, Peter",CH,offspeed,118,1.21,0.93,0.91,-0.018,0.24,18.4
"Bazardo, Eduard",ST,breaking,66,1.31,1.69,1.67,-0.019,0.7,174.1
"Muñoz, Andrés",SL,breaking,88,3.95,2.77,2.75,-0.019,0.48,128
"Lugo, Seth",FC,fastball,95,0.23,0.25,0.23,-0.02,,12.1
"Miller, Erik",SI,fastball,71,0.19,0.25,0.23,-0.02,,4.9
"Kirby, George",CH,offspeed,45,0.74,1.26,1.24,-0.02,0.25,23.8
"Drohan, Shane",SI,fastball,100,0.11,0.21,0.19,-0.02,,4.5
"Castaño, Blas",SI,fastball,45,0.16,0.17,0.15,-0.02,,3.2
"Scott, Christian",FF,fastball,160,0.28,0.21,0.19,-0.02,,3.4
"Pfaadt, Brandon",FC,fastball,68,0.25,0.35,0.33,-0.02,,18.5
"Roupp, Landen",CH,offspeed,121,1.09,0.84,0.82,-0.02,0.21,26.6
"Warren, Will",SI,fastball,142,0.31,0.24,0.22,-0.02,,7.9
"Sullivan, Sean",FF,fastball,52,0.08,0.22,0.2,-0.02,,3
"Ray, Robbie",CH,offspeed,118,0.92,1.1,1.08,-0.021,0.24,7.4
"Canning, Griffin",SI,fastball,41,0,0.18,0.16,-0.021,,6.1
"Morejon, Adrian",SI,fastball,138,0.21,0.28,0.26,-0.021,,7.3
"Anderson, Grant",SI,fastball,60,0.16,0.24,0.22,-0.021,,5.6
"Lord, Brad",SI,fastball,91,0.21,0.17,0.14,-0.021,,4.7
"Early, Connelly",CH,offspeed,92,0.54,1.78,1.76,-0.021,0.41,36.4
"Topa, Justin",SI,fastball,44,0.1,0.18,0.16,-0.022,,3.2
"Singer, Brady",FC,fastball,61,0.21,0.3,0.28,-0.022,,15.7
"Montero, Keider",KC,breaking,60,0.87,1.64,1.61,-0.022,0.79,170.2
"Backhus, Kyle",SI,fastball,51,0.02,0.18,0.16,-0.022,,3.4
"Johnson, Ryan",FS,offspeed,63,2.42,0.98,0.96,-0.022,0.35,21.2
"Suter, Brent",SI,fastball,71,0.15,0.24,0.22,-0.023,,16.4
"Ohtani, Shohei",ST,breaking,101,2.56,3.02,3,-0.023,0.62,149.9
"Lawrence, Justin",SI,fastball,112,0.41,0.28,0.26,-0.023,,6.6
"Weissert, Greg",FF,fastball,58,0.22,0.19,0.17,-0.023,,7.6
"Gray, Sonny",SI,fastball,102,0.16,0.2,0.18,-0.024,,11.8
"Raley, Brooks",FC,fastball,70,0.44,0.27,0.25,-0.024,,53.6
"Meyer, Max",SI,fastball,64,0.01,0.27,0.24,-0.024,,6.7
"Castillo, Luis",SI,fastball,106,0.11,0.19,0.17,-0.025,,7
"Soroka, Michael",CH,offspeed,59,0.3,1.11,1.08,-0.025,0.26,18.5
"Agnos, Zach",FC,fastball,103,0.24,0.25,0.23,-0.025,,13.2
"Jump, Gage",SL,breaking,78,0.8,1.28,1.26,-0.025,0.33,81.8
"Early, Connelly",SI,fastball,88,0.14,0.25,0.23,-0.025,,6.6
"Paddack, Chris",CH,offspeed,87,0.77,1.35,1.32,-0.026,0.27,34.9
"Nelson, Ryne",FC,fastball,55,0.38,0.33,0.3,-0.027,,9.8
"Sisk, Evan",SI,fastball,62,0.08,0.29,0.26,-0.027,,6.6
"Sproat, Brandon",SI,fastball,109,0.2,0.2,0.18,-0.027,,4.4
"Messick, Parker",CH,offspeed,120,1.56,1.33,1.31,-0.027,0.33,28.8
"Bubic, Kris",SI,fastball,45,0.16,0.28,0.26,-0.028,,7
"Murphy, Chris",SL,breaking,58,1.49,1.02,0.99,-0.028,0.23,46.2
"Criswell, Cooper",SI,fastball,45,0.2,0.2,0.17,-0.028,,3.1
"Irvin, Jake",SI,fastball,73,0.08,0.2,0.17,-0.029,,4.1
