player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff
"Rodriguez, Eduardo",CU,breaking,69,0.86,1.06,1.07,0.01,0.47,148.2
"Freeland, Kyle",FF,fastball,114,0.12,0.19,0.2,0.01,,6.9
"Suarez, Ranger",FF,fastball,81,0.17,0.16,0.17,0.01,,3.8
"Manaea, Sean",SI,fastball,118,0.15,0.2,0.21,0.01,,4.3
"Bieber, Shane",FF,fastball,46,0.13,0.19,0.2,0.01,,3.2
"Meyer, Max",FF,fastball,128,0.09,0.26,0.27,0.01,,2.7
"Bruihl, Justin",SI,fastball,134,0.17,0.28,0.28,0.01,,8.8
"Bradish, Kyle",FF,fastball,129,0.14,0.19,0.2,0.01,,5.3
"Smith, Dylan",FF,fastball,40,0.24,0.21,0.22,0.01,,3.7
"Gordon, Tanner",CH,offspeed,73,0.86,1.12,1.13,0.01,0.34,17.5
"Booser, Cam",FF,fastball,45,0.16,0.19,0.2,0.009,,3
"Springs, Jeffrey",FF,fastball,195,0.12,0.16,0.17,0.009,,3.8
"Woodruff, Brandon",SI,fastball,41,0.1,0.15,0.16,0.009,,6.1
"Banda, Anthony",FF,fastball,43,0.15,0.18,0.19,0.009,,3.8
"Feltner, Ryan",FF,fastball,95,0.16,0.2,0.21,0.009,,4
"Bubic, Kris",FF,fastball,92,0.14,0.21,0.22,0.009,,4.7
"Wolfram, Grant",SI,fastball,75,0.25,0.19,0.2,0.009,,5.2
"Mejia, Juan",FF,fastball,117,0.25,0.23,0.24,0.009,,4.7
"Burke, Sean",FF,fastball,200,0.23,0.24,0.25,0.009,,3.9
"Miller, Bryce",FF,fastball,154,0.13,0.25,0.25,0.009,,3.6
"Sheehan, Emmet",SL,breaking,147,2.71,1.35,1.36,0.009,0.25,48.3
"Elder, Bryce",SL,breaking,138,1.15,1.95,1.95,0.009,0.35,164.2
"Boyd, Matthew",FF,fastball,159,0.14,0.18,0.19,0.008,,3.6
"Sugano, Tomoyuki",FF,fastball,84,0.13,0.18,0.19,0.008,,3.6
"Pagán, Emilio",FF,fastball,80,0.2,0.25,0.26,0.008,,2.7
"Peterson, David",SI,fastball,175,0.16,0.21,0.21,0.008,,4.2
"Rasmussen, Drew",FF,fastball,136,0.28,0.24,0.25,0.008,,2.6
"Scott, Tanner",FF,fastball,99,0.31,0.27,0.27,0.008,,2.8
"Singer, Brady",SI,fastball,210,0.15,0.17,0.18,0.008,,7.4
"Gallen, Zac",FF,fastball,159,0.06,0.17,0.18,0.008,,5.6
"Ashcraft, Graham",FC,fastball,68,0.37,0.29,0.29,0.008,,5.5
"Englert, Mason",SI,fastball,45,0.05,0.14,0.15,0.008,,2.3
"Abbott, Andrew",FF,fastball,252,0.13,0.18,0.18,0.008,,3.3
"Weathers, Ryan",CH,offspeed,146,1.56,1.47,1.48,0.008,0.35,19.4
"Gasser, Robert",FF,fastball,68,0.25,0.18,0.19,0.008,,4.3
"Gray, Sonny",FF,fastball,113,0.12,0.23,0.23,0.007,,6.6
"Okert, Steven",FF,fastball,43,0.17,0.17,0.18,0.007,,3.3
"Woodruff, Brandon",FF,fastball,86,0.2,0.19,0.19,0.007,,3.6
"Jax, Griffin",SI,fastball,111,0.25,0.24,0.25,0.007,,3.3
"Estrada, Jeremiah",FF,fastball,65,0.23,0.19,0.2,0.007,,2.7
"Festa, Matt",FF,fastball,97,0.34,0.22,0.23,0.007,,6.1
"Garcia, Rico",FF,fastball,73,0.16,0.22,0.23,0.007,,2.5
"Ribalta, Orlando",SI,fastball,42,0.11,0.2,0.21,0.007,,3
"Kent, Zak",FF,fastball,47,0.05,0.33,0.33,0.007,,5.4
"Pfaadt, Brandon",FF,fastball,72,0.05,0.21,0.21,0.007,,5.9
"Taillon, Jameson",FF,fastball,101,0.21,0.18,0.19,0.006,,3.2
"Manaea, Sean",FF,fastball,153,0.28,0.19,0.2,0.006,,3.8
"Jax, Griffin",FF,fastball,59,0.22,0.25,0.26,0.006,,2.8
"Keller, Mitch",SL,breaking,60,0.62,1.07,1.08,0.006,0.24,99.2
"Newcomb, Sean",FF,fastball,100,0.34,0.18,0.18,0.006,,3.3
