pitch_type,np,r,p,lo,hi,mean_axis,r26,np26,r_pred,np_pred,verdict,lab
SL,251,0.420773287801176,3.43270992761484e-12,0.311403924306521,0.518934605582028,99.8543704708943,0.624438122332859,75,0.544877344877345,55,matches the fastball,Slider
ST,135,0.368198224563457,1.11456995584291e-05,0.207546791406517,0.499797299961377,152.925802312859,0.440842245989305,33,0.233333333333333,19,matches the fastball,Sweeper
CU,76,-0.149036226930964,0.198818738850349,-0.355996599981789,0.0758390188468252,167.576414877458,-0.0833333333333333,17,,10,nothing reliable,Curveball
KC,30,-0.352169076751947,0.0563135806817436,-0.656632858099704,0.035088483166944,165.60900886369,0.0363636363636364,11,,10,nothing reliable,"Knuckle-
curve"
CH,187,0.142911410524152,0.0510323562232619,-0.00383328531905972,0.268934447773707,22.278946972954,0.361281826163301,67,0.166596194503171,44,nothing reliable,Changeup
FS,56,0.332877648667122,0.0121834694664704,0.0536276276561655,0.571782364619703,22.9856322209695,0.64695652173913,24,0.593395252837977,18,matches the fastball,Splitter
