player_name,id,seasons,swings,sep,blind,aware,from_sep
Wacha,608379,7,2309,10.1,-0.46,-0.59,0.13
Smeltzer,656970,3,254,6.7,-0.46,3,-3.45
Hendricks,543294,6,2387,7.1,-0.58,1.86,-2.45
Alcantara,645261,5,2003,6.6,-0.65,-1.18,0.53
Castillo,622491,7,1809,8.2,-0.77,-1.67,0.91
Wells,669330,5,578,6.6,-1.01,-0.91,-0.1
Milone,543548,3,268,7.5,-1.03,3.63,-4.66
Lynch IV,663738,6,704,8.6,-1.04,-1.16,0.12
Ryu,547943,4,731,10.1,-1.39,-0.61,-0.78
Pfaadt,694297,4,564,6.5,-1.39,-1.5,0.11
Greinke,425844,4,766,2.6,-1.5,0.48,-1.98
Miley,489119,3,618,7.4,-1.56,-0.47,-1.09
Brieske,689225,4,474,8.4,-1.57,-6.07,4.5
Webb,657277,7,3002,6.4,-1.59,-1.02,-0.57
Holton,663947,4,435,8.2,-1.6,-1.73,0.13
Rogers,669432,7,1526,7.9,-1.63,-0.2,-1.44
Paddack,663978,6,1206,9.6,-1.66,-3.21,1.55
Erceg,668674,4,321,7.6,-1.66,-3.82,2.16
Burke,656271,5,411,7.3,-1.7,-2.35,0.65
Boxberger,502202,3,274,11.3,-1.71,-4.27,2.56
Gaddis,683769,4,208,14.8,-1.76,-3.96,2.21
Gibson,502043,5,865,7.3,-1.81,-0.52,-1.29
Sale,519242,5,591,7.8,-1.96,0.71,-2.67
López,605347,4,349,7.6,-1.96,-2.29,0.33
Banda,607455,4,323,7.5,-1.97,-0.5,-1.46
Elder,693821,5,482,5.9,-2,-0.35,-1.65
Ramirez,598287,3,300,5.4,-2.06,-0.09,-1.97
Williams,592866,6,523,6.6,-2.07,0.49,-2.55
Buehler,621111,4,264,4.4,-2.14,-2.55,0.41
Montero,606160,4,382,5.1,-2.19,-3.48,1.29
Kaprielian,621076,3,320,9,-2.21,-2.41,0.2
Cabrera,665795,6,1369,3.4,-2.21,0.22,-2.43
Montero,672456,3,278,7.7,-2.27,-3.44,1.17
Giolito,608337,6,1980,12.1,-2.34,-2.81,0.47
López,641154,6,1818,6.5,-2.37,-1.83,-0.54
Urquidy,664353,4,576,7.7,-2.46,-1.75,-0.72
Ureña,570632,5,594,6.9,-2.47,-0.8,-1.67
Pepiot,686752,4,809,8.1,-2.53,-3.47,0.94
Milner,571948,5,388,7.4,-2.6,-1.55,-1.05
Garrett,666129,3,211,6.7,-2.79,-0.77,-2.02
Sears,676664,5,763,8.8,-2.81,-4.35,1.55
Gonzales,594835,5,1068,8.9,-2.91,-2.37,-0.54
Harris,663687,3,236,11.9,-3.04,-4.82,1.78
Rea,607067,4,508,6.5,-3.19,-2.57,-0.62
Bundy,605164,3,471,7.6,-3.22,-2.34,-0.88
Plesac,668676,3,687,6.7,-3.36,-0.88,-2.48
Morgan,669212,5,706,14.7,-3.44,-3.49,0.05
Houser,605288,6,580,8.9,-3.48,-3.22,-0.26
Soriano,666277,3,305,6.4,-3.68,-1.19,-2.49
Vest,676684,4,219,8.1,-3.68,-4.84,1.15
Javier,664299,4,234,8.9,-3.83,-4,0.16
Whitlock,676477,3,417,11.6,-3.92,-5.45,1.53
Scherzer,453286,7,781,9.4,-3.95,-4.03,0.08
Heaney,571760,5,1045,8.2,-4,-2.91,-1.09
Akin,669211,6,556,8.7,-4.08,-3.6,-0.47
Gray,543243,3,217,4.9,-4.33,0.95,-5.29
Ober,641927,6,1635,7.2,-4.38,-2.06,-2.32
Clarke,664199,5,372,5.8,-4.4,-7.87,3.47
Anderson,502624,5,593,9.6,-4.43,-4.67,0.24
Verlander,434378,3,233,9,-4.45,-5.88,1.43
Lugo,607625,4,359,6.1,-4.48,-2.51,-1.97
Wittgren,621295,3,215,7,-4.5,-3.76,-0.74
Rodriguez,593958,6,1335,6.2,-4.52,-0.17,-4.35
Megill,656731,3,403,7.8,-4.67,-5.82,1.14
Senzatela,622608,4,265,7.8,-4.7,-4.74,0.04
Lodolo,666157,5,738,6,-4.84,-0.21,-4.63
Meyer,676974,3,223,6.9,-5.04,-5.98,0.94
Germán,593334,4,535,6.5,-5.06,-1.7,-3.37
Manaea,640455,3,676,6.8,-5.2,-0.67,-4.53
Canning,656288,6,1232,4.6,-5.42,-3.55,-1.88
Means,607644,4,623,9.3,-5.47,-5.43,-0.04
Allard,663465,3,323,8.2,-5.83,-6.11,0.29
Alexander,641302,7,742,7.2,-5.85,-2.78,-3.07
Lyles,543475,3,360,5.8,-6.09,-2.92,-3.17
Severino,622663,4,498,9.4,-6.17,-10.41,4.25
Gordon,685299,3,343,8.4,-6.44,-5.42,-1.03
Gomber,596295,5,947,8.8,-6.55,-4.07,-2.48
Woo,693433,3,233,5.9,-6.95,-7.56,0.61
Harrison,690986,3,318,7.8,-7.09,-5.64,-1.44
Baz,669358,3,278,7.8,-7.36,-9.24,1.88
Floro,571670,4,281,7,-7.83,-7.75,-0.08
Peterson,656849,7,888,7.9,-8.26,-5.66,-2.6
Banks,621383,3,225,7.3,-8.78,-10.61,1.83
Lauer,641778,3,220,6.5,-8.79,-7.43,-1.36
Quantrill,615698,3,427,8.6,-9.12,-9.14,0.02
Taillon,592791,6,509,6.9,-9.52,-7.87,-1.64
Irvin,663623,3,206,6.2,-9.83,-6.46,-3.37
Gray,592351,4,383,6.9,-9.9,-7.12,-2.78
Freeland,607536,7,876,5.4,-9.9,-4.98,-4.93
Irvin,608344,4,842,7.2,-10.01,-4.86,-5.15
Keller,656605,3,255,4.7,-10.93,-8.75,-2.18
Faedo,656412,3,223,6.1,-11.01,-8.57,-2.44
Manoah,666201,3,310,6.9,-11.11,-10.06,-1.05
Soroka,647336,4,237,9.8,-11.16,-11.15,-0.01
Martin,663436,4,586,5,-12.7,-12.08,-0.61
Wilson,669060,3,267,6.4,-13.56,-11.96,-1.6
Vásquez,681190,3,197,6.4,-13.58,-12.77,-0.81
Eflin,621107,5,379,6.6,-14.5,-10.51,-3.98
Bassitt,605135,5,356,8.3,-15.11,-12.98,-2.13
Ross,605452,3,140,4.6,-18.27,-12.35,-5.92
Mikolas,571945,5,474,8.2,-19.8,-18.33,-1.47
