group,cue,resid,np,r,lo,hi,p
Breaking,Arm Angle,1. Shape only,500,0.0398193272773091,-0.0506334072269682,0.129624122520031,0.374265879107382
Breaking,Arm Angle,2. Shape + post-hoc location fit (what Fig 11 published),500,0.0249337957351829,-0.0654843275834791,0.114945808349935,0.578055235914365
Breaking,Arm Angle,3. Location & handedness inside the model,500,-0.0945527942111769,-0.183259343308972,-0.0043189260372228,0.0345400065898694
Breaking,Trajectory,1. Shape only,500,-0.170815691262765,-0.257121694531813,-0.0818063859921587,0.000123919376240484
Breaking,Trajectory,2. Shape + post-hoc location fit (what Fig 11 published),500,-0.142005304021216,-0.229336192811757,-0.0524063654500532,0.00145488435200672
Breaking,Trajectory,3. Location & handedness inside the model,500,-0.0466445705782823,-0.136341218574539,0.0438106319186895,0.297893902561679
Breaking,Spin Similarity,1. Shape only,500,0.059690254761019,-0.03074614589236,0.149157284821759,0.182675440994862
Breaking,Spin Similarity,2. Shape + post-hoc location fit (what Fig 11 published),500,0.0425466981867928,-0.047908034955758,0.132309266849652,0.342406083928696
Breaking,Spin Similarity,3. Location & handedness inside the model,500,-0.0211133644534578,-0.111172210959034,0.0692894272916538,0.637654980311863
Offspeed,Arm Angle,1. Shape only,244,0.160701171786262,0.032108163646751,0.284060567145254,0.0119471705272091
Offspeed,Arm Angle,2. Shape + post-hoc location fit (what Fig 11 published),244,0.0946581911453106,-0.0350303899386322,0.221211520593985,0.14039334750915
Offspeed,Arm Angle,3. Location & handedness inside the model,244,0.0669326625610779,-0.0628712477109575,0.194509785818491,0.297726600167554
Offspeed,Trajectory,1. Shape only,244,-0.041369796248797,-0.169722180176192,0.0883626857800899,0.520111248939219
Offspeed,Trajectory,2. Shape + post-hoc location fit (what Fig 11 published),244,-0.167063595322768,-0.290059825587433,-0.0386380026382187,0.00893275682494849
Offspeed,Trajectory,3. Location & handedness inside the model,244,0.0375128557798347,-0.0921941516441917,0.165968057763308,0.559781653275684
Offspeed,Spin Similarity,1. Shape only,243,-0.0850891762466526,-0.212275594333224,0.0449319928672274,0.1861786724359
Offspeed,Spin Similarity,2. Shape + post-hoc location fit (what Fig 11 published),243,0.0888007413094348,-0.0411990927696868,0.215844064619744,0.167630865099183
Offspeed,Spin Similarity,3. Location & handedness inside the model,243,0.00365051408270484,-0.125934994614681,0.133113535219145,0.954853757381589
