ptype,regime,driver,n_train,n_test,gain,grp
CU,All counts,Spin-axis gap,54058,14514,-0.0343499134841993,Breaking
CU,All counts,Spin similarity,53919,14377,0.000324558964402358,Breaking
CU,All counts,Active-spin gap,54340,14492,0.0280620807976824,Breaking
CU,All counts,Velocity gap,54243,14534,0.153835599043205,Breaking
CU,All counts,Movement gap,54243,14534,0.0931094435321533,Breaking
CU,All counts,Location (reference),54794,14838,29.0042151044837,Breaking
CH,0 strikes,Trajectory tunnel,3035,638,0.119855650534807,Offspeed
CH,0 strikes,Spin-axis gap,19736,5413,0.0196167072634983,Offspeed
CH,0 strikes,Spin similarity,19695,5405,-0.0160202600050064,Offspeed
CH,0 strikes,Active-spin gap,19911,5455,0.0106012885861684,Offspeed
CH,0 strikes,Velocity gap,19789,5418,1.03177170195601,Offspeed
CH,0 strikes,Movement gap,19789,5418,-0.0257162509474375,Offspeed
CH,0 strikes,Location (reference),20100,5533,10.3031722950803,Offspeed
CH,1 strike,Trajectory tunnel,11072,3088,0.360229242273839,Offspeed
CH,1 strike,Spin-axis gap,33583,9884,0.0027657822314268,Offspeed
CH,1 strike,Spin similarity,33506,9849,-0.0285933673388106,Offspeed
CH,1 strike,Active-spin gap,33857,9972,0.0085388981438407,Offspeed
CH,1 strike,Velocity gap,33671,9904,0.731816163143518,Offspeed
CH,1 strike,Movement gap,33671,9904,0.0502516256684314,Offspeed
CH,1 strike,Location (reference),34144,10117,10.252160430439,Offspeed
CH,2 strikes,Trajectory tunnel,9869,3002,-0.0436568679745684,Offspeed
CH,2 strikes,Spin-axis gap,28781,8864,0.0461352405143933,Offspeed
CH,2 strikes,Spin similarity,28686,8826,0.0118012717530689,Offspeed
CH,2 strikes,Active-spin gap,28986,8951,0.00369846187172006,Offspeed
CH,2 strikes,Velocity gap,28870,8883,0.361047074698323,Offspeed
CH,2 strikes,Movement gap,28870,8883,0.0278800747186685,Offspeed
CH,2 strikes,Location (reference),29278,9097,10.2615380057623,Offspeed
CH,All counts,Trajectory tunnel,23976,6728,0.128105923945562,Offspeed
CH,All counts,Spin-axis gap,82100,24161,0.00839634736536339,Offspeed
CH,All counts,Spin similarity,81887,24080,-0.010942421596417,Offspeed
CH,All counts,Active-spin gap,82754,24378,0.0150621570215581,Offspeed
CH,All counts,Velocity gap,82330,24205,0.751110767482528,Offspeed
CH,All counts,Movement gap,82330,24205,-0.000644826718059597,Offspeed
CH,All counts,Location (reference),83522,24747,8.15294404527328,Offspeed
FS,0 strikes,Spin-axis gap,4702,1523,0.53605701840064,Offspeed
FS,0 strikes,Spin similarity,4691,1521,0.564355166854023,Offspeed
FS,0 strikes,Active-spin gap,4717,1538,1.65481174423592,Offspeed
FS,0 strikes,Velocity gap,4712,1528,3.15159112178182,Offspeed
FS,0 strikes,Movement gap,4712,1528,-0.0245390984357992,Offspeed
FS,0 strikes,Location (reference),4752,1553,15.8190380945125,Offspeed
FS,1 strike,Trajectory tunnel,3277,846,0.2981502447861,Offspeed
FS,1 strike,Spin-axis gap,9308,2656,0.250947632965177,Offspeed
