pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,arm_gap,slot,fb_slot
621107,offspeed,CH,"Eflin, Zach",200,-10.89214621985,12,1.55610573520132,25.697191011236,24.575835201936,0.09567,100,1.55610573520132,TRUE,0.994652406417112,0.884327673305431,FALSE,,99,1.6,26,25
622072,offspeed,CH,"Wood, Alex",223,-2.88800007715086,11.6591928251121,1.60074372967285,17.9320961740292,18.4932085907236,-0.0222780269058297,100,1.60074372967285,TRUE,0.989304812834225,0.875180422356741,FALSE,,99,1.6,18,18
593958,offspeed,CH,"Rodriguez, Eduardo",741,-3.79799249185049,25.7759784075574,1.61329210894807,40.725641025641,40.2213660796622,0.0506005398110661,100,1.61329210894807,TRUE,0.983957219251337,0.866033171408052,FALSE,,98,1.6,41,40
543518,offspeed,FS,"McGough, Scott",229,9.65380250390097,40.174672489083,1.63539537241495,46.936031278562,45.5758069464549,-0.0758078602620087,100,1.63539537241495,TRUE,0.982142857142857,0.862929639836175,TRUE,0.0893875381734271,98,1.6,47,46
645261,offspeed,CH,"Alcantara, Sandy",780,-3.15753974731961,25.8974358974359,1.64845057135903,32.7273076923077,32.0987331371482,-0.0424205128205129,100,1.64845057135903,TRUE,0.978609625668449,0.856885920459362,FALSE,,98,1.6,33,32
669432,offspeed,CH,"Rogers, Trevor",741,-7.14303832519403,22.9419703103914,1.6916631605743,21.959649122807,22.5905569409014,-0.0225560053981106,100,1.6916631605743,TRUE,0.973262032085561,0.847738669510672,FALSE,,97,1.7,22,23
693821,offspeed,CH,"Elder, Bryce",330,-2.81363859876356,20.3030303030303,1.69434937930374,50.829393939394,50.2388039055396,-0.155069696969697,100,1.69434937930374,TRUE,0.967914438502674,0.838591418561982,FALSE,,97,1.7,51,50
656557,offspeed,FS,"Houck, Tanner",463,0.131141115269443,19.6544276457883,1.64517953817258,22.4784222737819,22.8093303379614,0.0627127429805615,100,1.64517953817258,TRUE,0.964285714285714,0.832384355418228,TRUE,1,96,1.6,22,23
700241,offspeed,CH,"McGreevy, Michael",259,-0.712913056020181,24.3243243243243,1.69597753176511,33.8677419354839,33.1439338161447,-0.117525096525096,100,1.69597753176511,TRUE,0.962566844919786,0.829444167613292,FALSE,,96,1.7,34,33
548389,offspeed,CH,"Stripling, Ross",250,4.70689970797914,24.8,1.696899689441,61.709892173913,61.8886935064935,-0.016968,100,1.696899689441,TRUE,0.957219251336898,0.820296916664603,TRUE,0.17427541854653,96,1.7,62,62
573009,offspeed,CH,"Mantiply, Joe",235,-1.27194877826597,25.531914893617,1.7494710550887,13.9186274509804,15.267753968254,0.0743957446808512,100,1.7494710550887,TRUE,0.951871657754011,0.811149665715913,FALSE,,95,1.7,14,15
543294,offspeed,CH,"Hendricks, Kyle",1290,4.66950825555961,25.6589147286822,1.78741633912,44.1922480620155,42.7355907759217,-0.113840310077519,100,1.78741633912,TRUE,0.946524064171123,0.802002414767223,TRUE,0.171753077813353,95,1.8,44,43
669923,offspeed,FS,"Kirby, George",251,-3.6729484158044,29.8804780876494,1.71321674598618,36.0073059360731,36.9883756050245,-0.0539277108433735,100,1.71321674598618,TRUE,0.946428571428571,0.801839071000282,FALSE,,95,1.7,36,37
683409,offspeed,CH,"Chivilli, Angel",320,13.9826102831499,47.5,1.79089470638401,36.8078125,36.3169385051169,-0.0637343749999999,100,1.79089470638401,TRUE,0.941176470588235,0.792855163818533,TRUE,0.0567029437110168,94,1.8,37,36
666157,offspeed,CH,"Lodolo, Nick",594,-2.65882508692679,24.2424242424242,1.79445235679709,16.2513468013468,14.9592017771458,-0.0251060606060606,100,1.79445235679709,TRUE,0.935828877005348,0.783707912869843,FALSE,,94,1.8,16,15
685299,offspeed,CH,"Gordon, Tanner",339,1.0038746695216,23.0088495575221,1.83428211782236,45.4209439528024,44.3401806249205,-0.0298318584070797,100,1.83428211782236,TRUE,0.93048128342246,0.774560661921154,TRUE,0.77157107897769,93,1.8,45,44
628317,offspeed,FS,"Maeda, Kenta",504,-1.70888165955944,31.9444444444444,1.73728043382421,39.5996031746032,38.7427251477943,-0.0616825396825397,100,1.73728043382421,TRUE,0.928571428571429,0.771293786582336,FALSE,,93,1.7,40,39
