pitcher,pitch_type,player_name,n,resid_pp,whiff_pct,axis_diff,as_gap,active_spin,fb_active,spin_sim,axis_sim,act_sim,cue,cue_pct
683409,CH,"Chivilli, Angel",320,13.9826102831499,47.5,12.3253905807806,-0.0637343749999999,0.930046875,0.99378125,0.614303499224398,-12.3253905807806,-0.0637343749999999,0.614303499224398,0.614973262032086
656986,SL,"Sousa, Bennett",222,13.1454534126403,49.0990990990991,92.7786423809112,-0.609,0.239,0.848,4.32423940916176e-18,-92.7786423809112,-0.609,-92.7786423809112,0.529880478087649
600917,SL,"Leclerc, José",261,10.1762105142512,43.2950191570881,110.312667444829,-0.383647509578544,0.41092337164751,0.794570881226054,3.1283433396149e-08,-110.312667444829,-0.383647509578544,-110.312667444829,0.438247011952191
663947,ST,"Holton, Tyler",265,10.0374710157086,41.5094339622642,152.06870458605,-0.332305660377359,0.51613962264151,0.848445283018868,3.84529944226123e-05,-152.06870458605,-0.332305660377359,-152.06870458605,0.57037037037037
621112,CH,"Blackburn, Paul",312,9.84302930769158,31.0897435897436,8.5962751739662,-0.0966282051282051,0.784762820512821,0.881391025641026,0.410834776838382,-8.5962751739662,-0.0966282051282051,0.410834776838382,0.390374331550802
657097,CH,"Webb, Jacob",567,9.84176516751933,37.9188712522046,21.2191612939883,0.114141093474427,0.994906525573192,0.880765432098766,0.217063355779014,-21.2191612939883,-0.114141093474427,0.217063355779014,0.20855614973262
670280,CU,"Bednar, David",280,9.82025936248693,38.5714285714286,164.187969588251,-0.326457142857143,0.652703571428571,0.979160714285714,8.27705143944442e-10,-164.187969588251,-0.326457142857143,-164.187969588251,0.736842105263158
663738,SL,"Lynch IV, Daniel",297,9.70708546349116,37.7104377104377,57.8070634284222,-0.758814814814815,0.18020202020202,0.939016835016835,1.12102397673234e-25,-57.8070634284222,-0.758814814814815,-57.8070634284222,0.780876494023904
680704,SL,"Sandlin, Nick",295,9.65465742285671,40.3389830508475,147.145627980443,-0.331054237288136,0.508545762711864,0.8396,1.10884977904065e-09,-147.145627980443,-0.331054237288136,-147.145627980443,0.191235059760956
543518,FS,"McGough, Scott",229,9.65380250390097,40.174672489083,8.3538501164388,-0.0758078602620087,0.896921397379913,0.972729257641921,0.557543272537456,-8.3538501164388,-0.0758078602620087,0.557543272537456,0.75
434378,CU,"Verlander, Justin",375,9.50481022984609,23.7333333333333,168.242479558832,-0.278418666666667,0.684698666666667,0.963117333333333,4.93011669557591e-10,-168.242479558832,-0.278418666666667,-168.242479558832,0.605263157894737
663372,CH,"Feltner, Ryan",349,9.36915736987938,40.1146131805158,5.8546641499312,-0.139389684813754,0.668982808022923,0.808372492836676,0.166066044841572,-5.8546641499312,-0.139389684813754,0.166066044841572,0.171122994652406
