player_name,pitch_type,n,res_loc,spin_sim,grp2
"Henry, Tommy",CH,83,0.0635969686394907,0.623328336608692,"Residual overperformers
(top 15% after shape+location)"
"Martinez, Justin",FS,173,0.0634241164019484,0.50885753615298,"Residual overperformers
(top 15% after shape+location)"
"DeSclafani, Anthony",FS,61,0.0630655026297708,0.00336891233467342,"Residual overperformers
(top 15% after shape+location)"
"Gaddis, Hunter",CH,161,0.0629153858759327,0.411823019298321,"Residual overperformers
(top 15% after shape+location)"
"Petty, Chase",CH,41,0.0623975850912592,0.331417079294593,"Residual overperformers
(top 15% after shape+location)"
"Williamson, Brandon",CH,170,0.0621685359330127,0.595659505934383,"Residual overperformers
(top 15% after shape+location)"
"Eisert, Brandon",CH,221,0.0620714526381534,0.555435771965237,"Residual overperformers
(top 15% after shape+location)"
"Matsui, Yuki",FS,393,0.0612409507644691,0.00555225511905708,"Residual overperformers
(top 15% after shape+location)"
"Cruz, Fernando",FS,790,0.0599210188512372,0.000102748840181626,"Residual overperformers
(top 15% after shape+location)"
"Raley, Brooks",CH,86,0.0598593783554372,0.208244430066323,"Residual overperformers
(top 15% after shape+location)"
"Leclerc, José",CH,101,0.0595632935167701,0.821655104672323,"Residual overperformers
(top 15% after shape+location)"
"Davies, Zach",CH,65,0.0595430734839025,0.729814339914059,"Residual overperformers
(top 15% after shape+location)"
"Neal, Zach",CH,52,0.0590631090741167,0.275306913651487,"Residual overperformers
(top 15% after shape+location)"
"Martinez, Seth",CH,54,0.0586081149245419,0.796736248897178,"Residual overperformers
(top 15% after shape+location)"
"Myers, Tobias",CH,103,0.0576886826905899,0.812445031030677,"Residual overperformers
(top 15% after shape+location)"
"Alexander, Scott",CH,72,0.057333738997821,0.721417425123587,"Residual overperformers
(top 15% after shape+location)"
"Urías, Julio",CH,75,0.0571700365484026,0.266388414426536,"Residual overperformers
(top 15% after shape+location)"
"Robertson, Nick",CH,53,0.0567782454355123,0.555141360144451,"Residual overperformers
(top 15% after shape+location)"
"Rutledge, Jackson",FS,58,0.0565642180081206,0.677583289658252,"Residual overperformers
(top 15% after shape+location)"
"Imanaga, Shota",FS,1242,0.0560544379660817,0.624864155049145,"Residual overperformers
(top 15% after shape+location)"
"Weaver, Luke",CH,551,0.0557197956851917,0.27524275488154,"Residual overperformers
(top 15% after shape+location)"
"Domínguez, Seranthony",FS,126,0.055225261840615,0.0940339509793195,"Residual overperformers
(top 15% after shape+location)"
"Keller, Brad",CH,134,0.0546610689857564,0.599646087345544,"Residual overperformers
(top 15% after shape+location)"
"Iglesias, Raisel",CH,562,0.0545167825086458,0.790445562046937,"Residual overperformers
(top 15% after shape+location)"
"Fulmer, Carson",CH,301,0.0536280360386664,0.633962490198381,"Residual overperformers
(top 15% after shape+location)"
"Gordon, Colton",CH,73,0.0532475168324369,0.562493504129034,"Residual overperformers
(top 15% after shape+location)"
"Zerpa, Angel",CH,122,0.0515178299785995,0.704925346015149,"Residual overperformers
(top 15% after shape+location)"
"Strickland, Hunter",CH,47,0.0514575766707664,0.295953797497781,"Residual overperformers
(top 15% after shape+location)"
"Henriquez, Ronny",CH,123,0.050725428797618,0.371128229601878,"Residual overperformers
(top 15% after shape+location)"
"Castro, Miguel",CH,68,0.0499723099206727,0.818846657835899,"Residual overperformers
(top 15% after shape+location)"
"Schwellenbach, Spencer",FS,250,0.0498350057231483,0.44480565164656,All other offspeed
"Waldrep, Hurston",FS,172,0.0497613266377784,0.353275797987325,All other offspeed
"Montero, Rafael",FS,251,0.0496802296824285,0.245462356450678,All other offspeed
"Eovaldi, Nathan",FS,1245,0.0489771449924301,0.340364587477633,All other offspeed
"Johnson, Ryan",FS,108,0.0487925430236274,0.297131613196066,All other offspeed
"Wheeler, Zack",FS,375,0.0487918031602392,0.771474999189503,All other offspeed
"Brito, Jhony",CH,211,0.0487388500672046,0.73472259476925,All other offspeed
"Ramirez, Emmanuel",FS,68,0.0475960269697998,0.00707250183768797,All other offspeed
"Gibson, Kyle",CH,257,0.0467980612681318,0.49790893048938,All other offspeed
"Povich, Cade",CH,221,0.0467046295543184,0.379157605354132,All other offspeed
"Lee, Dylan",CH,183,0.0466592942042191,0.865580518646427,All other offspeed
"Seymour, Ian",CH,361,0.0459943271271973,0.732398460538139,All other offspeed
"Kahnle, Tommy",CH,862,0.044275735487002,0.288967710409773,All other offspeed
"Winn, Cole",FS,102,0.0439564051317203,0.581033075538134,All other offspeed
"Thorpe, Drew",CH,137,0.0435283209281403,0.512163169560942,All other offspeed
"Ober, Bailey",CH,1256,0.0424860617653579,0.235377587426743,All other offspeed
"Jackson, Andre",CH,107,0.0422610810963192,0.332856031125713,All other offspeed
"Cantillo, Joey",CH,567,0.0421067009348902,0.747110173399046,All other offspeed
"Hart, Kyle",CH,44,0.041997519119451,0.218563439255761,All other offspeed
"Stone, Gavin",CH,346,0.0418101557805254,0.616501664584579,All other offspeed
"Parker, Mitchell",FS,394,0.0415023051326118,0.24787314927975,All other offspeed
"deGrom, Jacob",CH,247,0.041424021005026,0.72256303898588,All other offspeed
"Brown, Ben",CH,61,0.0412680755167199,0.551661413644827,All other offspeed
"McCullers Jr., Lance",CH,124,0.0412099632077045,0.269533805684201,All other offspeed
"Loáisiga, Jonathan",CH,163,0.0408504284103542,0.482058783352332,All other offspeed
"Miller, Shelby",FS,209,0.0391062633962996,0.338476040630845,All other offspeed
"Morton, Charlie",CH,335,0.039064780559609,0.303510521229612,All other offspeed
"Griffin, Foster",CH,87,0.0390428438784984,0.823093725774358,All other offspeed
"Painter, Andrew",FS,84,0.0378771070278492,0.0932596942532022,All other offspeed
"Pilkington, Konnor",CH,44,0.0374086045765036,0.46387716226199,All other offspeed
"Romero, JoJo",CH,292,0.0373982265248697,0.270828812311417,All other offspeed
"Buttó, José",CH,271,0.0371647013230415,0.312848440869362,All other offspeed
"Crochet, Garrett",CH,119,0.0369295508048144,0.388267931880562,All other offspeed
"Montgomery, Jordan",CH,313,0.0365948310997972,0.0509363748038109,All other offspeed
"Holman, Grant",FS,127,0.0365567684298453,0.170196613026043,All other offspeed
"Farris, Mitch",CH,133,0.0364820277286543,0.273740181901939,All other offspeed
"Valdez, Framber",CH,800,0.0362286340615829,0.867860976065085,All other offspeed
"Madden, Ty",FS,53,0.0351854609549075,0.511985444635024,All other offspeed
"De los Santos, Yerry",CH,122,0.0349558842105253,0.461520994551694,All other offspeed
"Banda, Anthony",CH,83,0.0344036621769599,0.618868529107509,All other offspeed
"Peralta, Sammy",CH,77,0.0341699185399532,0.336930162885467,All other offspeed
"Rodriguez, Bradgley",CH,189,0.0340894460658234,0.516480017303634,All other offspeed
"Rodríguez, Joely",CH,51,0.0338455255090237,0.482448825727136,All other offspeed
"Ortiz, Luis",CH,141,0.0338304417099431,0.593002930715824,All other offspeed
"García, Yimi",CH,52,0.0336598503692224,0.300506802548747,All other offspeed
"Montero, Keider",CH,275,0.0335316494217045,0.827952573640597,All other offspeed
"Lyles, Jordan",CH,84,0.0334705931123893,0.6727163800618,All other offspeed
"Estrada, Jeremiah",FS,270,0.0331493917633843,0.410125708604127,All other offspeed
"Farmer, Buck",CH,172,0.0328023365170113,0.251082513880801,All other offspeed
"Boushley, Caleb",CH,49,0.0326232695944217,0.477933805269193,All other offspeed
"Neris, Héctor",FS,389,0.0325827229956617,0.0155890626644112,All other offspeed
"Burnes, Corbin",CH,236,0.031187695412672,0.763367251499128,All other offspeed
"Arrighetti, Spencer",CH,161,0.0310940182225375,0.812306969593714,All other offspeed
"Manoah, Alek",CH,88,0.0305976144394719,0.706945851948757,All other offspeed
"Yarbrough, Ryan",CH,391,0.0304183664393403,0.486409432725632,All other offspeed
"Cabrera, Edward",CH,869,0.0304105929381995,0.902250304680323,All other offspeed
"Smith, Drew",CH,45,0.0301536418791879,0.338571197266606,All other offspeed
"Yoho, Craig",CH,113,0.0301508163118889,0.0742114897674524,All other offspeed
"Hurt, Kyle",CH,103,0.0299770024204686,0.401782688473158,All other offspeed
"Lorenzen, Michael",CH,702,0.028840151590977,0.82160418916516,All other offspeed
"Richards, Trevor",CH,488,0.0283545473955354,7.061804321376e-06,All other offspeed
"Hoglund, Gunnar",CH,56,0.0283129645823105,0.307784849563336,All other offspeed
"Hoeing, Bryan",FS,126,0.0281895519200797,0.108390439215049,All other offspeed
"Sandoval, Patrick",CH,371,0.0280879865103556,0.423631370866246,All other offspeed
"Loup, Aaron",CH,41,0.0275262546668013,0.421488664168547,All other offspeed
"Tate, Dillon",CH,41,0.0271121568770983,0.352199359524465,All other offspeed
"Mantiply, Joe",CH,235,0.0270302353167997,0.348191841562966,All other offspeed
"Brazobán, Huascar",CH,542,0.0270240216375801,0.391167254922066,All other offspeed
"Hoffmann, Andrew",CH,76,0.0269736696811244,0.418435418669539,All other offspeed
"Kremer, Dean",FS,593,0.0268572578799151,0.836803521652176,All other offspeed
"Whisenhunt, Carson",CH,138,0.0262280664046066,0.465014393046359,All other offspeed
"Kochanowicz, Jack",CH,296,0.0261794014127952,0.0233084173947488,All other offspeed
"Guenther, Sean",FS,56,0.0261690460257079,0.0118773412606387,All other offspeed
"Ragans, Cole",CH,721,0.0259936132759578,0.86830330737394,All other offspeed
"Henderson, Logan",CH,197,0.025612534293406,0.398380402771944,All other offspeed
"Bednar, David",FS,495,0.0254477262114679,0.00138914816969023,All other offspeed
"Mize, Casey",FS,687,0.0253297578273634,0.548222994211848,All other offspeed
"Norris, Daniel",CH,46,0.0253099992783128,0.0430858103528929,All other offspeed
"Morejon, Adrian",CH,153,0.0251538887142629,0.409647975262555,All other offspeed
"Gray, Sonny",CH,204,0.0246845646082821,0.0499336892011022,All other offspeed
