pitcher,season,player_name,np,nsw,axis,kill,velo_sep,arm,rv100,wh,nbip,gb,as_ch,as_fb,last,hs
621249,2020,"Underwood Jr., Duane",95,48,9.59165472652312,10.5115014961875,7.30699561403509,47.4891304347826,0.562139551078294,18.1663994804733,9,-13.7164998366585,0.891,0.905,Underwood Jr.,TRUE
670329,2026,"Garcia, Rico",191,104,16.5495798736486,7.70273508596544,8.87203354491961,45.9115183246073,1.3385913255073,17.1800450504999,29,-1.16715631483508,0.977,0.988,Garcia,TRUE
656302,2026,"Cease, Dylan",226,84,5.18702141574531,8.73072992077351,14.7150139064475,59.3346666666667,1.1974279295551,16.7140225179099,20,2.29417336058336,0.915,0.911,Cease,TRUE
666120,2025,"Anderson, Ian",71,40,17.0073926321046,6.51230973945663,5.57061213434453,61.9028169014085,0.47437744195614,16.0805911612814,17,-15.3387997895472,0.941,0.975,Anderson,TRUE
605488,2020,"Springs, Jeffrey",105,53,11.7315936927429,9.0750489674908,10.5911528822055,51.3263157894737,0.303243028477593,14.957703224795,13,2.58547324933203,0.983,0.984,Springs,TRUE
596071,2021,"Peters, Dillon",143,90,22.6492577703435,8.49842159949175,6.84440559440559,51.7702127659575,1.66328709075633,14.4527737764703,24,13.9540101907086,0.99,0.868,Peters,TRUE
669276,2026,"Lee, Dylan",127,54,16.5697185745015,10.003027167781,7.97427227705135,44.9095238095238,-0.152214891785131,14.4526481726845,20,-0.508903097208341,0.992,0.994,Lee,TRUE
669373,2021,"Skubal, Tarik",305,114,3.80117055588604,7.63290459528509,12.2187419684141,59.8531353135314,1.11234757904805,12.0267317261552,30,0.716134159542933,0.978,0.945,Skubal,TRUE
669373,2022,"Skubal, Tarik",286,158,8.53976766347245,11.3535965026715,10.5419401816258,51.3993006993007,1.70475871399554,11.9613840174803,41,0.79768547701788,0.813,0.963,Skubal,TRUE
663558,2026,"Morán, Jovani",246,115,29.619116234689,11.3704940294312,9.34427990708479,44.4821138211382,0.354690125768304,11.8478081460575,33,-6.79692498118744,0.843,0.82,Morán,TRUE
671096,2023,"Abbott, Andrew",310,137,10.9688595705224,7.06457468850128,6.09115207373272,44.6248387096774,1.75099439844623,11.8272168727685,48,-2.85541620377197,0.929,0.944,Abbott,TRUE
681347,2025,"Burrows, Mike",365,218,27.8299912747199,11.355778585445,8.2017972056615,48.7915068493151,1.98712670209049,11.1127241376451,59,3.43362579436061,0.974,0.925,Burrows,TRUE
668676,2020,"Plesac, Zach",191,101,21.1051351249017,9.20802142724528,6.68282333380501,45.5940476190476,3.72965891039179,10.8034541588929,34,1.79672911444623,0.991,0.984,Plesac,TRUE
605488,2023,"Springs, Jeffrey",72,42,10.5040168961022,14.1247536581111,11.3418281653747,49.9263888888889,3.8423269710168,10.677422765853,11,-2.22595819568233,0.897,0.98,Springs,TRUE
701581,2025,"Festa, David",256,134,14.0661786686607,12.7522947428043,6.35231002697842,46.87109375,0.694915713762253,10.5476442590879,36,-12.4751180075399,0.812,0.869,Festa,TRUE
656288,2021,"Canning, Griffin",226,133,23.8366726553684,12.0402614467404,4.45172413793103,46.0013392857143,0.471832063947334,10.5414354617478,47,-3.64134389799829,0.947,0.984,Canning,TRUE
668964,2024,"Myers, Tobias",245,99,19.1945994368716,10.3213830760727,11.8068484366224,58.5910204081633,2.34618152845228,10.4394693515638,27,2.64682159488027,0.987,0.996,Myers,TRUE
543699,2020,"Roark, Tanner",117,62,6.48738681336049,9.46845733510159,9.72606837606838,53.2015384615385,-0.129493189078791,10.3044688631245,19,12.599368287077,0.819,0.948,Roark,TRUE
666120,2020,"Anderson, Ian",174,88,18.1998658181792,8.13717795731468,6.66741293532339,63.9084033613445,3.45258978505109,9.88977762200217,29,15.7251068794432,0.982,0.996,Anderson,TRUE
656302,2021,"Cease, Dylan",210,84,8.45735124098886,10.5322396355301,18.6042850109024,61.0545454545455,-0.0233285462744211,9.87348907195868,22,-0.984954101180056,0.866,0.9,Cease,TRUE
621112,2022,"Blackburn, Paul",223,101,9.65980800923388,9.66983108623398,5.52334463524007,50.7668161434978,-0.235690396193949,9.65560855920029,44,-3.05063499649631,0.803,0.873,Blackburn,TRUE
663558,2023,"Morán, Jovani",353,171,21.2040768004849,11.7949534724007,10.1112403293408,47.2116417910448,1.41747623992138,9.48117869257769,57,0.621827418249238,0.869,0.895,Morán,TRUE
596071,2022,"Peters, Dillon",153,71,25.7896648117099,8.61286153380895,8.1503538426865,44.3477124183007,-0.791822941123494,9.25608666527506,21,9.60200921543267,0.984,0.868,Peters,TRUE
676282,2025,"Cantillo, Joey",500,245,24.246741055144,8.43668662938935,13.4660506550218,52.8652,0.873543760057907,9.17967716370864,70,4.91684019177412,0.981,0.993,Cantillo,TRUE
663567,2026,"Lambert, Peter",400,213,18.4753324628524,10.8156446580308,6.92940028901734,47.12275,1.83109808704348,9.10129083479691,61,5.44088635502006,0.978,0.955,Lambert,TRUE
669022,2024,"Gore, MacKenzie",277,129,25.7306852207443,11.4382227996736,10.1314070712833,45.9249097472924,-0.714909813963715,8.99356849104059,35,-7.30498556539873,0.919,0.929,Gore,TRUE
643377,2023,"Jax, Griffin",92,52,19.5955356482914,13.3252130453198,5.33809874723655,48.8989130434783,-2.30018910645413,8.83568222134655,23,2.04698837246671,0.846,0.873,Jax,TRUE
694813,2023,"Stone, Gavin",187,111,24.6689022094788,12.1419510909138,8.27006055884123,49.4550802139037,0.493062703540803,8.80154632967975,40,2.59632040439125,0.991,0.935,Stone,TRUE
676440,2025,"Bibee, Tanner",450,222,9.87364733939907,6.92588468653287,12.5577667607148,53.832293986637,-0.522912159693985,8.68767253930943,74,7.6293268903565,0.823,0.863,Bibee,TRUE
622694,2021,"Hernández, Elieser",100,45,18.1890735456519,8.30862148230029,6.44128741092636,46.9888888888889,2.08459729014174,8.58975638072094,14,25.3434380060353,0.917,0.913,Hernández,TRUE
605488,2021,"Springs, Jeffrey",209,85,15.1583116999197,9.1819094214461,9.41914331282753,50.0497076023392,1.58494545672731,8.57594827320837,23,0.0420122484070722,0.988,0.987,Springs,TRUE
592791,2025,"Taillon, Jameson",221,123,24.1553770144673,12.1029375058712,8.22471261259638,47.3665158371041,1.79726692999714,8.55990662314741,45,3.98880188527186,0.868,0.939,Taillon,TRUE
596133,2025,"Weaver, Luke",313,171,15.7181281952426,13.6584621189158,6.99596240218548,45.4076677316294,1.19567102268624,8.10537132093885,43,-16.465784285325,0.884,0.96,Weaver,TRUE
671096,2026,"Abbott, Andrew",370,172,15.5627688400445,9.19117184058288,6.67003298802015,48.4897297297297,1.31186361371962,7.70844845526381,71,4.34732029020833,0.858,0.905,Abbott,TRUE
689017,2025,"Knack, Landon",202,103,23.0256879781949,13.2308976776231,8.51271419141915,53.3747524752475,2.46423928114707,7.63640880253098,31,-5.07549948983595,0.886,0.961,Knack,TRUE
693855,2025,"Seymour, Ian",314,173,21.3802214445975,10.0065305865581,8.04015752777834,46.7767515923567,1.09720579308855,7.61495299613045,55,-9.2945869057377,0.974,0.94,Seymour,TRUE
605488,2024,"Springs, Jeffrey",178,103,12.0320906889057,13.443395141493,10.2857584269663,45.1,-0.932428328040566,7.60742357062132,37,-13.2435300601851,0.896,0.965,Springs,TRUE
608379,2020,"Wacha, Michael",123,63,27.2538686754675,11.3336113396139,7.13035916435113,47.1486956521739,0.116040987692695,7.57792161424208,21,6.28757130083756,0.905,0.978,Wacha,TRUE
579328,2022,"Kikuchi, Yusei",245,109,5.33511150297767,11.1405380545437,7.93170215113072,46.2930612244898,2.56474115648641,7.32598536605415,40,5.46151126592864,0.888,0.963,Kikuchi,TRUE
500779,2021,"Quintana, Jose",181,79,23.3354727780764,9.03236459741617,4.87309304915599,48.2791411042945,-1.95932689126922,7.32359923259349,25,7.51514932904351,0.942,0.894,Quintana,TRUE
621249,2022,"Underwood Jr., Duane",209,101,18.6005346372262,10.4808484839479,6.23078149920255,45.2143540669857,-0.601012721133697,7.32188998560879,30,-9.01065843906645,0.934,0.858,Underwood Jr.,TRUE
570666,2021,"Cessa, Luis",113,58,17.6092075290236,11.8608299204939,5.88312389380531,47.6807339449541,3.3960861356413,7.31304474590553,19,18.1676227037476,0.804,0.896,Cessa,TRUE
489119,2022,"Miley, Wade",177,91,25.6604805868949,11.7968647171161,7.70378740322243,44.4124293785311,-2.25157075259406,7.30870271452468,40,17.9368521665685,0.873,0.858,Miley,TRUE
660623,2021,"Ynoa, Huascar",98,41,19.8360126332914,10.1309647988038,7.96740859485788,44.2357142857143,2.00710034063686,7.30517271923818,9,-1.3155348709191,0.99,0.979,Ynoa,TRUE
548389,2020,"Stripling, Ross",137,74,21.669313124252,11.2738412644756,7.12479490079162,60.2477272727273,1.69715359847949,7.20357727013892,27,13.7959032034789,0.907,0.927,Stripling,TRUE
579328,2021,"Kikuchi, Yusei",276,149,7.2139420331554,12.6433888134752,8.69109854757061,55.7794007490637,0.837571336598029,7.11605020374452,51,8.35311784323963,0.872,0.95,Kikuchi,TRUE
663567,2024,"Lambert, Peter",260,141,21.5910906091652,11.8874938686292,7.53796124927704,51.8388461538462,0.905987129535546,6.92750163688989,46,10.2150723790017,0.988,0.983,Lambert,TRUE
592761,2021,"Smith, Caleb",304,159,14.3852861406938,6.96065135277244,9.27403398571806,47.0883720930233,1.05739017100257,6.9100639874169,58,-1.80956426191388,0.994,0.988,Smith,TRUE
596133,2024,"Weaver, Luke",381,198,17.073247668972,15.8979041290239,7.06148649716978,44.8531746031746,0.143813486945686,6.6550342367317,55,-2.92581091846682,0.831,0.935,Weaver,TRUE
641329,2022,"Baker, Bryan",202,60,17.9718580333019,11.1802175856101,12.2080125793734,57.7693069306931,2.56991360837236,6.63800050736698,19,17.421061690828,0.873,0.891,Baker,TRUE
676440,2023,"Bibee, Tanner",386,193,19.6700619250353,6.95419362248401,11.0799516976978,56.3725388601036,1.11831885865915,6.54365658754365,60,3.30340990877705,0.97,0.897,Bibee,TRUE
519043,2022,"Moore, Matt",200,111,29.181869025355,11.632488291145,8.8643167587477,44.3492146596859,1.4241761258026,6.50911729850437,19,-3.75509145802696,0.97,0.97,Moore,TRUE
669022,2026,"Gore, MacKenzie",227,101,27.5380209216588,8.86345276672317,8.83041237595519,46.9440528634361,1.31788846217649,6.44756865863545,28,-7.72005642272434,0.949,0.921,Gore,TRUE
687931,2026,"Whisenhunt, Carson",96,59,29.7288318365558,11.8142420705033,9.54027777777778,45.8635416666667,1.53702705857047,6.39507824584546,23,0.721054772435661,0.994,0.968,Whisenhunt,TRUE
656641,2026,"Latz, Jacob",135,71,24.1587902573176,10.4073220728081,9.00899921197794,50.1185185185185,3.02510575478078,6.3705498794448,19,1.08379788781366,0.983,0.99,Latz,TRUE
623167,2023,"Flexen, Chris",280,125,25.5086385691781,10.4376224217133,10.8878124379098,65.655,0.590909591286094,6.27504743986438,52,5.04114862622009,0.978,0.902,Flexen,TRUE
676282,2026,"Cantillo, Joey",512,251,19.9893479756932,7.17489847863946,11.3653842659884,50.01953125,0.0521268707095173,6.22537092326853,71,5.4778287508317,0.992,0.982,Cantillo,TRUE
621249,2021,"Underwood Jr., Duane",321,152,13.3073535843991,9.69907271074355,6.29903529653794,47.7506578947368,0.34403414188862,6.17507772791976,56,-0.6054140285152,0.923,0.918,Underwood Jr.,TRUE
663558,2022,"Morán, Jovani",296,150,24.2005521329568,12.3565696937875,10.0735313157469,46.422972972973,3.04960715255207,6.11027231485832,42,14.0717987525636,0.853,0.919,Morán,TRUE
686613,2023,"Brown, Hunter",130,54,19.8043211401305,11.9980704582387,7.5078025477707,48.34,-0.477126559271486,6.04375845364359,19,-1.68512924942265,0.927,0.924,Brown,TRUE
543294,2022,"Hendricks, Kyle",413,236,13.4073198744859,6.14039136987777,6.969719413189,48.3501210653753,-0.0765542172340955,6.03660889109674,85,-3.11472584637334,0.834,0.902,Hendricks,TRUE
666120,2022,"Anderson, Ian",666,374,15.7708975666773,8.30899595148385,5.80033495033495,58.3343843843844,1.07126281271625,5.9421303277961,114,10.7389672400601,0.975,0.99,Anderson,TRUE
605164,2020,"Bundy, Dylan",211,111,24.7426789917655,11.9643507775827,7.76221834206369,51.8850393700788,0.187126602285419,5.90285888035296,48,23.3793422337099,0.936,0.888,Bundy,TRUE
650893,2022,"Cabrera, Génesis",127,64,16.089087503101,9.90047243859344,5.88345519310086,45.644094488189,-0.402907316499939,5.81746429654513,24,-5.91960233852925,0.966,0.982,Cabrera,TRUE
607644,2024,"Means, John",91,51,20.67798973102,5.84112508411364,8.40054945054945,44.5725274725275,0.191736861194104,5.68855900626989,20,-13.0235823541204,0.976,0.945,Means,TRUE
663567,2023,"Lambert, Peter",286,150,20.6397361460095,11.4694750451381,6.96246725410812,48.634965034965,-0.591731462064772,5.65809584736705,54,8.99384237660069,0.985,0.974,Lambert,TRUE
666745,2024,"Brito, Jhony",216,120,11.0348524392482,7.51680620213463,6.54748761500354,55.9220657276995,0.836878662814998,5.64302896294222,51,5.15032832652068,0.98,0.948,Brito,TRUE
605488,2025,"Springs, Jeffrey",720,424,14.2438709058991,10.7661108844654,11.5550934718781,45.1991666666667,-0.58790859762633,5.49552461098611,161,-5.17754987301154,0.958,0.991,Springs,TRUE
656232,2021,"Bielak, Brandon",96,48,17.3676127145998,9.20789632543806,5.7650386726547,44.9364583333333,2.41323918568578,5.36651179289716,19,11.0840828045849,0.918,0.809,Bielak,TRUE
670241,2023,"Vines, Darius",76,44,10.6270578565537,9.87907512168231,8.69540763673891,44.9105263157895,-1.85846991500408,5.21863778879002,20,-7.2271698025946,0.974,0.933,Vines,TRUE
676831,2022,"Whitley, Kodi",93,44,16.8171385885748,7.79672970850475,9.9259034683483,53.0989247311828,0.665714597999193,5.09369845529821,10,12.1221924326526,0.991,0.99,Whitley,TRUE
701581,2024,"Festa, David",308,155,19.4615739245905,10.4944892296887,6.29217987894458,52.4425324675325,-1.39614715251519,5.0834147856508,53,-10.7189200612581,0.871,0.89,Festa,TRUE
676831,2021,"Whitley, Kodi",112,66,14.3235684451175,6.07128490112509,9.00371240601504,60.096875,2.19468099998116,5.05731453881805,20,4.53351310085938,0.993,0.992,Whitley,TRUE
656756,2023,"Montgomery, Jordan",666,338,15.3487613539585,5.65698080890287,9.74794039322342,47.3160660660661,0.0917180734366788,4.95156291897125,123,0.15418710074904,0.976,0.811,Montgomery,TRUE
656222,2024,"Beeks, Jalen",299,124,21.1154973652505,8.21061800339877,5.62319026948999,46.9772575250836,-0.3323870423129,4.77340228528974,40,1.03524767483888,0.928,0.945,Beeks,TRUE
689672,2024,"Thorpe, Drew",256,140,19.6515952523255,5.13978841408324,9.37770743534483,51.54140625,1.74484967445642,4.69964779402264,44,-4.17429046506042,0.978,0.909,Thorpe,TRUE
656756,2021,"Montgomery, Jordan",626,372,12.7908003490375,4.95041304862935,9.99214615106396,52.0444630872483,0.914187982105511,4.66523223488274,125,5.53065651587355,0.993,0.869,Montgomery,TRUE
666142,2024,"Ragans, Cole",740,425,16.1900436709146,8.55504643606463,10.6126545367538,44.0818918918919,0.295948797902105,4.6441818672801,114,-1.24287801596485,0.989,0.993,Ragans,TRUE
670329,2025,"Garcia, Rico",129,67,22.0242218162483,8.82579204582805,9.03914225309574,47.32890625,0.887057028795649,4.63304322806303,21,5.98903539615186,0.985,0.993,Garcia,TRUE
502042,2022,"Archer, Chris",263,138,16.5800301315832,10.8553955441244,6.04000321823189,48.8965779467681,0.868972105087144,4.47310205801638,41,-2.0937758824826,0.96,0.965,Archer,TRUE
