pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,exp_whiff
656302,2026,"Cease, Dylan",84,4.76045044767499,59.6619047619048,15.0252857142857,11.0246397974864,13.67649087348,226,53.5714285714286,37.1681415929204,82.7995575221239,1767.7610619469,0.820796460176991,0.915,0.911,Dylan Cease,42.5467887739422
669373,2021,"Skubal, Tarik",112,3.72536910378354,60.0053571428571,11.9623397435898,10.345346777146,12.7675325961785,305,49.1228070175439,37.3770491803279,82.1177049180328,1441.03278688525,0.134098360655738,0.978,0.945,Tarik Skubal,38.7774602403979
674370,2025,"Bido, Osvaldo",64,7.13988235091697,35.221875,5.72244263862333,6.49212323658104,5.61935424192888,146,25,43.8356164383562,88.7513698630137,2184.28767123288,-2.55205479452055,0.95,0.923,Osvaldo Bido,18.507876763419
592662,2025,"Ray, Robbie",176,6.10173867191278,43.5721590909091,8.63937325229699,6.061735979629,4.99601726929871,399,39.2045454545455,44.1102756892231,84.8478696741855,1650.39598997494,-0.240852130325814,0.943,0.958,Robbie Ray,33.1428094749165
672582,2023,"Zerpa, Angel",64,7.15914606048482,41.55625,7.80821953781512,5.92970733809016,6.62608653493708,137,31.25,46.7153284671533,86.8562043795621,1523.76642335766,-2.05620437956204,0.987,0.95,Angel Zerpa,25.3202926619098
642701,2021,"Santana, Dennis",91,3.405206523527,35.1494505494506,8.45638990638991,5.65501762893903,5.44336190236676,184,40.2061855670103,52.7173913043478,87.4798913043478,2199.77717391304,-1.05923913043478,0.9,0.912,Dennis Santana,34.5511679380713
592314,2021,"Foltynewicz, Mike",136,6.57097435803752,41.0977941176471,8.60554904963516,5.62487245230027,5.41661615380052,282,33.3333333333333,48.936170212766,85.2177304964539,1778.82624113475,-1.76347517730496,0.981,0.957,Mike Foltynewicz,27.7084608810331
682610,2024,"Muñoz, Roddery",72,4.26324095722013,41.1236111111111,5.98170545857579,4.3044464701169,3.60294331830435,138,30.5555555555556,52.1739130434783,89.254347826087,1720.22463768116,-3.06159420289855,0.954,0.901,Roddery Muñoz,26.2511090854387
433589,2021,"Petit, Yusmeiro",109,4.20866892079322,42.4596330275229,6.74813184374075,3.80112047441861,3.59798841702486,191,27.9279279279279,58.1151832460733,80.8235602094241,1751.15706806283,2.4020942408377,0.94,0.896,Yusmeiro Petit,24.1268074535093
593974,2020,"Peralta, Wandy",60,5.25547857258307,35.8433333333333,7.36984848484849,3.09725211639509,2.05567086540037,153,33.3333333333333,58.8235294117647,87.5856209150327,2255.10135135135,2.61307189542484,0.894,0.965,Wandy Peralta,30.2360812169382
645261,2022,"Alcantara, Sandy",506,5.82567089821682,35.4286561264822,6.09908163704232,2.86173022883923,2.41941784871197,894,34.5098039215686,57.0469798657718,91.7782997762864,2055.84026996625,3.00480984340045,0.902,0.939,Sandy Alcantara,31.6480736927294
527048,2020,"Pérez, Martín",124,5.48702586921733,47.7427419354839,8.80012406947891,2.72977438358507,4.45649274142305,266,32,56.390977443609,83.6567669172933,1703.6954887218,-0.585338345864662,0.996,0.965,Martín Pérez,29.2702256164149
643377,2021,"Jax, Griffin",86,7.75632545082873,43.1941860465116,5.77023573299468,0.423455656684244,1.61294379441806,198,24.2424242424242,50,87.389898989899,1791.01515151515,-4.17474747474747,0.988,0.975,Griffin Jax,23.81896858574
677960,2023,"Weathers, Ryan",135,4.45353918897135,39.4096296296296,8.48896990740741,0.121285153309862,-0.252927083815334,252,27.9411764705882,53.968253968254,86.8345238095238,1663.75396825397,-1.01587301587302,0.944,0.967,Ryan Weathers,27.8198913172784
579328,2025,"Kikuchi, Yusei",183,6.6968935712714,39.1486338797814,9.00067282368583,0.110142365637285,0.150974470013933,376,25.1366120218579,48.6702127659575,85.5840425531915,1542.43085106383,-0.0127659574468093,0.915,0.912,Yusei Kikuchi,25.0264696562206
570632,2021,"Ureña, José",111,4.29922112384938,37.4027027027027,4.63903136713356,-0.171851626779542,-1.68891857586578,231,22.5225225225225,48.0519480519481,89.8376623376623,1675.35064935065,-2.84025974025974,0.958,0.898,José Ureña,22.6943741493021
527048,2021,"Pérez, Martín",237,7.50734360616586,47.8704641350211,8.61023688218919,-0.180654569889351,1.95995672878754,446,32.5102880658436,54.4843049327354,84.8040358744395,1697.16629213483,-0.718161434977579,0.994,0.973,Martín Pérez,32.690942635733
672282,2024,"Detmers, Reid",116,7.65783404908727,45.9068965517241,9.11730407523511,-0.253152934299301,-0.697121640484627,220,31.8965517241379,52.7272727272727,84.6545454545455,1522.30909090909,-1.09727272727273,0.927,0.99,Reid Detmers,32.1497046584372
592662,2026,"Ray, Robbie",180,7.17847451422953,43.9483333333333,7.10736596736596,-2.00538737065783,-2.53192380344096,354,24.0641711229947,52.8248587570622,86.0271186440678,1623.28248587571,1.28220338983051,0.936,0.957,Robbie Ray,26.0695584936525
608665,2022,"Graveman, Kendall",77,6.62359896907267,41.9402597402597,5.7679788961039,-7.30829374695718,-7.99158645717372,137,20.7792207792208,56.2043795620438,90.7525547445256,1764.40875912409,1.08102189781022,0.897,0.911,Kendall Graveman,28.087514526178
