velo_gap,path_ratio,pitch_type
8.14010450685827,0.31983251777003,SL
11.6269879518072,0.641458285990751,CU
8.54649910233393,0.259861040713612,SL
10.9672376873662,0.499848445162052,SL
7.64959349593495,0.361432881019201,ST
15.2748180494905,0.870668274260621,CU
11.3063314711359,0.59731083250509,CU
10.1495798319328,0.511004274053817,SL
11.5655737704918,0.362734742766515,SL
12.3258094357077,0.578527038409001,CU
13.6313111545988,0.652122720387258,ST
9.00601589103292,0.363329331270645,ST
12.9080597014925,0.618421740521707,SL
14.2423326133909,0.689265007084289,KC
9.99083969465649,0.495559839456984,ST
11.3272,0.451004887735983,CU
6.49499999999999,0.293361641180958,SL
8.07940865892292,0.371657742649811,SL
8.08846153846154,0.270329637383343,ST
7.91963426371511,0.506871312574948,SL
8.61955307262569,0.405643320112508,SL
10.436798088411,0.344574777305503,SL
7.81649048625793,0.334509377599295,SL
7.31627906976745,0.289881201250332,SL
8.58230563002681,0.343220960989109,ST
10.4428571428571,0.353016584491103,SL
9.1377358490566,0.418422706064124,ST
9.36481481481481,0.289164857234558,CU
9.55759162303666,0.361492958875219,ST
15.8937062937063,0.595128527393636,CU
12.3786931818182,0.591825686202431,CU
10.4936210131332,0.359394901725939,ST
9.67629629629629,0.425912830679948,SL
9.8418552036199,0.377439242143896,SL
12.6938856015779,0.438487721521298,SL
13.3941109852775,0.566372045795443,KC
8.73830104321907,0.373291955652952,KC
15.1196506550218,0.88900747425633,CU
7.68026315789473,0.255243111763426,ST
11.9850174216028,0.361627470806531,ST
6.15180180180181,0.299155067135143,SL
10.2368831168831,0.580287289784134,ST
12.5925627240143,0.500600217857588,CU
13.4728395061728,0.407891826366824,ST
6.65015197568388,0.261212617837874,SL
6.51402877697842,0.26229150068235,SL
7.36488456865128,0.391178306282294,SL
12.636327077748,0.598883709882527,CU
6.80994318181818,0.303467345074955,SL
14.9727848101266,0.818078762979741,CU
9.02580943570769,0.300992395281694,SL
9.28673684210526,0.2246270647846,SL
6.14864864864865,0.316229852195488,SL
11.6467741935484,0.348619465851725,SL
7.04680412371134,0.448431840636145,ST
14.7333333333333,0.546628270093082,CU
6.26847389558233,0.411158017720724,SL
5.43209351753453,0.263432295944702,SL
8.16209912536444,0.36278330588821,SL
16.4912582781457,0.836907087452524,CU
16.0083922261484,0.4802303354969,ST
5.96794425087109,0.228734540004118,SL
13.3716621253406,0.75049720651184,CU
15.6346335697399,0.77347831874578,SL
7.23008130081301,0.274289068881433,SL
13.9714285714286,0.681963970994393,KC
15.1686666666667,0.501149472671874,SL
8.55203761755486,0.37691353814205,SL
12.9424242424242,0.536812868458269,ST
10.1,0.65620286649666,ST
10.3554817275748,0.424365825766357,SL
8.11224489795919,0.315555629140354,ST
11.8060773480663,0.433287982962553,SL
12.5444444444445,0.596115434909982,ST
8.74444444444445,0.389928982216151,SL
6.58388349514563,0.249554493275657,SL
10.0155172413793,0.63655706778178,CU
5.63082706766917,0.248799921735597,SL
4.41167400881058,0.271752861953989,SL
16.5455555555556,0.513532505279074,CU
10.1263473053892,0.708843138712337,CU
5.58116279069768,0.312913754045488,SL
12.3526315789474,0.620080647304166,KC
14.1949367088608,0.729204491988227,ST
11.0870639534884,0.700884064232219,CU
4.82283464566929,0.233975723697241,SL
11.0802547770701,0.546856397618467,ST
3.01081593927894,0.23037006767434,SL
10.2581239530988,0.476661354568625,KC
8.9055412371134,0.315967993558346,SL
9.55360360360361,0.363776629600453,CU
10.68671679198,0.415669498311224,SL
13.5353741496599,0.487669797504047,CU
9.53299492385787,0.473311565136478,ST
4.20933333333333,0.313706170350118,SL
7.85299401197605,0.371291405026067,SL
14.7949367088608,0.729204491988227,ST
12.2578772802653,0.6042388936028,CU
6.49093567251461,0.291917973943844,SL
10.0926829268293,0.414325638744094,ST
7.56481481481481,0.289164857234558,CU
13.721875,0.612053047749026,ST
18.8667567567568,0.80942879739686,ST
7.5377358490566,0.418422706064124,ST
7.04179104477612,0.229976931504704,SL
13.7986842105263,0.9820568602299,CU
11.988,0.703030282579964,ST
11.4788617886179,0.679245211584679,CU
16.7652173913043,0.715775545749437,CU
10.9767857142857,0.314273870491529,SL
15.0724025974026,0.885552485199967,CU
9.30608782435129,0.356699168767996,SL
7.10783132530121,0.322903703688927,SL
