pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,as_gap,exp_whiff
656302,2026,"Cease, Dylan",84,4.76045044767499,59.6619047619048,15.0252857142857,11.0246397974864,13.67649087348,226,53.5714285714286,37.1681415929204,82.7995575221239,1767.7610619469,0.820796460176991,0.915,0.911,Dylan Cease,0.004,42.5467887739422
671096,2023,"Abbott, Andrew",137,9.78870981999901,44.9642335766423,6.23514077163712,10.7354452162086,11.0583261314833,310,39.4160583941606,44.1935483870968,86.6374193548387,2065.96451612903,1.16483870967742,0.929,0.944,Andrew Abbott,-0.015,28.680613177952
669373,2021,"Skubal, Tarik",112,3.72536910378354,60.0053571428571,11.9623397435898,10.345346777146,12.7675325961785,305,49.1228070175439,37.3770491803279,82.1177049180328,1441.03278688525,0.134098360655738,0.978,0.945,Tarik Skubal,0.033,38.7774602403979
656302,2021,"Cease, Dylan",83,7.6983308729944,61.1590361445783,18.9446005588083,5.94135015985665,6.70103218861414,210,47.6190476190476,40,78.0138095238095,1637.5,-0.175238095238094,0.866,0.9,Dylan Cease,-0.034,41.677697459191
621112,2022,"Blackburn, Paul",101,9.57404608120994,50.7722772277228,5.54851002173388,5.31990980190916,7.65351871880642,223,29.7029702970297,45.2914798206278,86.0103139013453,1810.466367713,-0.326008968609865,0.803,0.873,Paul Blackburn,-0.07,24.3830604951206
676440,2025,"Bibee, Tanner",222,9.49287689265222,54.1905405405406,12.5759409348889,4.7107397364633,5.85163144403111,450,38.7387387387387,49.3333333333333,81.8051111111111,1961.80444444444,-0.804444444444445,0.823,0.863,Tanner Bibee,-0.04,34.0279990022754
579328,2022,"Kikuchi, Yusei",109,5.24126622328582,46.5623853211009,7.9735819489214,4.6250215734902,6.99389081216924,245,38.5321100917431,44.4897959183673,86.9840816326531,1565.21224489796,1.41428571428571,0.888,0.963,Yusei Kikuchi,-0.075,33.9070885182529
527048,2020,"Pérez, Martín",124,5.48702586921733,47.7427419354839,8.80012406947891,2.72977438358507,4.45649274142305,266,32,56.390977443609,83.6567669172933,1703.6954887218,-0.585338345864662,0.996,0.965,Martín Pérez,0.031,29.2702256164149
579328,2021,"Kikuchi, Yusei",142,6.86128075711728,56.1619718309859,8.87263559594783,2.22380295136601,5.18589236491288,276,38.9261744966443,53.9855072463768,86.4195652173913,1477.52173913043,0.291666666666666,0.872,0.95,Yusei Kikuchi,-0.078,36.7023715452783
694363,2023,"Shuster, Jared",95,9.78310620308844,47.1421052631579,9.29568115539508,1.64781733226511,2.46015284086959,199,33.3333333333333,48.2412060301508,82.1949748743719,1513.29292929293,-2.18241206030151,0.976,0.933,Jared Shuster,0.043,31.6855160010682
543507,2021,"May, Trevor",98,8.13672042585817,52.3989795918367,9.58711981077721,0.868186733800165,1.23238053573604,170,33.3333333333333,58.2352941176471,86.9564705882353,1721.02941176471,-1.41705882352941,0.95,0.893,Trevor May,0.057,32.4651465995332
665795,2022,"Cabrera, Edward",215,8.97505869102719,44.5846511627907,3.48700545506747,0.159437561353137,0.164770903821976,392,33.0232558139535,54.8469387755102,92.4382653061224,1679.22959183673,1.5469387755102,0.971,0.933,Edward Cabrera,0.038,32.8638182526004
527048,2021,"Pérez, Martín",237,7.50734360616586,47.8704641350211,8.61023688218919,-0.180654569889351,1.95995672878754,446,32.5102880658436,54.4843049327354,84.8040358744395,1697.16629213483,-0.718161434977579,0.994,0.973,Martín Pérez,0.021,32.690942635733
672282,2024,"Detmers, Reid",116,7.65783404908727,45.9068965517241,9.11730407523511,-0.253152934299301,-0.697121640484627,220,31.8965517241379,52.7272727272727,84.6545454545455,1522.30909090909,-1.09727272727273,0.927,0.99,Reid Detmers,-0.063,32.1497046584372
579328,2024,"Kikuchi, Yusei",134,3.83857866373073,44.3932835820896,8.983230137522,-0.798537952554971,1.2261504114599,325,35.8208955223881,41.2307692307692,86.7501538461539,1654.96,-0.260307692307692,0.889,0.902,Yusei Kikuchi,-0.013,36.619433474943
676440,2026,"Bibee, Tanner",129,8.85342542019532,59.4937984496124,12.7667002171955,-1.72769204034533,0.353881623867241,283,33.3333333333333,45.583038869258,81.0547703180212,1876.02826855124,0.103533568904594,0.929,0.9,Tanner Bibee,0.029,35.0610253736787
600917,2023,"Leclerc, José",69,5.91825131283735,47.0521739130435,6.83434906478385,-3.23305449936873,-4.61632737748793,130,34.2857142857143,53.8461538461539,88.3407692307692,2069.63076923077,-0.448461538461539,0.858,0.824,José Leclerc,0.034,37.518768785083
621383,2023,"Banks, Tanner",64,8.57173760604132,50.54375,6.45003961267605,-7.69635526649559,-7.2886266977011,166,18.75,38.5542168674699,86.294578313253,1828.22891566265,0.668674698795181,0.747,0.832,Tanner Banks,-0.085,26.4463552664956
579328,2023,"Kikuchi, Yusei",105,6.90176814383632,45.5961904761905,6.24018838304552,-8.68873508403391,-6.96845252116315,257,18.0952380952381,40.8560311284047,88.604280155642,1708.26771653543,-3.33852140077821,0.84,0.918,Yusei Kikuchi,-0.078,26.783973179272
683003,2024,"Jones, Jared",65,8.7806062515677,44.2338461538462,7.76440120984222,-12.3902343711924,-11.2708507580576,125,22.8571428571429,56,89.9216,1733,-2.9432,0.859,0.923,Jared Jones,-0.064,35.2473772283352
621383,2024,"Banks, Tanner",68,9.07891986567039,50.3308823529412,7.44590828066764,-15.1818126780798,-14.6010101138157,147,16.1764705882353,46.2585034013605,86.2095238095238,1850.4693877551,-2.46054421768707,0.792,0.828,Tanner Banks,-0.036,31.3582832663151
