pitcher,pitch_type,player_name,n,resid_pp,whiff_pct,gyro_gap,axis_diff,mirror,active_spin,fb_active
650633,ST,"King, Michael",548,4.13657076323821,30.8394160583942,0.295914233576642,152.315060711571,27.6849392884286,0.532828467153285,0.828742700729927
664199,SL,"Clarke, Taylor",335,6.78883584992486,31.044776119403,0.563253731343283,54.5264988792345,125.473501120766,0.329940298507463,0.893194029850746
571945,CU,"Mikolas, Miles",436,6.2434431737261,20.4128440366972,0.092447247706422,173.77127967292,6.22872032708029,0.793860091743119,0.886307339449541
571945,SL,"Mikolas, Miles",929,4.56263176756406,16.3616792249731,0.562608180839612,52.1574979025269,127.842502097473,0.322490850376749,0.885099031216362
668881,SL,"Greene, Hunter",901,5.53445862757054,38.8457269700333,0.537998890122087,89.644158194034,90.355841805966,0.420782463928968,0.958781354051054
664854,SL,"Helsley, Ryan",569,0.536070095114077,43.9367311072056,0.665028119507909,63.6923295942225,116.307670405778,0.230989455184534,0.896017574692443
641729,SL,"Jiménez, Joe",337,4.17293049989714,40.6528189910979,0.614608308605341,83.1727302109244,96.8272697890756,0.324545994065282,0.939154302670623
543859,SL,"Tonkin, Michael",356,-5.4209859061645,23.876404494382,0.624991573033708,163.686185279733,16.3138147202675,0.284247191011236,0.909238764044944
676130,SL,"Buttó, José",271,1.19183405583416,36.90036900369,0.597664206642066,112.257785434099,67.7422145659009,0.180822878228782,0.778487084870849
642397,SL,"Soto, Gregory",503,0.846438967398868,45.1292246520875,0.703900596421471,94.7707789547969,85.2292210452031,0.197198807157058,0.901099403578529
547179,SL,"Lorenzen, Michael",382,-0.541775569275091,24.869109947644,0.755185863874346,129.508567764166,50.4914322358338,0.196942408376963,0.952128272251309
547179,CU,"Lorenzen, Michael",252,-6.43333312425223,24.6031746031746,0.314456349206349,163.678794764564,16.3212052354365,0.62906746031746,0.94352380952381
547179,ST,"Lorenzen, Michael",234,2.05346166861575,23.5042735042735,0.59958547008547,167.488442042892,12.5115579571083,0.348418803418804,0.948004273504274
570632,SL,"Ureña, José",407,2.6922624340288,28.992628992629,0.500670761670762,39.7860645748372,140.213935425163,0.462184275184275,0.962855036855037
670990,ST,"Ramírez, Yohan",335,-2.65398789319844,34.3283582089552,0.269662686567164,168.099942402211,11.9000575977894,0.579423880597015,0.849086567164179
605130,ST,"Barlow, Scott",460,9.00341747142061,37.6086956521739,0.113621739130435,132.337408658713,47.662591341287,0.569584782608696,0.68320652173913
605130,CU,"Barlow, Scott",330,-1.83232286612054,38.1818181818182,0.153272727272727,156.844332559936,23.1556674400637,0.848551515151515,0.695278787878788
686539,SL,"Cronin, Declan",316,-3.6810891455871,27.2151898734177,0.436848101265823,167.000023461081,12.9999765389186,0.294518987341772,0.731367088607595
682052,SL,"Lopez, Jacob",501,1.80585642665513,30.5389221556886,0.444091816367265,153.887692834593,26.1123071654072,0.496778443113773,0.940870259481038
641835,SL,"Mayza, Tim",254,-12.8476474389231,21.6535433070866,0.702326771653543,140.742452544687,39.2575474553133,0.16790157480315,0.870228346456693
