group,cue,n,r,se,lo,hi,p,r2_pct
Breaking,Arm Angle,264130,0.00218789018878778,0.00200330250153765,-0.00173857747146426,0.00611429038782102,0.274770059515113,0.000478686347819383
Breaking,Trajectory,293229,0.016453499615366,0.00190130458108058,0.0127277402834252,0.0201788020882838,4.94748306066169e-18,0.0270717649592849
Breaking,Spin Similarity,296072,0.0217776048409452,0.00189215393047017,0.0180704595919039,0.025484151326675,1.1579371361437e-30,0.0474264072608358
Offspeed,Arm Angle,131230,0.0139897757102202,0.00284211294294871,0.00841994812604781,0.0195587352507364,8.53860325646664e-07,0.0195713824422266
Offspeed,Trajectory,145231,-0.00491961652585878,0.00270164172067459,-0.0102145187172522,0.000375561539215655,0.0686087337793714,0.00242026267615028
Offspeed,Spin Similarity,145874,0.00687745001386401,0.0026956807201856,0.00159402288818655,0.0121604931867213,0.0107314106817846,0.0047299318693198
