PitcherId,season,nsw,axis,velo_sep,rz,rx,w,w_tj,name,slot,eff_ch,n_ch,eff_ff,eff_gap,matched,eff_floor,eff_close,hi_slot,core,corex,bb
,2024,58,44.0073872975325,6.60765652957928,5.71219517241379,1.82146879310345,-5.11308463720358,-4.76312529539421,"Selmer, Evan",29.0610471749783,0.937491503279708,146,0.959745734462174,-0.0222542311824656,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
,2025,68,40.3269992775142,3.76522655281464,4.88402397058824,2.46320073529412,-8.26770361328236,-6.56523528297359,"Dieguez, Ryan",4.27258950972557,0.963829077667666,154,0.963547239490285,0.000281838177381033,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
0,2023,91,48.4491130848809,7.89152136217198,5.73663901234721,1.54959340671917,-8.9858734904842,-7.3972222142911,"Leskousky, ",33.7815270137027,1,203,0.961551504805557,0.0384484951944427,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
167985,2023,64,36.9058503964368,6.95962816827438,5.48702625185251,1.81939280033112,-6.81698306333301,-2.23358561999286,"Daquila, Chance",23.3921663287241,1,128,0.947610029660778,0.0523899703392222,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
683234,2024,50,32.2285093955015,6.05693933550139,5.2453434,0.9644308,-1.62595504530072,-3.23768079523635,"Kitchen, Cole",29.4862589159088,0.973255309091824,105,0.975444860988965,-0.00218955189714154,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
683308,2024,40,38.9340182,5.74106545348837,5.2752475,3.5062155,1.16323629792991,2.84409752347167,"Clark, Caleb",9.31722959582062,0.986976693764798,104,0.972639891800983,0.0143368019638157,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
683328,2024,111,25.7404952818925,7.02895697235402,6.30156792792793,1.50062765765766,3.15427458453867,3.07595074987394,"Jean, Antoine",46.8636515791676,0.982990935337742,195,0.960762654215519,0.0222282811222222,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
683328,2025,43,21.8643988254662,8.60545702970296,6.19984139534884,1.49796906976744,12.1330806846638,14.1953184954908,"Jean, Antoine",45.0357848973402,0.982316542737074,105,0.999073383171839,-0.0167568404347648,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
684727,2024,148,26.0620690527871,2.9338754054054,5.90714952702703,1.96357304054054,-1.9308756556338,0.0251936822953074,"Price, Billy",31.5820320877994,0.941159949951521,300,0.978577440595623,-0.0374174906441017,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
686629,2024,85,36.1132330397061,8.23769588235301,5.50833070588235,2.392706,-2.04555516076876,-0.213381321087654,"Falco, David",18.6665721975941,0.934734981607612,161,0.979939160877349,-0.0452041792697379,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
687215,2024,52,32.7330242515385,5.65801493076926,5.42886865384615,3.05325461538462,-3.91866292153892,-0.198698635302543,"Blackwell, Jonathan",13.4262926769771,0.967252946395462,126,0.926218397094506,0.0410345493009561,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
687274,2025,52,29.2240475215385,4.65321920000001,5.24441961538462,2.50453961538462,-10.572564439749,-13.839798276001,"Hliboki, Sam",12.2637794009449,0.97996587627777,128,0.942131669440749,0.0378342068370211,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
687702,2023,75,35.7502234256629,7.18788751775569,4.97678464889526,1.98595906734467,-5.77474844527039,-4.29459052558364,"Ireland, Sam",7.93424828730491,0.940025233876485,155,0.988793920537756,-0.0487686866612711,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
688612,2024,90,8.55785536972479,9.10837338532113,6.61842033333333,1.42044255555556,5.67494861872281,6.80905100243044,"Good, Ty",53.4829012656205,0.983501941796535,176,0.974622756675105,0.00887918512143049,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
688971,2024,44,49.6779767349433,13.4772357528408,5.87690431818182,1.48833772727273,4.8945859440159,-1.2144802119548,"Hansen, Cameron",38.3352146289072,0.96266692749359,85,0.896867241505891,0.0657996859876989,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
689514,2024,108,27.4126185734127,8.90833184463684,5.9719337962963,0.805303796296296,4.75071690552017,5.54681442496116,"Robison, Bryce",57.660732256671,0.951637594357478,256,0.855649723778578,0.0959878705789006,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
689993,2024,80,38.6098120782179,6.07633665717824,5.364935,2.8875605,3.19634581546119,10.9766239868917,"Dixon, Jake",12.9677661171737,0.887004498099065,173,0.927397245608729,-0.0403927475096639,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
