seed,anchor,rmse,r2,srmse
53,season,0.460887305132116,0.00606961727637945,0.0805527390790265
53,game,0.461055888765547,0.00537583094556338,0.0813731593342201
53,recent,0.461100466950252,0.00519720034031734,0.0815454466583575
101,season,0.461209147882087,0.00472186534079866,0.0818966952228369
101,game,0.460916989331599,0.00600078950223237,0.08150122681829
101,recent,0.460933991972498,0.00588229347168379,0.0813295637965541
202,season,0.461128558200374,0.00495002433761937,0.0810745616585414
202,game,0.4608720040358,0.006075795428645,0.0807757704796224
202,recent,0.461009593179065,0.00547436010540059,0.0807444869513852
303,season,0.461166521555144,0.00482962928452468,0.0821381471620119
303,game,0.461318154177497,0.00417992154012326,0.0824556992925903
303,recent,0.46103783571853,0.00538692875714208,0.0818776257301072
404,season,0.461278608973008,0.00439076168318275,0.0818175709629909
404,game,0.460922660926945,0.00590159492957498,0.0813138514479888
404,recent,0.460806370157354,0.0064021515784064,0.0806305988106355
